x_loc,y_loc,quarter,game_clock,shot_clock
46.85637,24.07499,1,720.0,24.0
46.8456,24.1089,1,719.98,24.0
46.86319,24.13249,1,719.94,24.0
46.89061,24.13844,1,719.9,24.0
46.91837,24.14158,1,719.86,24.0
46.97047,24.13739,1,719.82,24.0
47.03254,24.12934,1,719.78,24.0
47.11083,24.12027,1,719.74,24.0
47.19814,24.10891,1,719.69,24.0
47.29873,24.08599,1,719.65,24.0
47.41523,24.05181,1,719.61,24.0
47.54406,24.00637,1,719.57,24.0
47.68261,23.9581,1,719.53,24.0
47.82892,23.88328,1,719.49,24.0
47.98223,23.80554,1,719.45,24.0
48.13976,23.72209,1,719.41,24.0
48.30126,23.64154,1,719.37,24.0
48.45171,23.55578,1,719.33,24.0
48.59999,23.46938,1,719.29,24.0
48.76174,23.37985,1,719.25,24.0
48.9148,23.28877,1,719.21,24.0
49.07297,23.19389,1,719.17,24.0
49.23377,23.09448,1,719.13,24.0
49.38483,22.99859,1,719.09,24.0
49.52632,22.9168,1,719.05,24.0
49.66917,22.84411,1,719.01,24.0
49.80081,22.78298,1,718.97,24.0
49.93267,22.72743,1,718.93,24.0
50.0701,22.68742,1,718.89,24.0
50.20049,22.65658,1,718.85,24.0
50.32401,22.63989,1,718.8,23.83
50.43996,22.63936,1,718.76,23.79
50.56678,22.65313,1,718.72,23.75
50.7008,22.68844,1,718.68,23.71
50.83676,22.7372,1,718.64,23.67
50.97297,22.80157,1,718.6,23.63
51.11255,22.88026,1,718.56,23.59
51.25088,22.97689,1,718.52,23.55
51.39505,23.07633,1,718.48,23.51
51.54703,23.18728,1,718.44,23.47
51.69503,23.3035,1,718.4,23.43
51.85177,23.42614,1,718.36,23.39
52.0035,23.54853,1,718.32,23.35
52.15106,23.67344,1,718.28,23.31
52.29458,23.80482,1,718.24,23.27
52.44313,23.93524,1,718.2,23.23
52.59302,24.06836,1,718.16,23.19
52.74323,24.18562,1,718.12,23.15
52.93159,24.25516,1,718.08,23.11
53.10025,24.35767,1,718.03,23.07
53.26534,24.45968,1,718.0,23.03
53.4373,24.54802,1,717.95,22.99
53.61156,24.6198,1,717.91,22.95
53.78995,24.68462,1,717.87,22.91
53.96462,24.73422,1,717.83,22.87
54.14394,24.77168,1,717.79,22.83
54.31705,24.78949,1,717.75,22.79
54.49343,24.79402,1,717.71,22.75
54.66448,24.78377,1,717.67,22.71
54.84272,24.74754,1,717.63,22.67
55.01166,24.69106,1,717.59,22.63
55.18308,24.61325,1,717.55,22.59
55.34675,24.52924,1,717.51,22.55
55.46484,24.48003,1,717.47,22.51
55.61554,24.37336,1,717.43,22.47
55.77461,24.25296,1,717.39,22.43
55.93353,24.11188,1,717.35,22.4
56.08918,23.96096,1,717.31,22.35
56.22948,23.77543,1,717.27,22.32
56.37902,23.57605,1,717.23,22.28
56.52153,23.37075,1,717.18,22.23
56.66764,23.16386,1,717.14,22.2
56.80442,22.94123,1,717.1,22.16
56.95577,22.71959,1,717.06,22.12
57.11061,22.49927,1,717.02,22.08
57.283,22.27827,1,716.98,22.04
57.46023,22.05178,1,716.94,22.0
57.64912,21.82667,1,716.9,21.96
57.847,21.57984,1,716.86,21.92
58.03868,21.32935,1,716.82,21.88
58.23507,21.07202,1,716.78,21.84
58.42709,20.82159,1,716.74,21.8
58.62461,20.57377,1,716.7,21.76
58.87844,20.39001,1,716.66,21.72
59.0938,20.17936,1,716.62,21.68
59.31716,19.9757,1,716.58,21.64
59.54072,19.77554,1,716.54,21.6
59.78622,19.5974,1,716.5,21.56
60.02813,19.42184,1,716.46,21.52
60.27217,19.25007,1,716.42,21.48
60.52486,19.08388,1,716.38,21.44
60.7886,18.92754,1,716.34,21.4
61.0555,18.77823,1,716.29,21.36
61.32619,18.64214,1,716.25,21.32
61.59341,18.52234,1,716.21,21.28
61.8587,18.44969,1,716.17,21.24
62.11963,18.35821,1,716.13,21.2
62.42617,18.284,1,716.09,21.16
62.69957,18.20112,1,716.05,21.12
63.02391,18.16032,1,716.01,21.08
63.33324,18.10877,1,715.97,21.04
63.63952,18.03897,1,715.93,21.0
63.95506,17.97064,1,715.89,20.96
64.26593,17.89415,1,715.85,20.92
64.57062,17.81856,1,715.81,20.88
64.87046,17.75452,1,715.77,20.84
65.15876,17.68838,1,715.73,20.8
65.42678,17.62573,1,715.69,20.76
65.7343,17.59921,1,715.65,20.72
66.02463,17.57321,1,715.61,20.68
66.25612,17.47811,1,715.57,20.64
