x_loc,y_loc,quarter,game_clock,shot_clock
45.51206,24.65106,1,720.0,24.0
45.49282,24.74761,1,719.98,24.0
45.41186,24.84844,1,719.94,24.0
45.26659,24.95348,1,719.9,24.0
45.17835,25.04842,1,719.86,24.0
45.13926,25.13536,1,719.82,24.0
45.09938,25.22874,1,719.78,24.0
45.03987,25.31579,1,719.74,24.0
44.98426,25.4008,1,719.69,24.0
44.93044,25.49078,1,719.65,24.0
44.8775,25.57582,1,719.61,24.0
44.82405,25.69423,1,719.57,24.0
44.77067,25.80507,1,719.53,24.0
44.72831,25.944,1,719.49,24.0
44.67685,26.09894,1,719.45,24.0
44.62229,26.2323,1,719.41,24.0
44.58285,26.37471,1,719.37,24.0
44.5475,26.52861,1,719.33,24.0
44.51268,26.68156,1,719.29,24.0
44.49997,26.83812,1,719.25,24.0
44.4978,26.99873,1,719.21,24.0
44.49392,27.15698,1,719.17,24.0
44.49718,27.32195,1,719.13,24.0
44.50762,27.49013,1,719.09,24.0
44.49877,27.70106,1,719.05,24.0
44.56824,27.9081,1,719.01,24.0
44.61033,28.07357,1,718.97,24.0
44.6776,28.23747,1,718.93,24.0
44.73769,28.39551,1,718.89,24.0
44.79561,28.53463,1,718.85,24.0
44.88805,28.69383,1,718.8,23.83
44.98564,28.83751,1,718.76,23.79
45.09809,28.97413,1,718.72,23.75
45.24396,29.10578,1,718.68,23.71
45.38374,29.23627,1,718.64,23.67
45.539,29.36437,1,718.6,23.63
45.71332,29.48367,1,718.56,23.59
45.89311,29.60335,1,718.52,23.55
46.09304,29.71446,1,718.48,23.51
46.33281,29.784,1,718.44,23.47
46.50525,29.86088,1,718.4,23.43
46.72496,29.95593,1,718.36,23.39
46.93725,30.05386,1,718.32,23.35
47.18516,30.14097,1,718.28,23.31
47.47551,30.22979,1,718.24,23.27
47.75451,30.30519,1,718.2,23.23
48.0496,30.37979,1,718.16,23.19
48.35006,30.44812,1,718.12,23.15
48.64636,30.52138,1,718.08,23.11
48.96064,30.59031,1,718.03,23.07
49.27283,30.6566,1,718.0,23.03
49.58371,30.72256,1,717.95,22.99
49.91026,30.77663,1,717.91,22.95
50.24098,30.82907,1,717.87,22.91
50.56639,30.8842,1,717.83,22.87
50.91734,30.92301,1,717.79,22.83
51.29771,30.96467,1,717.75,22.79
51.67629,30.99953,1,717.71,22.75
52.04747,31.03218,1,717.67,22.71
52.39792,31.063,1,717.63,22.67
52.74551,31.08604,1,717.59,22.63
53.09087,31.11528,1,717.55,22.59
53.43754,31.14466,1,717.51,22.55
53.77747,31.17239,1,717.47,22.51
54.11133,31.19969,1,717.43,22.47
54.45943,31.22381,1,717.39,22.43
54.83598,31.24685,1,717.35,22.4
55.21936,31.2731,1,717.31,22.35
55.6022,31.29916,1,717.27,22.32
56.00899,31.31291,1,717.23,22.28
56.40104,31.3352,1,717.18,22.23
56.77197,31.35251,1,717.14,22.2
57.15084,31.36732,1,717.1,22.16
57.53612,31.38044,1,717.06,22.12
57.92949,31.39339,1,717.02,22.08
58.33015,31.40107,1,716.98,22.04
58.73416,31.40611,1,716.94,22.0
59.14161,31.41124,1,716.9,21.96
59.54956,31.40782,1,716.86,21.92
59.95649,31.39996,1,716.82,21.88
60.36866,31.39032,1,716.78,21.84
60.72797,31.3756,1,716.74,21.8
61.09283,31.36325,1,716.7,21.76
61.44155,31.35396,1,716.66,21.72
61.78717,31.3518,1,716.62,21.68
62.13658,31.35026,1,716.58,21.64
62.50747,31.35219,1,716.54,21.6
62.87709,31.35457,1,716.5,21.56
63.24799,31.35575,1,716.46,21.52
63.63198,31.35749,1,716.42,21.48
64.01924,31.36019,1,716.38,21.44
64.40065,31.36894,1,716.34,21.4
64.7811,31.37164,1,716.29,21.36
65.17922,31.38092,1,716.25,21.32
65.57105,31.39656,1,716.21,21.28
65.95545,31.40927,1,716.17,21.24
66.36989,31.43277,1,716.13,21.2
66.77361,31.44683,1,716.09,21.16
67.17233,31.46769,1,716.05,21.12
67.54716,31.48063,1,716.01,21.08
67.91899,31.49402,1,715.97,21.04
68.26148,31.50281,1,715.93,21.0
68.60706,31.51715,1,715.89,20.96
68.95784,31.5304,1,715.85,20.92
69.29321,31.54647,1,715.81,20.88
69.61971,31.57081,1,715.77,20.84
69.9542,31.59519,1,715.73,20.8
70.29219,31.62281,1,715.69,20.76
70.60986,31.64808,1,715.65,20.72
70.92935,31.65901,1,715.61,20.68
71.24267,31.67147,1,715.57,20.64
71.549,31.67799,1,715.53,20.6
71.84998,31.68492,1,715.49,20.56
72.1592,31.69039,1,715.44,20.52
72.48244,31.69825,1,715.4,20.48
72.79996,31.70158,1,715.36,20.44
73.11395,31.71207,1,715.32,20.4
73.41479,31.73169,1,715.28,20.36
73.70268,31.75258,1,715.24,20.32
73.99043,31.7618,1,715.2,20.28
74.25334,31.77298,1,715.16,20.24
74.50836,31.77922,1,715.12,20.2
74.74156,31.78689,1,715.08,20.16
74.96092,31.83747,1,715.04,20.12
75.16205,31.894,1,715.0,20.08
75.38077,31.96567,1,714.96,20.04
75.56752,32.02957,1,714.92,20.0
75.756,32.07162,1,714.88,19.96
75.92952,32.10993,1,714.84,19.92
76.08454,32.15292,1,714.8,19.88
76.21432,32.24119,1,714.76,19.84
76.32213,32.29059,1,714.72,19.8
76.48089,32.37279,1,714.68,19.76
76.64,32.40517,1,714.64,19.72
76.73388,32.49256,1,714.6,19.68
76.83177,32.56358,1,714.55,19.64
76.90816,32.62791,1,714.51,19.6
77.01589,32.69028,1,714.47,19.56
77.12378,32.70778,1,714.43,19.52
77.22833,32.7313,1,714.39,19.48
77.33005,32.78611,1,714.35,19.44
77.4916,32.89175,1,714.31,19.4
77.58526,32.9992,1,714.27,19.37
77.67833,33.06154,1,714.23,19.33
77.74599,33.12231,1,714.19,19.29
77.81925,33.14154,1,714.15,19.25
77.91194,33.20166,1,714.11,19.21
77.9411,33.21378,1,714.07,19.17
77.95072,33.28665,1,714.03,19.13
77.99457,33.31199,1,713.99,19.09
78.0351,33.34513,1,713.95,19.05
78.0688,33.3841,1,713.91,19.01
78.06431,33.42514,1,713.87,18.97
78.05972,33.47182,1,713.83,18.93
78.05464,33.51595,1,713.79,18.89
78.00985,33.51865,1,713.74,18.85
77.91697,33.4822,1,713.7,18.81
77.87434,33.46661,1,713.66,18.77
77.81896,33.49363,1,713.62,18.73
77.77548,33.51751,1,713.58,18.69
77.74152,33.5371,1,713.54,18.65
77.69824,33.5478,1,713.5,18.61
77.65777,33.55475,1,713.46,18.57
77.60448,33.55205,1,713.42,18.53
77.55644,33.54571,1,713.38,18.49
77.50402,33.53649,1,713.34,18.45
77.45359,33.52404,1,713.3,18.41
77.4058,33.50553,1,713.26,18.37
77.35399,33.4829,1,713.22,18.33
77.29945,33.46241,1,713.18,18.29
77.24871,33.43575,1,713.14,18.25
77.19813,33.4035,1,713.1,18.21
77.14219,33.371,1,713.06,18.17
77.08687,33.33356,1,713.02,18.13
77.03095,33.29084,1,712.98,18.09
76.96527,33.24743,1,712.94,18.05
76.895,33.19999,1,712.89,18.01
76.82833,33.1521,1,712.86,17.97
76.7627,33.10625,1,712.81,17.93
76.70705,33.06289,1,712.77,17.89
76.64922,33.0156,1,712.73,17.85
76.59398,32.97349,1,712.69,17.81
76.54064,32.93467,1,712.65,17.77
76.48635,32.90289,1,712.61,17.73
76.4447,32.87668,1,712.57,17.69
76.39538,32.85439,1,712.53,17.65
76.35197,32.818,1,712.49,17.61
76.30194,32.79918,1,712.45,17.57
76.26942,32.7771,1,712.41,17.53
76.24054,32.75706,1,712.37,17.49
76.20458,32.7428,1,712.33,17.45
76.17694,32.72824,1,712.29,17.41
76.1453,32.7206,1,712.25,17.37
76.1229,32.70961,1,712.21,17.33
76.08627,32.69682,1,712.17,17.29
76.05802,32.68622,1,712.13,17.25
76.02916,32.67023,1,712.09,17.21
75.99448,32.66018,1,712.04,17.17
75.96809,32.63489,1,712.01,17.13
75.92373,32.60322,1,711.96,17.09
75.88579,32.56936,1,711.92,17.05
75.84541,32.54661,1,711.88,17.01
75.80934,32.5149,1,711.84,16.97
75.71209,32.53257,1,711.8,16.93
75.61324,32.53167,1,711.76,16.89
75.51173,32.56196,1,711.72,16.85
75.40399,32.60068,1,711.68,16.81
75.28498,32.63938,1,711.64,16.77
75.16136,32.6812,1,711.6,16.73
75.03745,32.73112,1,711.56,16.69
74.90658,32.78194,1,711.52,16.65
74.77853,32.8436,1,711.48,16.61
74.6375,32.89545,1,711.44,16.58
74.51366,32.93202,1,711.4,16.53
74.37198,32.95231,1,711.36,16.49
74.23654,32.95996,1,711.32,16.45
74.09053,32.96213,1,711.28,16.41
73.94088,32.9506,1,711.24,16.38
73.83153,32.91597,1,711.19,16.34
73.70677,32.91465,1,711.15,16.3
73.58549,32.86648,1,711.11,16.26
73.40747,32.77632,1,711.07,16.22
73.24664,32.74589,1,711.03,16.18
73.07704,32.63299,1,710.99,16.14
72.81272,32.59492,1,710.95,16.1
72.60512,32.55976,1,710.91,16.06
72.38715,32.49791,1,710.87,16.02
72.17005,32.41286,1,710.83,15.98
71.98757,32.3164,1,710.79,15.94
71.88991,32.22532,1,710.75,15.9
71.74125,32.08112,1,710.71,15.86
71.64064,32.00697,1,710.67,15.82
71.5283,31.92702,1,710.63,15.78
71.42081,31.82663,1,710.59,15.74
71.31626,31.7154,1,710.55,15.7
71.25841,31.62492,1,710.51,15.66
71.21153,31.56286,1,710.47,15.62
71.15951,31.43623,1,710.43,15.58
71.12805,31.40871,1,710.39,15.54
71.18062,31.28542,1,710.34,15.5
71.19418,31.18095,1,710.3,15.46
71.2027,31.09616,1,710.26,15.42
71.2093,31.02852,1,710.22,15.38
71.16928,31.00082,1,710.18,15.34
71.10664,30.99374,1,710.14,15.3
71.05514,31.03653,1,710.1,15.26
70.95769,31.00664,1,710.06,15.22
70.841,30.96195,1,710.02,15.18
70.75012,30.93092,1,709.98,15.14
70.67244,30.89134,1,709.94,15.1
70.56322,30.80718,1,709.9,15.06
70.49444,30.7274,1,709.86,15.02
70.42071,30.65096,1,709.82,14.98
70.37854,30.5602,1,709.78,14.94
70.35539,30.47257,1,709.74,14.9
70.2604,30.33433,1,709.7,14.86
70.21721,30.18743,1,709.66,14.82
70.14156,30.03862,1,709.62,14.78
70.03991,29.8781,1,709.58,14.74
69.89862,29.69625,1,709.54,14.7
69.79324,29.51328,1,709.49,14.66
69.68817,29.32287,1,709.46,14.62
69.60005,29.14191,1,709.41,14.58
69.53949,28.94027,1,709.37,14.54
69.41874,28.70905,1,709.33,14.5
69.26226,28.50702,1,709.29,14.46
69.11089,28.2947,1,709.25,14.42
68.92386,28.05679,1,709.21,14.38
68.68816,27.78444,1,709.17,14.34
68.4531,27.52293,1,709.13,14.3
68.26054,27.26283,1,709.09,14.26
68.01154,26.99494,1,709.05,14.22
67.8046,26.72904,1,709.01,14.18
67.59998,26.4474,1,708.97,14.14
67.38099,26.16351,1,708.93,14.1
67.14066,25.87297,1,708.89,14.06
66.89519,25.58642,1,708.85,14.02
66.65547,25.29657,1,708.81,13.98
66.36209,24.98572,1,708.77,13.94
66.10898,24.69535,1,708.73,13.9
65.86937,24.39019,1,708.69,13.86
65.63039,24.08153,1,708.65,13.82
65.40606,23.78531,1,708.61,13.78
65.17109,23.51005,1,708.57,13.74
64.91139,23.22479,1,708.52,13.7
64.66092,22.95752,1,708.48,13.66
64.42321,22.70525,1,708.44,13.63
64.18636,22.45025,1,708.4,13.58
63.94205,22.21516,1,708.36,13.55
63.69052,21.98417,1,708.32,13.5
63.44239,21.76802,1,708.28,13.47
63.18593,21.55573,1,708.24,13.43
62.93625,21.35558,1,708.2,13.38
62.68369,21.18218,1,708.16,13.35
62.4509,21.01418,1,708.12,13.31
62.21863,20.87152,1,708.08,13.27
61.98403,20.74286,1,708.04,13.23
61.75652,20.62113,1,708.0,13.19
61.55115,20.51888,1,707.96,13.15
61.35894,20.42403,1,707.92,13.11
61.1796,20.33759,1,707.88,13.07
60.99781,20.24991,1,707.84,13.03
60.83278,20.17687,1,707.8,12.99
60.65258,20.10107,1,707.76,12.95
60.47943,20.05711,1,707.72,12.91
60.29968,20.00967,1,707.67,12.87
60.13339,19.96004,1,707.63,12.83
59.96376,19.92275,1,707.59,12.79
59.79189,19.88354,1,707.55,12.75
59.62039,19.87476,1,707.51,12.71
59.47889,19.9049,1,707.47,12.67
59.34147,19.95132,1,707.43,12.63
59.22445,20.0104,1,707.39,12.59
59.09538,20.08156,1,707.35,12.55
58.97238,20.16974,1,707.31,12.51
58.84643,20.26258,1,707.27,12.47
58.73328,20.36245,1,707.23,12.43
58.60571,20.48284,1,707.19,12.39
58.51588,20.61809,1,707.15,12.35
58.44202,20.73583,1,707.11,12.31
58.39622,20.87901,1,707.07,12.27
58.3541,21.04542,1,707.03,12.23
58.33328,21.22056,1,706.99,12.19
58.32894,21.41134,1,706.95,12.15
58.32365,21.59471,1,706.91,12.11
58.30409,21.73883,1,706.87,12.07
58.2867,21.88693,1,706.82,12.03
58.27151,22.04076,1,706.78,11.99
58.27149,22.1912,1,706.74,11.95
58.29617,22.28732,1,706.7,11.91
58.29484,22.42365,1,706.66,11.87
58.28151,22.57135,1,706.62,11.83
58.27511,22.69847,1,706.58,11.79
58.26466,22.85582,1,706.54,11.75
58.27136,23.01465,1,706.5,11.71
58.27534,23.15313,1,706.46,11.67
58.29637,23.28925,1,706.42,11.63
58.31237,23.42655,1,706.38,11.59
58.32454,23.57133,1,706.34,11.55
58.34774,23.71494,1,706.3,11.51
58.38246,23.87394,1,706.26,11.47
58.43928,24.03324,1,706.22,11.43
58.50198,24.18766,1,706.18,11.39
58.57922,24.33568,1,706.14,11.35
58.64968,24.52625,1,706.1,11.31
58.75798,24.68018,1,706.06,11.27
58.89481,24.8275,1,706.02,11.23
59.04295,24.98461,1,705.97,11.19
59.22316,25.12537,1,705.93,11.15
59.41222,25.26953,1,705.89,11.11
59.62043,25.43141,1,705.85,11.07
59.84326,25.58417,1,705.81,11.03
60.08189,25.73094,1,705.77,10.99
60.34775,25.86865,1,705.73,10.95
60.62561,26.00186,1,705.69,10.91
60.90593,26.13125,1,705.65,10.87
61.19262,26.26425,1,705.61,10.83
61.47654,26.37582,1,705.57,10.79
61.77735,26.47982,1,705.53,10.75
62.09186,26.59637,1,705.49,10.71
62.44249,26.71089,1,705.45,10.67
62.81723,26.79926,1,705.41,10.63
63.22508,26.88673,1,705.37,10.6
63.64764,26.96279,1,705.33,10.56
