x_loc,y_loc,quarter,game_clock,shot_clock
48.14853,14.01251,1,720.0,24.0
48.1385,14.04698,1,719.98,24.0
48.13288,14.08655,1,719.94,24.0
48.13946,14.1301,1,719.9,24.0
48.15317,14.17998,1,719.86,24.0
48.17581,14.2322,1,719.82,24.0
48.22871,14.27764,1,719.78,24.0
48.27834,14.32991,1,719.74,24.0
48.3287,14.38659,1,719.69,24.0
48.38774,14.45329,1,719.65,24.0
48.45289,14.52431,1,719.61,24.0
48.52508,14.60095,1,719.57,24.0
48.61019,14.68243,1,719.53,24.0
48.7037,14.77805,1,719.49,24.0
48.79153,14.88312,1,719.45,24.0
48.88496,14.98907,1,719.41,24.0
48.97296,15.10383,1,719.37,24.0
49.05868,15.22466,1,719.33,24.0
49.13564,15.3543,1,719.29,24.0
49.21048,15.48883,1,719.25,24.0
49.2747,15.63243,1,719.21,24.0
49.30486,15.78686,1,719.17,24.0
49.33319,15.94787,1,719.13,24.0
49.36344,16.1113,1,719.09,24.0
49.38684,16.2773,1,719.05,24.0
49.40771,16.44007,1,719.01,24.0
49.42678,16.60815,1,718.97,24.0
49.4348,16.77751,1,718.93,24.0
49.43739,16.94598,1,718.89,24.0
49.44214,17.11377,1,718.85,24.0
49.43735,17.28243,1,718.8,23.83
49.44088,17.45122,1,718.76,23.79
49.44755,17.61744,1,718.72,23.75
49.45128,17.77988,1,718.68,23.71
49.44964,17.94371,1,718.64,23.67
49.44904,18.10958,1,718.6,23.63
49.45216,18.27064,1,718.56,23.59
49.45289,18.43026,1,718.52,23.55
49.45409,18.59059,1,718.48,23.51
49.45078,18.75053,1,718.44,23.47
49.44333,18.90978,1,718.4,23.43
49.4327,19.0613,1,718.36,23.39
49.42504,19.20802,1,718.32,23.35
49.4144,19.34986,1,718.28,23.31
49.40062,19.481,1,718.24,23.27
49.39323,19.60723,1,718.2,23.23
49.38194,19.72353,1,718.16,23.19
49.3718,19.8316,1,718.12,23.15
49.37034,19.93187,1,718.08,23.11
49.37482,20.01985,1,718.03,23.07
49.3806,20.09729,1,718.0,23.03
49.39507,20.17203,1,717.95,22.99
49.42423,20.24188,1,717.91,22.95
49.46573,20.30336,1,717.87,22.91
49.52302,20.35363,1,717.83,22.87
49.60048,20.39883,1,717.79,22.83
49.69118,20.44044,1,717.75,22.79
