x_loc,y_loc,quarter,game_clock,shot_clock
44.73143,34.42637,1,720.0,24.0
44.7591,34.42741,1,719.98,24.0
44.79824,34.43751,1,719.94,24.0
44.85351,34.46139,1,719.9,24.0
44.91934,34.49402,1,719.86,24.0
44.99735,34.53197,1,719.82,24.0
45.08491,34.57632,1,719.78,24.0
45.18793,34.62958,1,719.74,24.0
45.30148,34.68415,1,719.69,24.0
45.42495,34.73832,1,719.65,24.0
45.5523,34.79683,1,719.61,24.0
45.692,34.85957,1,719.57,24.0
45.82955,34.91287,1,719.53,24.0
45.9785,34.97314,1,719.49,24.0
46.13527,35.03827,1,719.45,24.0
46.28949,35.10558,1,719.41,24.0
46.45623,35.17483,1,719.37,24.0
46.61747,35.24302,1,719.33,24.0
46.79297,35.3143,1,719.29,24.0
46.973,35.38299,1,719.25,24.0
47.177,35.45482,1,719.21,24.0
47.39904,35.52396,1,719.17,24.0
47.62973,35.59322,1,719.13,24.0
47.86959,35.66378,1,719.09,24.0
48.12828,35.73804,1,719.05,24.0
48.40375,35.81587,1,719.01,24.0
48.68681,35.90207,1,718.97,24.0
48.98875,36.00552,1,718.93,24.0
49.29321,36.10014,1,718.89,24.0
49.61036,36.1907,1,718.85,24.0
49.95704,36.29048,1,718.8,23.83
50.30842,36.38727,1,718.76,23.79
50.67196,36.48569,1,718.72,23.75
51.02879,36.57484,1,718.68,23.71
51.40363,36.66097,1,718.64,23.67
51.77097,36.74929,1,718.6,23.63
52.13739,36.84485,1,718.56,23.59
52.50185,36.94539,1,718.52,23.55
52.86137,37.04529,1,718.48,23.51
53.22416,37.1475,1,718.44,23.47
53.59213,37.25197,1,718.4,23.43
53.97546,37.35224,1,718.36,23.39
54.36265,37.4532,1,718.32,23.35
54.77236,37.56312,1,718.28,23.31
55.18749,37.68242,1,718.24,23.27
55.60298,37.79219,1,718.2,23.23
56.02463,37.90015,1,718.16,23.19
56.449,37.9939,1,718.12,23.15
56.88081,38.08516,1,718.08,23.11
57.31705,38.19391,1,718.03,23.07
57.75913,38.30168,1,718.0,23.03
58.2086,38.4073,1,717.95,22.99
58.66556,38.50963,1,717.91,22.95
59.13554,38.61942,1,717.87,22.91
59.61244,38.72389,1,717.83,22.87
60.09628,38.82116,1,717.79,22.83
60.55873,38.91513,1,717.75,22.79
61.01951,38.99943,1,717.71,22.75
61.46937,39.08354,1,717.67,22.71
61.91912,39.15532,1,717.63,22.67
62.36633,39.23985,1,717.59,22.63
62.81469,39.32485,1,717.55,22.59
63.28089,39.41449,1,717.51,22.55
63.75098,39.50246,1,717.47,22.51
64.21394,39.574,1,717.43,22.47
64.67835,39.62902,1,717.39,22.43
65.17944,39.69395,1,717.35,22.4
65.7116,39.7028,1,717.31,22.35
66.20356,39.71799,1,717.27,22.32
66.66838,39.76653,1,717.23,22.28
67.17359,39.8087,1,717.18,22.23
67.70505,39.79016,1,717.14,22.2
68.22929,39.75166,1,717.1,22.16
68.70191,39.69213,1,717.06,22.12
69.19514,39.62755,1,717.02,22.08
69.64863,39.55198,1,716.98,22.04
70.11675,39.44715,1,716.94,22.0
70.57446,39.32611,1,716.9,21.96
71.03081,39.17995,1,716.86,21.92
71.48553,39.02381,1,716.82,21.88
71.92645,38.88021,1,716.78,21.84
72.3187,38.71866,1,716.74,21.8
72.7017,38.59088,1,716.7,21.76
73.12272,38.44071,1,716.66,21.72
73.53529,38.26,1,716.62,21.68
