x_loc,y_loc,quarter,game_clock,shot_clock
39.04295,25.64729,1,720.0,24.0
39.03393,25.68198,1,719.98,24.0
39.01791,25.71827,1,719.94,24.0
38.98975,25.73905,1,719.9,24.0
38.96511,25.76505,1,719.86,24.0
38.9496,25.79664,1,719.82,24.0
38.92674,25.82931,1,719.78,24.0
38.90649,25.86576,1,719.74,24.0
38.88163,25.90575,1,719.69,24.0
38.84827,25.94338,1,719.65,24.0
38.81856,25.98721,1,719.61,24.0
38.79931,26.02734,1,719.57,24.0
38.78234,26.07028,1,719.53,24.0
38.77504,26.11176,1,719.49,24.0
38.78004,26.15435,1,719.45,24.0
38.79513,26.18388,1,719.41,24.0
38.82301,26.21455,1,719.37,24.0
38.86454,26.24588,1,719.33,24.0
38.9264,26.29076,1,719.29,24.0
38.99444,26.32869,1,719.25,24.0
39.07236,26.36219,1,719.21,24.0
39.16363,26.39561,1,719.17,24.0
39.25061,26.41933,1,719.13,24.0
39.34868,26.44991,1,719.09,24.0
39.4533,26.47424,1,719.05,24.0
39.56979,26.49383,1,719.01,24.0
39.69511,26.51164,1,718.97,24.0
39.83694,26.5347,1,718.93,24.0
39.97856,26.55578,1,718.89,24.0
40.12585,26.57172,1,718.85,24.0
40.28724,26.59338,1,718.8,23.83
40.45906,26.60877,1,718.76,23.79
40.64008,26.61727,1,718.72,23.75
40.82645,26.61691,1,718.68,23.71
41.02985,26.61014,1,718.64,23.67
41.24773,26.59954,1,718.6,23.63
41.47804,26.58257,1,718.56,23.59
41.7273,26.56432,1,718.52,23.55
41.98888,26.53634,1,718.48,23.51
42.26878,26.50327,1,718.44,23.47
42.55378,26.46731,1,718.4,23.43
42.84412,26.42476,1,718.36,23.39
43.12592,26.38358,1,718.32,23.35
43.43451,26.33838,1,718.28,23.31
43.74629,26.29665,1,718.24,23.27
44.06791,26.24474,1,718.2,23.23
44.3966,26.19068,1,718.16,23.19
44.73846,26.12874,1,718.12,23.15
45.08811,26.06033,1,718.08,23.11
45.44285,25.99516,1,718.03,23.07
45.80048,25.92297,1,718.0,23.03
46.17452,25.84069,1,717.95,22.99
46.5388,25.75699,1,717.91,22.95
46.89912,25.65499,1,717.87,22.91
47.24793,25.5551,1,717.83,22.87
47.59549,25.44822,1,717.79,22.83
47.9443,25.33798,1,717.75,22.79
48.31019,25.21191,1,717.71,22.75
48.67343,25.0747,1,717.67,22.71
49.03464,24.91744,1,717.63,22.67
49.39313,24.7553,1,717.59,22.63
49.74913,24.58805,1,717.55,22.59
50.09062,24.42837,1,717.51,22.55
50.42215,24.26394,1,717.47,22.51
50.74333,24.09519,1,717.43,22.47
51.06276,23.92575,1,717.39,22.43
51.37203,23.75901,1,717.35,22.4
51.70933,23.58979,1,717.31,22.35
52.07393,23.39383,1,717.27,22.32
52.42173,23.15898,1,717.23,22.28
52.77008,22.92855,1,717.18,22.23
53.10517,22.6929,1,717.14,22.2
53.43068,22.45013,1,717.1,22.16
53.74034,22.21721,1,717.06,22.12
54.05054,21.98777,1,717.02,22.08
54.35715,21.75934,1,716.98,22.04
54.65708,21.52209,1,716.94,22.0
54.97704,21.27346,1,716.9,21.96
55.29778,21.01763,1,716.86,21.92
55.60606,20.74262,1,716.82,21.88
55.89991,20.40457,1,716.78,21.84
56.17196,20.05589,1,716.74,21.8
56.41945,19.76794,1,716.7,21.76
56.62526,19.52072,1,716.66,21.72
56.84917,19.3101,1,716.62,21.68
57.08822,19.09552,1,716.58,21.64
57.34287,18.86694,1,716.54,21.6
57.61185,18.62894,1,716.5,21.56
57.87588,18.39486,1,716.46,21.52
58.13761,18.16623,1,716.42,21.48
58.38885,17.94619,1,716.38,21.44
58.65169,17.74113,1,716.34,21.4
58.88811,17.51243,1,716.29,21.36
59.10782,17.28337,1,716.25,21.32
59.33603,17.07252,1,716.21,21.28
59.57018,16.92207,1,716.17,21.24
59.81031,16.78343,1,716.13,21.2
