x_loc,y_loc,quarter,game_clock,shot_clock
45.56796,14.36784,1,720.0,24.0
45.55259,14.36057,1,719.98,24.0
45.53509,14.36066,1,719.94,24.0
45.51575,14.36464,1,719.9,24.0
45.50336,14.37061,1,719.86,24.0
45.47575,14.38186,1,719.82,24.0
45.40806,14.39895,1,719.78,24.0
45.30804,14.41253,1,719.74,24.0
45.18811,14.42389,1,719.69,24.0
45.0672,14.4339,1,719.65,24.0
44.90628,14.45095,1,719.61,24.0
44.74956,14.46131,1,719.57,24.0
44.55249,14.47418,1,719.53,24.0
44.38214,14.48643,1,719.49,24.0
44.18092,14.49789,1,719.45,24.0
43.94244,14.51644,1,719.41,24.0
43.68911,14.53933,1,719.37,24.0
43.42447,14.56075,1,719.33,24.0
43.14271,14.59369,1,719.29,24.0
42.82583,14.63519,1,719.25,24.0
42.49648,14.68127,1,719.21,24.0
42.17776,14.73144,1,719.17,24.0
41.86555,14.79325,1,719.13,24.0
41.54147,14.87363,1,719.09,24.0
41.19,14.97012,1,719.05,24.0
40.86233,15.0728,1,719.01,24.0
40.52068,15.19957,1,718.97,24.0
40.1956,15.348,1,718.93,24.0
39.83002,15.51477,1,718.89,24.0
39.47687,15.69708,1,718.85,24.0
39.14595,15.89416,1,718.8,23.83
38.82122,16.09991,1,718.76,23.79
38.47921,16.32864,1,718.72,23.75
38.13453,16.56242,1,718.68,23.71
37.80903,16.80815,1,718.64,23.67
37.49595,17.06509,1,718.6,23.63
37.20528,17.33411,1,718.56,23.59
36.92516,17.62903,1,718.52,23.55
36.66325,17.93045,1,718.48,23.51
36.41989,18.24032,1,718.44,23.47
36.16974,18.56362,1,718.4,23.43
35.92917,18.89205,1,718.36,23.39
35.70024,19.22168,1,718.32,23.35
35.48192,19.55733,1,718.28,23.31
35.29685,19.8988,1,718.24,23.27
35.08356,20.26536,1,718.2,23.23
34.87152,20.64045,1,718.16,23.19
34.69305,21.00982,1,718.12,23.15
34.5645,21.35116,1,718.08,23.11
34.4272,21.71678,1,718.03,23.07
34.30172,22.08946,1,718.0,23.03
34.17136,22.47748,1,717.95,22.99
34.05572,22.85894,1,717.91,22.95
33.95311,23.23596,1,717.87,22.91
33.85484,23.6016,1,717.83,22.87
33.77679,23.96006,1,717.79,22.83
33.70514,24.32064,1,717.75,22.79
33.63811,24.68165,1,717.71,22.75
33.58304,25.03508,1,717.67,22.71
33.50677,25.38583,1,717.63,22.67
33.4894,25.70099,1,717.59,22.63
33.48352,26.02043,1,717.55,22.59
33.48774,26.3301,1,717.51,22.55
33.46343,26.66708,1,717.47,22.51
33.43571,27.00915,1,717.43,22.47
33.42139,27.33412,1,717.39,22.43
33.4339,27.64229,1,717.35,22.4
33.48953,27.90034,1,717.31,22.35
33.55045,28.15441,1,717.27,22.32
33.62153,28.41424,1,717.23,22.28
33.71804,28.67656,1,717.18,22.23
33.81891,28.93434,1,717.14,22.2
33.94504,29.17977,1,717.1,22.16
34.07859,29.43661,1,717.06,22.12
34.21489,29.68762,1,717.02,22.08
34.34364,29.93995,1,716.98,22.04
34.47575,30.17685,1,716.94,22.0
34.60934,30.4167,1,716.9,21.96
34.75553,30.65687,1,716.86,21.92
34.94401,30.86248,1,716.82,21.88
35.12707,31.07388,1,716.78,21.84
35.30815,31.27943,1,716.74,21.8
35.4642,31.52343,1,716.7,21.76
35.62781,31.76513,1,716.66,21.72
35.78007,31.98438,1,716.62,21.68
35.94765,32.20237,1,716.58,21.64
36.12165,32.40721,1,716.54,21.6
36.31955,32.64773,1,716.5,21.56
36.51262,32.87147,1,716.46,21.52
36.72615,33.08628,1,716.42,21.48
36.9531,33.30103,1,716.38,21.44
37.197,33.50499,1,716.34,21.4
37.44446,33.7066,1,716.29,21.36
37.68996,33.90799,1,716.25,21.32
37.93436,34.10182,1,716.21,21.28
38.18931,34.29139,1,716.17,21.24
38.44905,34.479,1,716.13,21.2
38.71697,34.69439,1,716.09,21.16
39.0041,34.90374,1,716.05,21.12
39.31162,35.1292,1,716.01,21.08
39.60486,35.34819,1,715.97,21.04
39.91316,35.55901,1,715.93,21.0
40.2015,35.72174,1,715.89,20.96
40.5004,35.88036,1,715.85,20.92
40.80399,36.04302,1,715.81,20.88
41.10717,36.20065,1,715.77,20.84
41.41583,36.36696,1,715.73,20.8
41.73221,36.53125,1,715.69,20.76
42.06202,36.68747,1,715.65,20.72
42.40165,36.8463,1,715.61,20.68
42.74418,37.00223,1,715.57,20.64
43.09713,37.15494,1,715.53,20.6
43.4535,37.29188,1,715.49,20.56
43.80267,37.43978,1,715.44,20.52
44.16418,37.5796,1,715.4,20.48
44.5249,37.71522,1,715.36,20.44
44.88636,37.85676,1,715.32,20.4
45.25002,37.99901,1,715.28,20.36
45.62561,38.14573,1,715.24,20.32
45.99549,38.29132,1,715.2,20.28
46.38126,38.43722,1,715.16,20.24
46.76178,38.57398,1,715.12,20.2
47.13236,38.69801,1,715.08,20.16
47.49918,38.80904,1,715.04,20.12
47.86167,38.91418,1,715.0,20.08
48.22705,39.01938,1,714.96,20.04
48.58175,39.12427,1,714.92,20.0
48.92434,39.20964,1,714.88,19.96
49.27557,39.2741,1,714.84,19.92
49.61653,39.34157,1,714.8,19.88
49.95615,39.40413,1,714.76,19.84
50.28697,39.46263,1,714.72,19.8
50.62649,39.55325,1,714.68,19.76
50.95611,39.6446,1,714.64,19.72
51.26948,39.69691,1,714.6,19.68
51.57924,39.73804,1,714.55,19.64
51.88436,39.78484,1,714.51,19.6
52.19764,39.84032,1,714.47,19.56
52.50716,39.90735,1,714.43,19.52
52.80561,39.96488,1,714.39,19.48
53.08721,40.01716,1,714.35,19.44
53.39507,40.10442,1,714.31,19.4
53.67687,40.16428,1,714.27,19.37
53.93467,40.22625,1,714.23,19.33
54.19323,40.2797,1,714.19,19.29
54.43925,40.33366,1,714.15,19.25
54.67737,40.39127,1,714.11,19.21
