x_loc,y_loc,quarter,game_clock,shot_clock
71.40341,24.52325,1,720.0,24.0
71.35152,24.46456,1,719.98,24.0
71.29512,24.41216,1,719.94,24.0
71.23812,24.3632,1,719.9,24.0
71.17197,24.31559,1,719.86,24.0
71.09841,24.27643,1,719.82,24.0
71.02293,24.24005,1,719.78,24.0
70.95066,24.21834,1,719.74,24.0
70.87087,24.19318,1,719.69,24.0
70.7921,24.177,1,719.65,24.0
70.72296,24.16737,1,719.61,24.0
70.64681,24.16217,1,719.57,24.0
70.57225,24.1543,1,719.53,24.0
70.49433,24.1464,1,719.49,24.0
70.41372,24.12692,1,719.45,24.0
70.34002,24.1013,1,719.41,24.0
70.26075,24.07211,1,719.37,24.0
70.18759,24.0381,1,719.33,24.0
70.11738,23.99582,1,719.29,24.0
70.05404,23.95528,1,719.25,24.0
69.99268,23.9056,1,719.21,24.0
69.93938,23.85006,1,719.17,24.0
69.88594,23.78646,1,719.13,24.0
69.83826,23.72395,1,719.09,24.0
69.78943,23.65838,1,719.05,24.0
69.72587,23.57992,1,719.01,24.0
69.66794,23.50073,1,718.97,24.0
69.6081,23.42338,1,718.93,24.0
69.54687,23.34482,1,718.89,24.0
69.48222,23.27087,1,718.85,24.0
69.40826,23.20176,1,718.8,23.83
69.3337,23.13323,1,718.76,23.79
69.25207,23.06721,1,718.72,23.75
69.16298,23.00361,1,718.68,23.71
69.06674,22.93936,1,718.64,23.67
68.96771,22.88327,1,718.6,23.63
68.85871,22.83203,1,718.56,23.59
68.74862,22.78805,1,718.52,23.55
68.63182,22.74609,1,718.48,23.51
68.51269,22.70434,1,718.44,23.47
68.39498,22.66327,1,718.4,23.43
68.27134,22.62043,1,718.36,23.39
68.14527,22.58613,1,718.32,23.35
68.02453,22.55576,1,718.28,23.31
67.91002,22.52431,1,718.24,23.27
67.8029,22.49301,1,718.2,23.23
67.69372,22.45961,1,718.16,23.19
67.57809,22.42886,1,718.12,23.15
67.46563,22.40706,1,718.08,23.11
67.36308,22.38783,1,718.03,23.07
67.26481,22.37222,1,718.0,23.03
67.16742,22.36218,1,717.95,22.99
67.07363,22.35661,1,717.91,22.95
66.98843,22.35281,1,717.87,22.91
66.90463,22.35898,1,717.83,22.87
66.81928,22.37632,1,717.79,22.83
66.74227,22.40628,1,717.75,22.79
66.66662,22.44398,1,717.71,22.75
66.59196,22.49478,1,717.67,22.71
66.52004,22.56183,1,717.63,22.67
66.45179,22.63967,1,717.59,22.63
66.39212,22.73461,1,717.55,22.59
66.33875,22.83721,1,717.51,22.55
66.29024,22.94504,1,717.47,22.51
66.23558,23.06405,1,717.43,22.47
66.1885,23.18637,1,717.39,22.43
66.14275,23.31465,1,717.35,22.4
66.09613,23.44626,1,717.31,22.35
66.05106,23.58974,1,717.27,22.32
66.0109,23.73842,1,717.23,22.28
65.97246,23.89033,1,717.18,22.23
65.92309,24.0483,1,717.14,22.2
65.87851,24.20665,1,717.1,22.16
65.82942,24.36435,1,717.06,22.12
65.77581,24.51999,1,717.02,22.08
65.72181,24.67812,1,716.98,22.04
65.66315,24.83777,1,716.94,22.0
65.58507,25.00387,1,716.9,21.96
65.52457,25.16687,1,716.86,21.92
65.45989,25.33295,1,716.82,21.88
