x_loc,y_loc,quarter,game_clock,shot_clock
48.496,34.21416,1,720.0,24.0
48.62514,34.20275,1,719.98,24.0
48.69834,34.20065,1,719.94,24.0
48.84059,34.18764,1,719.9,24.0
48.93335,34.1934,1,719.86,24.0
49.03944,34.19147,1,719.82,24.0
49.16307,34.18839,1,719.78,24.0
49.2975,34.18552,1,719.74,24.0
49.44429,34.18907,1,719.69,24.0
49.60487,34.19036,1,719.65,24.0
49.75689,34.20698,1,719.61,24.0
49.91228,34.22995,1,719.57,24.0
50.08455,34.25689,1,719.53,24.0
50.26031,34.29728,1,719.49,24.0
50.44177,34.33997,1,719.45,24.0
50.62523,34.39019,1,719.41,24.0
50.80262,34.44412,1,719.37,24.0
50.9949,34.50306,1,719.33,24.0
51.20405,34.5643,1,719.29,24.0
51.42833,34.62396,1,719.25,24.0
51.66174,34.69823,1,719.21,24.0
51.8978,34.76843,1,719.17,24.0
52.14563,34.83728,1,719.13,24.0
52.39746,34.90601,1,719.09,24.0
52.65816,34.975,1,719.05,24.0
52.92772,35.03634,1,719.01,24.0
53.20694,35.09845,1,718.97,24.0
53.49783,35.16203,1,718.93,24.0
53.79824,35.22049,1,718.89,24.0
54.10903,35.27663,1,718.85,24.0
54.43249,35.32724,1,718.8,23.83
54.77703,35.37805,1,718.76,23.79
55.12773,35.42956,1,718.72,23.75
55.47206,35.48645,1,718.68,23.71
55.82199,35.54191,1,718.64,23.67
56.17322,35.60051,1,718.6,23.63
56.52822,35.66906,1,718.56,23.59
56.8782,35.7402,1,718.52,23.55
57.23757,35.80898,1,718.48,23.51
57.60852,35.88921,1,718.44,23.47
57.98263,35.97256,1,718.4,23.43
58.36319,36.05685,1,718.36,23.39
58.74023,36.14543,1,718.32,23.35
59.127,36.22541,1,718.28,23.31
59.5102,36.31087,1,718.24,23.27
59.90193,36.393,1,718.2,23.23
60.28844,36.47822,1,718.16,23.19
60.67397,36.55184,1,718.12,23.15
61.06002,36.62422,1,718.08,23.11
61.44234,36.69765,1,718.03,23.07
61.82725,36.76271,1,718.0,23.03
62.2127,36.82323,1,717.95,22.99
62.60094,36.8863,1,717.91,22.95
62.98714,36.95454,1,717.87,22.91
63.36247,37.00876,1,717.83,22.87
63.74272,37.06502,1,717.79,22.83
64.11344,37.12651,1,717.75,22.79
64.492,37.17047,1,717.71,22.75
64.85868,37.21461,1,717.67,22.71
65.22841,37.23977,1,717.63,22.67
65.59321,37.26725,1,717.59,22.63
65.96806,37.2903,1,717.55,22.59
66.34181,37.3316,1,717.51,22.55
66.72862,37.37718,1,717.47,22.51
67.11901,37.42734,1,717.43,22.47
67.50469,37.48037,1,717.39,22.43
67.89437,37.53952,1,717.35,22.4
68.28879,37.60538,1,717.31,22.35
68.68469,37.66166,1,717.27,22.32
69.08761,37.72034,1,717.23,22.28
69.49421,37.77042,1,717.18,22.23
69.90475,37.8128,1,717.14,22.2
70.30786,37.85278,1,717.1,22.16
70.71486,37.89566,1,717.06,22.12
71.12429,37.94526,1,717.02,22.08
71.53316,37.99098,1,716.98,22.04
71.94456,38.03595,1,716.94,22.0
72.35455,38.06785,1,716.9,21.96
72.75259,38.1097,1,716.86,21.92
73.15306,38.14564,1,716.82,21.88
73.56071,38.17647,1,716.78,21.84
73.96028,38.17207,1,716.74,21.8
74.36615,38.15646,1,716.7,21.76
74.76733,38.13083,1,716.66,21.72
75.15994,38.10305,1,716.62,21.68
75.53652,38.06614,1,716.58,21.64
75.91922,38.03171,1,716.54,21.6
76.29563,37.99634,1,716.5,21.56
76.66488,37.95458,1,716.46,21.52
77.03452,37.92542,1,716.42,21.48
77.4047,37.89394,1,716.38,21.44
77.77434,37.86019,1,716.34,21.4
78.12965,37.80847,1,716.29,21.36
78.4856,37.73174,1,716.25,21.32
78.84636,37.64842,1,716.21,21.28
79.19818,37.5577,1,716.17,21.24
79.54563,37.48365,1,716.13,21.2
79.86307,37.45012,1,716.09,21.16
80.19267,37.38015,1,716.05,21.12
80.52122,37.32759,1,716.01,21.08
80.84818,37.24681,1,715.97,21.04
81.1724,37.14948,1,715.93,21.0
81.50047,37.03854,1,715.89,20.96
81.82802,36.94064,1,715.85,20.92
82.14853,36.82732,1,715.81,20.88
82.45846,36.70912,1,715.77,20.84
82.75758,36.58676,1,715.73,20.8
83.05456,36.47888,1,715.69,20.76
83.33627,36.37131,1,715.65,20.72
83.59281,36.2565,1,715.61,20.68
83.83584,36.13228,1,715.57,20.64
84.05111,36.01366,1,715.53,20.6
84.26725,35.8508,1,715.49,20.56
84.44757,35.73242,1,715.44,20.52
84.6106,35.5934,1,715.4,20.48
84.75663,35.48658,1,715.36,20.44
84.87188,35.38336,1,715.32,20.4
84.97658,35.30333,1,715.28,20.36
85.07577,35.21782,1,715.24,20.32
85.14896,35.13182,1,715.2,20.28
85.21323,35.05214,1,715.16,20.24
85.24779,34.9788,1,715.12,20.2
85.25926,34.90833,1,715.08,20.16
85.24332,34.84813,1,715.04,20.12
85.19734,34.78676,1,715.0,20.08
85.12896,34.74065,1,714.96,20.04
85.05072,34.68455,1,714.92,20.0
84.95258,34.64921,1,714.88,19.96
84.83787,34.62972,1,714.84,19.92
84.70391,34.62828,1,714.8,19.88
84.55579,34.6471,1,714.76,19.84
84.38724,34.68074,1,714.72,19.8
84.18135,34.72127,1,714.68,19.76
83.93513,34.77449,1,714.64,19.72
83.66806,34.83643,1,714.6,19.68
83.36792,34.90371,1,714.55,19.64
83.04793,34.97079,1,714.51,19.6
82.70771,35.0389,1,714.47,19.56
82.344,35.11216,1,714.43,19.52
81.96611,35.19503,1,714.39,19.48
81.56721,35.27826,1,714.35,19.44
81.16245,35.37602,1,714.31,19.4
80.73349,35.46085,1,714.27,19.37
80.28367,35.52247,1,714.23,19.33
79.82056,35.56207,1,714.19,19.29
79.33472,35.59701,1,714.15,19.25
78.84022,35.61788,1,714.11,19.21
78.34186,35.63146,1,714.07,19.17
77.8291,35.63619,1,714.03,19.13
77.29696,35.63648,1,713.99,19.09
76.75443,35.63956,1,713.95,19.05
76.20508,35.64809,1,713.91,19.01
75.65899,35.64373,1,713.87,18.97
75.16846,35.7023,1,713.83,18.93
74.62967,35.76698,1,713.79,18.89
74.04184,35.83822,1,713.74,18.85
73.43866,35.7175,1,713.7,18.81
72.84308,35.57545,1,713.66,18.77
72.25166,35.42437,1,713.62,18.73
71.65049,35.26494,1,713.58,18.69
71.05382,35.08376,1,713.54,18.65
70.4604,34.88514,1,713.5,18.61
69.86063,34.66589,1,713.46,18.57
69.26949,34.42276,1,713.42,18.53
68.69267,34.16417,1,713.38,18.49
68.12107,33.87855,1,713.34,18.45
67.56722,33.57127,1,713.3,18.41
67.0222,33.25709,1,713.26,18.37
66.45368,32.84603,1,713.22,18.33
65.94761,32.4155,1,713.18,18.29
65.5034,31.96572,1,713.14,18.25
65.06046,31.69819,1,713.1,18.21
64.6328,31.43292,1,713.06,18.17
64.20444,31.17327,1,713.02,18.13
63.79427,30.91546,1,712.98,18.09
63.39831,30.66072,1,712.94,18.05
63.00797,30.4163,1,712.89,18.01
62.63796,30.1841,1,712.86,17.97
62.28204,29.9665,1,712.81,17.93
61.93962,29.7613,1,712.77,17.89
61.61107,29.56923,1,712.73,17.85
61.28781,29.38482,1,712.69,17.81
60.98527,29.21129,1,712.65,17.77
60.68971,29.0498,1,712.61,17.73
60.41133,28.89767,1,712.57,17.69
60.15366,28.75682,1,712.53,17.65
59.93505,28.62034,1,712.49,17.61
59.73149,28.49892,1,712.45,17.57
59.55883,28.39242,1,712.41,17.53
59.40446,28.30381,1,712.37,17.49
59.26576,28.22639,1,712.33,17.45
59.15122,28.16074,1,712.29,17.41
59.05391,28.10316,1,712.25,17.37
58.97479,28.05344,1,712.21,17.33
58.9136,28.01125,1,712.17,17.29
58.86952,27.97641,1,712.13,17.25
58.84307,27.94856,1,712.09,17.21
58.81972,27.92528,1,712.04,17.17
58.79773,27.91392,1,712.01,17.13
58.78693,27.90586,1,711.96,17.09
58.78006,27.89947,1,711.92,17.05
58.77888,27.89195,1,711.88,17.01
58.77977,27.87983,1,711.84,16.97
58.7928,27.8576,1,711.8,16.93
58.8177,27.82377,1,711.76,16.89
58.8519,27.77657,1,711.72,16.85
58.89325,27.72363,1,711.68,16.81
58.94303,27.66121,1,711.64,16.77
59.00695,27.59226,1,711.6,16.73
59.07842,27.51797,1,711.56,16.69
59.15847,27.43869,1,711.52,16.65
59.25358,27.35773,1,711.48,16.61
59.36222,27.27628,1,711.44,16.58
59.48736,27.197,1,711.4,16.53
59.62008,27.1237,1,711.36,16.49
59.77143,27.05574,1,711.32,16.45
59.93298,26.99422,1,711.28,16.41
60.10795,26.94015,1,711.24,16.38
60.29383,26.89288,1,711.19,16.34
60.48743,26.85151,1,711.15,16.3
60.69331,26.82347,1,711.11,16.26
60.9057,26.79597,1,711.07,16.22
61.12799,26.77357,1,711.03,16.18
61.34572,26.75891,1,710.99,16.14
61.56996,26.74565,1,710.95,16.1
61.80396,26.7386,1,710.91,16.06
62.04028,26.73978,1,710.87,16.02
62.28058,26.75265,1,710.83,15.98
62.53131,26.77034,1,710.79,15.94
62.78962,26.79035,1,710.75,15.9
63.05319,26.81,1,710.71,15.86
63.32537,26.84857,1,710.67,15.82
63.60724,26.89197,1,710.63,15.78
63.89005,26.95518,1,710.59,15.74
64.18731,27.03429,1,710.55,15.7
64.48653,27.11948,1,710.51,15.66
64.80388,27.21839,1,710.47,15.62
65.13351,27.32358,1,710.43,15.58
65.47146,27.45697,1,710.39,15.54
65.78532,27.59527,1,710.34,15.5
66.10631,27.75017,1,710.3,15.46
66.46249,27.89717,1,710.26,15.42
66.86535,28.02249,1,710.22,15.38
67.27884,28.14581,1,710.18,15.34
67.6759,28.27489,1,710.14,15.3
68.04883,28.39989,1,710.1,15.26
68.41635,28.5071,1,710.06,15.22
68.78505,28.61747,1,710.02,15.18
69.15054,28.6998,1,709.98,15.14
69.49622,28.75934,1,709.94,15.1
69.858,28.81031,1,709.9,15.06
70.20058,28.86501,1,709.86,15.02
70.53034,28.93022,1,709.82,14.98
70.84784,28.98069,1,709.78,14.94
71.24314,29.01128,1,709.74,14.9
71.69039,29.00249,1,709.7,14.86
72.11865,29.00931,1,709.66,14.82
72.50682,29.04436,1,709.62,14.78
72.89864,29.09497,1,709.58,14.74
73.32208,29.13454,1,709.54,14.7
73.74538,29.17194,1,709.49,14.66
74.20604,29.21555,1,709.46,14.62
74.68449,29.26098,1,709.41,14.58
75.1694,29.31986,1,709.37,14.54
75.69706,29.39242,1,709.33,14.5
76.22847,29.47221,1,709.29,14.46
76.79745,29.53408,1,709.25,14.42
77.38938,29.57663,1,709.21,14.38
77.99588,29.62437,1,709.17,14.34
78.58444,29.67545,1,709.13,14.3
79.10808,29.79691,1,709.09,14.26
79.62375,29.91488,1,709.05,14.22
80.14708,30.00559,1,709.01,14.18
80.67229,30.06285,1,708.97,14.14
81.20065,30.1102,1,708.93,14.1
81.75163,30.16385,1,708.89,14.06
82.26043,30.20443,1,708.85,14.02
82.75026,30.234,1,708.81,13.98
83.23048,30.25623,1,708.77,13.94
83.64247,30.27535,1,708.73,13.9
84.03319,30.29484,1,708.69,13.86
84.39849,30.3226,1,708.65,13.82
84.7443,30.35614,1,708.61,13.78
85.07975,30.37951,1,708.57,13.74
85.3876,30.42019,1,708.52,13.7
85.70427,30.42463,1,708.48,13.66
86.01258,30.42447,1,708.44,13.63
86.31386,30.45192,1,708.4,13.58
86.58728,30.51082,1,708.36,13.55
86.8154,30.56566,1,708.32,13.5
87.02607,30.6244,1,708.28,13.47
87.22498,30.6947,1,708.24,13.43
87.40176,30.76567,1,708.2,13.38
87.56004,30.8356,1,708.16,13.35
87.73494,30.90833,1,708.12,13.31
87.89203,30.9811,1,708.08,13.27
88.02566,31.05628,1,708.04,13.23
88.13382,31.134,1,708.0,13.19
88.22665,31.20935,1,707.96,13.15
88.2909,31.2969,1,707.92,13.11
88.33147,31.37331,1,707.88,13.07
88.35061,31.44972,1,707.84,13.03
88.34035,31.517,1,707.8,12.99
88.31864,31.57311,1,707.76,12.95
88.29723,31.644,1,707.72,12.91
88.26695,31.71358,1,707.67,12.87
88.22761,31.78396,1,707.63,12.83
88.17894,31.85534,1,707.59,12.79
88.13019,31.93637,1,707.55,12.75
88.0795,32.01552,1,707.51,12.71
88.01661,32.09919,1,707.47,12.67
87.95217,32.1835,1,707.43,12.63
87.89008,32.27432,1,707.39,12.59
87.84084,32.36175,1,707.35,12.55
87.79514,32.44578,1,707.31,12.51
87.74682,32.54008,1,707.27,12.47
87.69824,32.6339,1,707.23,12.43
87.64574,32.73363,1,707.19,12.39
87.59229,32.8365,1,707.15,12.35
87.54136,32.94796,1,707.11,12.31
87.49066,33.05707,1,707.07,12.27
87.4384,33.16359,1,707.03,12.23
87.38855,33.27507,1,706.99,12.19
87.33518,33.38255,1,706.95,12.15
87.27937,33.49473,1,706.91,12.11
87.22714,33.60225,1,706.87,12.07
87.17247,33.71553,1,706.82,12.03
87.11168,33.82631,1,706.78,11.99
87.03941,33.94103,1,706.74,11.95
86.95837,34.05573,1,706.7,11.91
86.87707,34.16713,1,706.66,11.87
86.79333,34.28014,1,706.62,11.83
86.71189,34.38891,1,706.58,11.79
86.62499,34.49482,1,706.54,11.75
86.54139,34.60408,1,706.5,11.71
86.45643,34.71617,1,706.46,11.67
86.37404,34.8302,1,706.42,11.63
86.29003,34.93903,1,706.38,11.59
86.20422,35.05056,1,706.34,11.55
86.12125,35.16563,1,706.3,11.51
86.03975,35.28392,1,706.26,11.47
85.95257,35.39844,1,706.22,11.43
85.87633,35.51455,1,706.18,11.39
85.80424,35.63227,1,706.14,11.35
85.73897,35.75347,1,706.1,11.31
85.67927,35.87565,1,706.06,11.27
85.62666,36.00197,1,706.02,11.23
85.58772,36.13617,1,705.97,11.19
85.55581,36.27779,1,705.93,11.15
85.52374,36.41709,1,705.89,11.11
85.49274,36.56238,1,705.85,11.07
85.47532,36.71546,1,705.81,11.03
85.46098,36.87412,1,705.77,10.99
85.45692,37.03749,1,705.73,10.95
85.44599,37.19504,1,705.69,10.91
85.43811,37.35145,1,705.65,10.87
85.44063,37.50527,1,705.61,10.83
85.4402,37.66049,1,705.57,10.79
85.43973,37.81125,1,705.53,10.75
85.44894,37.95732,1,705.49,10.71
85.45783,38.10491,1,705.45,10.67
85.46933,38.25241,1,705.41,10.63
85.47054,38.39765,1,705.37,10.6
85.47621,38.54255,1,705.33,10.56
85.48352,38.68511,1,705.29,10.52
85.49149,38.82818,1,705.25,10.48
85.49139,38.96227,1,705.21,10.44
85.49246,39.09274,1,705.17,10.4
85.48911,39.22207,1,705.12,10.36
85.49268,39.35076,1,705.08,10.32
85.50019,39.4746,1,705.04,10.28
85.509,39.59499,1,705.0,10.24
85.51545,39.70826,1,704.96,10.2
85.52003,39.81714,1,704.92,10.16
85.52164,39.91824,1,704.88,10.12
85.52346,40.00968,1,704.84,10.08
85.52287,40.09077,1,704.8,10.04
85.52478,40.15782,1,704.76,10.0
85.52422,40.2124,1,704.72,9.96
85.52591,40.25512,1,704.68,9.92
85.53473,40.28449,1,704.64,9.88
85.55075,40.30343,1,704.6,9.84
85.57275,40.31263,1,704.56,9.8
85.60195,40.31044,1,704.52,9.76
85.66173,40.29697,1,704.48,9.72
85.71934,40.27148,1,704.44,9.68
85.77265,40.23774,1,704.4,9.64
85.82703,40.19384,1,704.36,9.6
85.88525,40.14081,1,704.32,9.56
85.91768,40.08596,1,704.27,9.52
85.95348,40.02953,1,704.23,9.48
85.98912,39.96797,1,704.19,9.44
86.04265,39.88951,1,704.15,9.4
86.09918,39.80342,1,704.11,9.36
86.15007,39.71933,1,704.07,9.32
86.20015,39.63582,1,704.03,9.28
86.24766,39.55564,1,703.99,9.24
86.29511,39.47877,1,703.95,9.2
86.33767,39.40483,1,703.91,9.16
86.35471,39.33331,1,703.87,9.12
86.37817,39.265,1,703.83,9.08
86.4013,39.19889,1,703.79,9.04
86.43431,39.12966,1,703.75,9.0
86.47755,39.05348,1,703.71,8.96
86.53611,38.976,1,703.67,8.92
86.58153,38.89411,1,703.63,8.88
86.6396,38.80581,1,703.59,8.84
86.68397,38.72458,1,703.55,8.8
86.7303,38.64,1,703.51,8.76
86.77644,38.54137,1,703.47,8.72
86.82307,38.43342,1,703.43,8.68
86.86434,38.32042,1,703.38,8.64
86.9047,38.20653,1,703.34,8.6
86.948,38.08579,1,703.3,8.56
86.97934,37.95866,1,703.26,8.52
87.00677,37.84271,1,703.22,8.48
87.03436,37.71849,1,703.18,8.44
87.04695,37.59888,1,703.14,8.4
87.04569,37.48767,1,703.1,8.36
87.04858,37.37348,1,703.06,8.32
87.06038,37.25897,1,703.02,8.28
87.06274,37.15169,1,702.98,8.24
87.06315,37.05028,1,702.94,8.2
87.06051,36.9599,1,702.9,8.16
87.06373,36.88055,1,702.86,8.12
87.05928,36.79755,1,702.82,8.08
87.06743,36.72142,1,702.78,8.04
87.07152,36.63715,1,702.74,8.0
87.07742,36.55429,1,702.7,7.96
87.08999,36.47487,1,702.66,7.92
87.10189,36.38442,1,702.62,7.88
87.11416,36.30006,1,702.58,7.85
87.13344,36.21971,1,702.53,7.8
87.14778,36.13876,1,702.49,7.77
87.16957,36.06433,1,702.45,7.72
87.18093,35.98904,1,702.41,7.68
87.18558,35.917,1,702.37,7.64
87.18219,35.84978,1,702.33,7.61
87.17213,35.78525,1,702.29,7.57
87.1523,35.72905,1,702.25,7.53
87.13576,35.68545,1,702.21,7.49
87.0953,35.64221,1,702.17,7.45
87.05143,35.61664,1,702.13,7.41
86.99842,35.59804,1,702.09,7.37
86.93716,35.59255,1,702.05,7.33
86.86989,35.59461,1,702.01,7.29
86.79952,35.60749,1,701.97,7.25
86.71845,35.62102,1,701.93,7.21
86.63661,35.641,1,701.89,7.17
86.54619,35.65676,1,701.85,7.13
86.46779,35.68163,1,701.81,7.09
86.38632,35.70527,1,701.77,7.05
86.30314,35.73052,1,701.72,7.01
86.21954,35.75557,1,701.68,6.97
86.13877,35.77764,1,701.64,6.93
86.06766,35.79962,1,701.6,6.89
85.99503,35.82754,1,701.56,6.85
85.91857,35.85028,1,701.52,6.81
85.84108,35.87641,1,701.48,6.77
85.76648,35.89829,1,701.44,6.73
85.71249,35.91126,1,701.4,6.69
85.64414,35.92901,1,701.36,6.65
85.59567,35.9358,1,701.32,6.61
85.53726,35.95406,1,701.28,6.57
85.49294,35.96961,1,701.24,6.53
85.45211,35.97239,1,701.2,6.49
85.40909,35.96512,1,701.16,6.45
85.37629,35.95008,1,701.12,6.41
85.34492,35.92738,1,701.08,6.37
85.31776,35.90214,1,701.04,6.33
