x_loc,y_loc,quarter,game_clock,shot_clock
54.4245,24.90473,1,720.0,24.0
54.52945,24.92878,1,719.98,24.0
54.63919,24.95641,1,719.94,24.0
54.75887,24.98803,1,719.9,24.0
54.88874,25.02419,1,719.86,24.0
55.02589,25.06287,1,719.82,24.0
55.15764,25.10398,1,719.78,24.0
55.29654,25.1458,1,719.74,24.0
55.439,25.18323,1,719.69,24.0
55.58814,25.22071,1,719.65,24.0
55.74594,25.24765,1,719.61,24.0
55.91083,25.27392,1,719.57,24.0
56.07814,25.2965,1,719.53,24.0
56.25289,25.31435,1,719.49,24.0
56.43413,25.32695,1,719.45,24.0
56.62093,25.33146,1,719.41,24.0
56.81207,25.32851,1,719.37,24.0
57.01455,25.3273,1,719.33,24.0
57.21533,25.32425,1,719.29,24.0
57.42095,25.32261,1,719.25,24.0
57.62674,25.32039,1,719.21,24.0
57.84289,25.31503,1,719.17,24.0
58.06072,25.30887,1,719.13,24.0
58.28668,25.30321,1,719.09,24.0
58.51897,25.29575,1,719.05,24.0
58.75272,25.29737,1,719.01,24.0
58.99233,25.3057,1,718.97,24.0
59.23181,25.31948,1,718.93,24.0
59.47114,25.33852,1,718.89,24.0
59.71055,25.36297,1,718.85,24.0
59.95257,25.39389,1,718.8,23.83
60.19026,25.42012,1,718.76,23.79
60.42918,25.44015,1,718.72,23.75
60.66691,25.46032,1,718.68,23.71
60.90376,25.47925,1,718.64,23.67
61.14211,25.4989,1,718.6,23.63
61.39193,25.52029,1,718.56,23.59
61.63886,25.53776,1,718.52,23.55
61.8835,25.55743,1,718.48,23.51
62.13805,25.57457,1,718.44,23.47
62.3853,25.59007,1,718.4,23.43
62.63018,25.59916,1,718.36,23.39
62.8816,25.60013,1,718.32,23.35
63.13174,25.60005,1,718.28,23.31
63.37971,25.59498,1,718.24,23.27
63.6252,25.58878,1,718.2,23.23
63.87903,25.59026,1,718.16,23.19
64.13039,25.60089,1,718.12,23.15
64.39527,25.61925,1,718.08,23.11
64.65405,25.64513,1,718.03,23.07
64.93855,25.66385,1,718.0,23.03
65.20816,25.69084,1,717.95,22.99
65.4777,25.73151,1,717.91,22.95
65.7586,25.76838,1,717.87,22.91
66.02661,25.81181,1,717.83,22.87
66.30153,25.85695,1,717.79,22.83
66.56917,25.91386,1,717.75,22.79
66.83411,25.9733,1,717.71,22.75
67.09783,26.0334,1,717.67,22.71
67.35243,26.10067,1,717.63,22.67
67.60107,26.17168,1,717.59,22.63
67.8465,26.23671,1,717.55,22.59
68.09224,26.2964,1,717.51,22.55
68.36491,26.36978,1,717.47,22.51
68.61937,26.4148,1,717.43,22.47
68.85039,26.46139,1,717.39,22.43
69.08504,26.49474,1,717.35,22.4
69.32508,26.51939,1,717.31,22.35
69.55657,26.55123,1,717.27,22.32
69.79075,26.58806,1,717.23,22.28
70.01251,26.62022,1,717.18,22.23
70.23497,26.64583,1,717.14,22.2
70.45314,26.67981,1,717.1,22.16
70.6778,26.71386,1,717.06,22.12
70.90372,26.74193,1,717.02,22.08
71.13395,26.7676,1,716.98,22.04
71.36066,26.79756,1,716.94,22.0
71.58096,26.83464,1,716.9,21.96
71.76798,26.85578,1,716.86,21.92
71.97203,26.90639,1,716.82,21.88
72.17094,26.96928,1,716.78,21.84
72.36529,27.03248,1,716.74,21.8
72.55194,27.09692,1,716.7,21.76
72.72614,27.15772,1,716.66,21.72
72.89696,27.21187,1,716.62,21.68
73.07032,27.26895,1,716.58,21.64
73.24775,27.32549,1,716.54,21.6
