x_loc,y_loc,quarter,game_clock,shot_clock
23.64675,24.63758,1,720.0,24.0
23.6713,24.6216,1,719.98,24.0
23.69856,24.61215,1,719.94,24.0
23.73733,24.59968,1,719.9,24.0
23.78779,24.58595,1,719.86,24.0
23.85031,24.56154,1,719.82,24.0
23.90522,24.54061,1,719.78,24.0
23.96054,24.52011,1,719.74,24.0
24.01945,24.49745,1,719.69,24.0
24.06726,24.4737,1,719.65,24.0
24.12838,24.4544,1,719.61,24.0
24.1823,24.43437,1,719.57,24.0
24.24405,24.41758,1,719.53,24.0
24.31246,24.40142,1,719.49,24.0
24.3673,24.38554,1,719.45,24.0
24.43877,24.37337,1,719.41,24.0
24.51539,24.36011,1,719.37,24.0
24.59709,24.34302,1,719.33,24.0
24.67776,24.32362,1,719.29,24.0
24.76483,24.3034,1,719.25,24.0
24.87094,24.28855,1,719.21,24.0
24.9839,24.27432,1,719.17,24.0
25.09097,24.26098,1,719.13,24.0
25.18657,24.2418,1,719.09,24.0
25.29419,24.2208,1,719.05,24.0
25.40613,24.20185,1,719.01,24.0
25.52764,24.18042,1,718.97,24.0
25.64664,24.15503,1,718.93,24.0
25.77188,24.12431,1,718.89,24.0
25.91737,24.08789,1,718.85,24.0
26.05284,24.04741,1,718.8,23.83
26.19905,24.00652,1,718.76,23.79
26.34748,23.96602,1,718.72,23.75
26.49882,23.93118,1,718.68,23.71
26.64305,23.9043,1,718.64,23.67
26.77126,23.88241,1,718.6,23.63
26.92007,23.85761,1,718.56,23.59
27.08548,23.82778,1,718.52,23.55
27.28175,23.81025,1,718.48,23.51
27.42815,23.7863,1,718.44,23.47
27.57968,23.76024,1,718.4,23.43
27.7542,23.73499,1,718.36,23.39
27.92189,23.70891,1,718.32,23.35
28.09488,23.68968,1,718.28,23.31
28.26565,23.67208,1,718.24,23.27
28.4409,23.65479,1,718.2,23.23
28.61319,23.63647,1,718.16,23.19
28.78685,23.61337,1,718.12,23.15
28.97359,23.59036,1,718.08,23.11
29.16971,23.53248,1,718.03,23.07
29.37202,23.46443,1,718.0,23.03
29.55908,23.43625,1,717.95,22.99
29.74781,23.38732,1,717.91,22.95
29.92592,23.33918,1,717.87,22.91
30.14893,23.2956,1,717.83,22.87
30.37664,23.255,1,717.79,22.83
30.5921,23.20356,1,717.75,22.79
30.83119,23.15401,1,717.71,22.75
31.07034,23.09857,1,717.67,22.71
31.31869,23.03699,1,717.63,22.67
31.57687,22.974,1,717.59,22.63
31.84012,22.90404,1,717.55,22.59
32.11082,22.83082,1,717.51,22.55
32.376,22.74141,1,717.47,22.51
32.64159,22.66833,1,717.43,22.47
32.90507,22.59708,1,717.39,22.43
33.17624,22.48643,1,717.35,22.4
33.44534,22.3884,1,717.31,22.35
33.72521,22.27461,1,717.27,22.32
34.01513,22.15254,1,717.23,22.28
34.31658,22.02359,1,717.18,22.23
34.62066,21.8942,1,717.14,22.2
34.92721,21.74674,1,717.1,22.16
35.23821,21.60344,1,717.06,22.12
35.5519,21.45464,1,717.02,22.08
35.87049,21.30376,1,716.98,22.04
36.18825,21.14855,1,716.94,22.0
36.51371,20.98924,1,716.9,21.96
36.83884,20.83863,1,716.86,21.92
37.16541,20.69139,1,716.82,21.88
37.49339,20.53618,1,716.78,21.84
37.83107,20.36927,1,716.74,21.8
38.18456,20.20171,1,716.7,21.76
38.53863,20.02923,1,716.66,21.72
38.89571,19.85062,1,716.62,21.68
39.24429,19.66776,1,716.58,21.64
39.59498,19.49073,1,716.54,21.6
39.93948,19.32418,1,716.5,21.56
40.29106,19.14414,1,716.46,21.52
40.64549,18.96683,1,716.42,21.48
40.9933,18.78807,1,716.38,21.44
41.35547,18.60405,1,716.34,21.4
41.71085,18.42123,1,716.29,21.36
42.06243,18.22954,1,716.25,21.32
42.41689,18.03648,1,716.21,21.28
42.7742,17.84522,1,716.17,21.24
43.13641,17.65476,1,716.13,21.2
43.4958,17.45933,1,716.09,21.16
43.86457,17.27207,1,716.05,21.12
44.22935,17.09404,1,716.01,21.08
44.59392,16.90734,1,715.97,21.04
44.96786,16.70985,1,715.93,21.0
45.3451,16.50748,1,715.89,20.96
45.71617,16.30598,1,715.85,20.92
46.08589,16.1033,1,715.81,20.88
46.45369,15.8972,1,715.77,20.84
46.81652,15.70176,1,715.73,20.8
47.18603,15.49772,1,715.69,20.76
47.55663,15.30243,1,715.65,20.72
47.93574,15.10176,1,715.61,20.68
48.31709,14.89375,1,715.57,20.64
48.68422,14.68985,1,715.53,20.6
49.04723,14.49078,1,715.49,20.56
49.40478,14.29237,1,715.44,20.52
49.76569,14.08914,1,715.4,20.48
50.13195,13.88974,1,715.36,20.44
50.4899,13.69508,1,715.32,20.4
50.85,13.5069,1,715.28,20.36
51.20726,13.30989,1,715.24,20.32
51.56756,13.10973,1,715.2,20.28
51.9286,12.91806,1,715.16,20.24
52.27687,12.71911,1,715.12,20.2
52.61995,12.52154,1,715.08,20.16
52.98031,12.31331,1,715.04,20.12
53.3246,12.11602,1,715.0,20.08
53.65519,11.93703,1,714.96,20.04
53.99016,11.75974,1,714.92,20.0
54.33247,11.57106,1,714.88,19.96
54.67256,11.38924,1,714.84,19.92
55.00773,11.20265,1,714.8,19.88
55.33792,11.01957,1,714.76,19.84
55.68217,10.84472,1,714.72,19.8
56.03037,10.65937,1,714.68,19.76
56.3864,10.48158,1,714.64,19.72
56.74609,10.30956,1,714.6,19.68
57.1104,10.14158,1,714.55,19.64
57.4866,9.97665,1,714.51,19.6
57.87134,9.81802,1,714.47,19.56
58.25666,9.67006,1,714.43,19.52
58.66377,9.50825,1,714.39,19.48
59.08141,9.35562,1,714.35,19.44
59.52441,9.21044,1,714.31,19.4
59.96643,9.07922,1,714.27,19.37
60.41583,8.94821,1,714.23,19.33
60.8795,8.83363,1,714.19,19.29
61.36398,8.71248,1,714.15,19.25
61.83815,8.59302,1,714.11,19.21
62.3164,8.49107,1,714.07,19.17
62.81839,8.39904,1,714.03,19.13
63.34355,8.36747,1,713.99,19.09
63.86493,8.30966,1,713.95,19.05
64.38594,8.23352,1,713.91,19.01
64.90761,8.21906,1,713.87,18.97
65.43815,8.20218,1,713.83,18.93
65.94211,8.18729,1,713.79,18.89
66.45663,8.14487,1,713.74,18.85
66.95244,8.11651,1,713.7,18.81
67.43012,8.13243,1,713.66,18.77
67.89498,8.14244,1,713.62,18.73
68.34977,8.15844,1,713.58,18.69
68.79236,8.20486,1,713.54,18.65
69.2305,8.26483,1,713.5,18.61
69.64739,8.33092,1,713.46,18.57
70.03501,8.3971,1,713.42,18.53
70.41159,8.42151,1,713.38,18.49
70.76275,8.47224,1,713.34,18.45
71.15463,8.56821,1,713.3,18.41
71.53052,8.61784,1,713.26,18.37
71.89062,8.67712,1,713.22,18.33
72.24875,8.74146,1,713.18,18.29
72.61896,8.85304,1,713.14,18.25
72.97192,9.02299,1,713.1,18.21
73.33361,9.16851,1,713.06,18.17
73.64176,9.35982,1,713.02,18.13
73.95338,9.55175,1,712.98,18.09
74.28529,9.71379,1,712.94,18.05
74.60084,9.88061,1,712.89,18.01
74.94915,10.0027,1,712.86,17.97
75.26507,10.17554,1,712.81,17.93
75.3895,10.219,1,712.77,17.89
75.52084,10.23699,1,712.73,17.85
75.55387,10.2193,1,712.69,17.81
75.54449,10.19202,1,712.65,17.77
75.48363,10.14401,1,712.61,17.73
75.3882,10.11398,1,712.57,17.69
75.24813,10.0577,1,712.53,17.65
75.07437,9.93067,1,712.49,17.61
74.88271,9.79437,1,712.45,17.57
74.70537,9.62167,1,712.41,17.53
74.44745,9.42133,1,712.37,17.49
74.11343,9.2374,1,712.33,17.45
73.75353,9.03599,1,712.29,17.41
73.32341,8.87489,1,712.25,17.37
72.87192,8.66475,1,712.21,17.33
72.54314,8.57787,1,712.17,17.29
72.17922,8.51163,1,712.13,17.25
71.82263,8.46625,1,712.09,17.21
71.46314,8.42803,1,712.04,17.17
71.08881,8.41426,1,712.01,17.13
70.72612,8.39868,1,711.96,17.09
70.31691,8.38712,1,711.92,17.05
69.90412,8.3882,1,711.88,17.01
69.45592,8.39758,1,711.84,16.97
