x_loc,y_loc,quarter,game_clock,shot_clock
41.05995,25.10464,1,720.0,24.0
40.35781,25.02603,1,719.98,24.0
39.60652,25.0511,1,719.94,24.0
38.46183,24.91799,1,719.9,24.0
37.66868,24.9152,1,719.86,24.0
36.76134,24.90923,1,719.82,24.0
35.88682,24.83703,1,719.78,24.0
35.0946,24.76696,1,719.74,24.0
34.51989,24.3785,1,719.69,24.0
33.33901,24.66373,1,719.65,24.0
32.41404,24.71017,1,719.61,24.0
31.65704,24.48191,1,719.57,24.0
30.94474,24.55946,1,719.53,24.0
30.0523,24.5668,1,719.49,24.0
28.93662,24.56975,1,719.45,24.0
28.34411,24.43788,1,719.41,24.0
27.19164,24.44968,1,719.37,24.0
26.58071,24.37131,1,719.33,24.0
25.78796,24.30305,1,719.29,24.0
25.39341,24.38544,1,719.25,24.0
25.48412,24.50503,1,719.21,24.0
25.53987,24.52971,1,719.17,24.0
25.84015,24.55275,1,719.13,24.0
26.05058,24.51791,1,719.09,24.0
26.348,24.51609,1,719.05,24.0
26.52217,24.43074,1,719.01,24.0
26.74239,24.32599,1,718.97,24.0
27.11037,24.10057,1,718.93,24.0
27.3527,23.80962,1,718.89,24.0
27.15342,23.47259,1,718.85,24.0
26.91783,23.22856,1,718.8,23.83
26.87045,23.1725,1,718.76,23.79
26.64544,23.03825,1,718.72,23.75
26.15726,22.8616,1,718.68,23.71
25.66909,22.68495,1,718.64,23.67
25.18091,22.5083,1,718.6,23.63
25.44898,22.58258,1,718.56,23.59
25.71704,22.65686,1,718.52,23.55
25.98511,22.73114,1,718.48,23.51
26.25317,22.80542,1,718.44,23.47
26.52124,22.8797,1,718.4,23.43
27.62838,23.02402,1,718.36,23.39
28.5121,23.28665,1,718.32,23.35
29.16931,23.7182,1,718.28,23.31
29.55559,23.93494,1,718.24,23.27
29.98029,23.92511,1,718.2,23.23
30.33648,23.95613,1,718.16,23.19
30.76562,24.01579,1,718.12,23.15
31.15281,24.10241,1,718.08,23.11
31.39265,24.22915,1,718.03,23.07
31.97931,24.15064,1,718.0,23.03
32.26455,24.13586,1,717.95,22.99
32.73548,24.16438,1,717.91,22.95
33.13526,24.23875,1,717.87,22.91
33.27015,24.48408,1,717.83,22.87
33.94289,24.87982,1,717.79,22.83
33.86179,25.27409,1,717.75,22.79
33.8597,25.6237,1,717.71,22.75
33.90283,25.96148,1,717.67,22.71
34.00716,26.29883,1,717.63,22.67
34.13511,26.62309,1,717.59,22.63
34.24908,26.92162,1,717.55,22.59
34.31149,27.18177,1,717.51,22.55
34.32793,27.38713,1,717.47,22.51
34.37282,27.4944,1,717.43,22.47
34.55324,27.52319,1,717.39,22.43
34.59187,27.5106,1,717.35,22.4
34.64747,27.53173,1,717.31,22.35
34.71529,27.59457,1,717.27,22.32
34.79582,27.6983,1,717.23,22.28
34.88955,27.84208,1,717.18,22.23
34.99697,28.0251,1,717.14,22.2
35.11858,28.24652,1,717.1,22.16
35.25486,28.50553,1,717.06,22.12
35.3695,28.68267,1,717.02,22.08
35.51927,28.92909,1,716.98,22.04
35.70029,29.23692,1,716.94,22.0
35.90865,29.5983,1,716.9,21.96
36.14045,30.00536,1,716.86,21.92
36.39181,30.45025,1,716.82,21.88
36.65882,30.92509,1,716.78,21.84
36.93759,31.42203,1,716.74,21.8
37.22423,31.9332,1,716.7,21.76
37.57976,32.58179,1,716.66,21.72
37.69062,33.03586,1,716.62,21.68
37.53958,33.30625,1,716.58,21.64
38.07827,33.56847,1,716.54,21.6
37.96188,33.8055,1,716.5,21.56
38.01385,34.10712,1,716.46,21.52
38.03737,34.36685,1,716.42,21.48
38.06478,34.64965,1,716.38,21.44
38.16331,35.05799,1,716.34,21.4
38.32627,35.22781,1,716.29,21.36
38.51597,35.55486,1,716.25,21.32
38.66896,35.6987,1,716.21,21.28
38.73243,36.05584,1,716.17,21.24
38.84517,36.24745,1,716.13,21.2
39.14803,36.50526,1,716.09,21.16
39.23323,36.76968,1,716.05,21.12
39.37045,36.90309,1,716.01,21.08
39.67034,37.06351,1,715.97,21.04
39.86892,37.21844,1,715.93,21.0
40.19535,37.4814,1,715.89,20.96
40.54298,37.56279,1,715.85,20.92
40.78867,37.6619,1,715.81,20.88
41.15847,37.77403,1,715.77,20.84
41.77486,37.83941,1,715.73,20.8
42.19967,37.85179,1,715.69,20.76
42.71715,37.84605,1,715.65,20.72
43.32005,37.95371,1,715.61,20.68
43.73133,38.07814,1,715.57,20.64
44.19365,38.34337,1,715.53,20.6
44.62084,38.63081,1,715.49,20.56
45.28569,38.84123,1,715.44,20.52
45.41377,38.92935,1,715.4,20.48
45.62212,38.94559,1,715.36,20.44
45.72889,39.24684,1,715.32,20.4
45.82038,39.3579,1,715.28,20.36
46.31497,39.50034,1,715.24,20.32
46.43281,39.63017,1,715.2,20.28
46.86532,39.87366,1,715.16,20.24
47.16313,39.90634,1,715.12,20.2
47.55764,40.00905,1,715.08,20.16
47.93213,40.07604,1,715.04,20.12
48.22673,40.10883,1,715.0,20.08
48.69037,40.19658,1,714.96,20.04
49.12597,40.12764,1,714.92,20.0
49.51113,40.17049,1,714.88,19.96
50.09207,40.17565,1,714.84,19.92
50.5787,40.21113,1,714.8,19.88
51.00882,40.34812,1,714.76,19.84
51.58306,40.5079,1,714.72,19.8
51.92528,40.72277,1,714.68,19.76
52.39846,40.907,1,714.64,19.72
52.71477,41.00616,1,714.6,19.68
52.93646,41.17955,1,714.55,19.64
53.05354,41.23232,1,714.51,19.6
53.23318,41.33956,1,714.47,19.56
53.4441,41.49958,1,714.43,19.52
53.65755,41.74115,1,714.39,19.48
54.13162,41.84899,1,714.35,19.44
54.43582,41.96947,1,714.31,19.4
54.69967,42.13637,1,714.27,19.37
55.05163,42.21924,1,714.23,19.33
55.59287,42.21591,1,714.19,19.29
55.9361,42.33323,1,714.15,19.25
56.30973,42.22491,1,714.11,19.21
56.72614,41.99895,1,714.07,19.17
57.09356,41.88991,1,714.03,19.13
57.33683,41.75779,1,713.99,19.09
57.54307,41.63015,1,713.95,19.05
57.74667,41.53435,1,713.91,19.01
57.9563,41.36065,1,713.87,18.97
57.90154,41.18197,1,713.83,18.93
57.64285,41.61756,1,713.79,18.89
58.11688,41.09962,1,713.74,18.85
58.25252,41.00592,1,713.7,18.81
58.35887,40.90468,1,713.66,18.77
58.44802,40.80835,1,713.62,18.73
58.48541,40.76546,1,713.58,18.69
58.33047,40.86934,1,713.54,18.65
58.17553,40.97321,1,713.5,18.61
58.40683,40.61062,1,713.46,18.57
58.35842,40.1464,1,713.42,18.53
58.2572,39.61019,1,713.38,18.49
58.16915,39.03876,1,713.34,18.45
58.11868,38.4172,1,713.3,18.41
58.19213,37.69778,1,713.26,18.37
58.32652,36.45694,1,713.22,18.33
58.34309,35.21916,1,713.18,18.29
58.05223,34.30031,1,713.14,18.25
58.31106,33.12272,1,713.1,18.21
58.43082,32.15506,1,713.06,18.17
58.59831,30.95849,1,713.02,18.13
58.57084,29.92155,1,712.98,18.09
58.4414,29.23413,1,712.94,18.05
58.26263,28.87682,1,712.89,18.01
57.76946,28.61701,1,712.86,17.97
57.27104,28.43306,1,712.81,17.93
57.07542,28.02898,1,712.77,17.89
56.88217,27.76922,1,712.73,17.85
56.38719,27.50373,1,712.69,17.81
56.21283,27.26557,1,712.65,17.77
56.03938,27.32324,1,712.61,17.73
55.49156,27.26719,1,712.57,17.69
55.65073,27.12891,1,712.53,17.65
55.12299,27.00774,1,712.49,17.61
54.76959,26.88144,1,712.45,17.57
54.14015,26.99979,1,712.41,17.53
53.31425,27.15683,1,712.37,17.49
52.64995,27.53723,1,712.33,17.45
52.43185,27.50768,1,712.29,17.41
52.2336,27.6372,1,712.25,17.37
52.04958,27.68021,1,712.21,17.33
51.92974,27.65848,1,712.17,17.29
51.75623,27.68126,1,712.13,17.25
51.77587,27.48357,1,712.09,17.21
51.76518,27.28656,1,712.04,17.17
51.90706,26.94322,1,712.01,17.13
52.11396,26.71421,1,711.96,17.09
52.22203,26.78583,1,711.92,17.05
52.75885,26.26954,1,711.88,17.01
53.3045,25.38904,1,711.84,16.97
53.88073,24.36494,1,711.8,16.93
54.65489,23.33243,1,711.76,16.89
55.18492,22.28916,1,711.72,16.85
55.88456,21.3827,1,711.68,16.81
56.40152,20.3479,1,711.64,16.77
