x_loc,y_loc,game_clock,shot_clock,quarter
47.9053,26.29044,720,,1
47.9409,26.38347,719.96,16.88,1
47.99108,26.47669,719.92,16.86,1
48.06072,26.55832,719.89,17.31,1
48.11885,26.63755,719.85,17.29,1
48.18646,26.73428,719.81,17.27,1
48.25665,26.85677,719.77,17.25,1
48.28467,26.95107,719.73,17.23,1
48.32745,27.05607,719.7,17.21,1
48.41534,27.16881,719.66,17.19,1
48.54052,27.29535,719.62,17.17,1
48.6742,27.42609,719.58,17.15,1
48.83305,27.53119,719.54,17.13,1
48.96332,27.59298,719.51,17.11,1
49.10641,27.63973,719.47,17.09,1
49.24818,27.69627,719.43,17.07,1
49.41214,27.75456,719.39,17.05,1
49.59158,27.81979,719.35,17.03,1
49.77449,27.89064,719.32,17.01,1
49.97778,27.96186,719.28,16.99,1
50.20197,28.02105,719.24,16.97,1
50.44147,28.0389,719.2,16.95,1
50.70802,28.05186,719.16,16.93,1
50.97106,28.04718,719.13,16.91,1
51.23048,28.036,719.09,16.89,1
51.48246,28.01425,719.05,16.87,1
51.71527,27.99067,719.01,16.85,1
51.98852,27.9734,718.97,16.83,1
52.26997,27.95608,718.94,16.82,1
52.57343,27.95222,718.9,16.79,1
52.89932,27.94573,718.86,16.78,1
53.22952,27.93718,718.82,16.76,1
53.56333,27.91811,718.78,16.74,1
53.90315,27.90078,718.75,16.72,1
54.23223,27.8754,718.71,16.7,1
54.56179,27.84673,718.67,16.68,1
54.89192,27.82183,718.63,16.66,1
55.21977,27.79033,718.59,16.64,1
55.56558,27.76558,718.56,16.62,1
55.9101,27.7454,718.52,16.6,1
56.27142,27.72481,718.48,16.58,1
56.67502,27.70017,718.44,16.56,1
57.03618,27.68104,718.41,16.54,1
57.40781,27.66468,718.37,16.52,1
57.76345,27.66311,718.33,16.5,1
58.11386,27.64645,718.29,16.48,1
58.45488,27.63171,718.25,16.46,1
58.81031,27.61724,718.22,16.44,1
59.1716,27.60107,718.18,16.42,1
59.5444,27.59864,718.14,16.4,1
59.92901,27.61121,718.1,16.38,1
60.32184,27.63359,718.06,16.36,1
60.70642,27.67151,718.03,16.34,1
61.09925,27.69857,717.99,16.32,1
61.48811,27.73101,717.95,16.3,1
61.86188,27.77315,717.91,16.28,1
62.2263,27.8315,717.87,16.26,1
62.60111,27.89852,717.83,16.24,1
62.99301,27.96661,717.8,16.22,1
63.36504,28.01194,717.76,16.2,1
63.7617,28.06336,717.72,16.18,1
64.1892,28.1046,717.68,16.16,1
64.55806,28.1748,717.64,16.14,1
64.87276,28.24417,717.61,16.12,1
65.22612,28.31969,717.57,16.1,1
65.53832,28.37932,717.53,16.08,1
