x_loc,y_loc,game_clock,shot_clock,quarter
47.9053,26.29044,720,,1
47.9409,26.38347,719.96,16.88,1
47.99108,26.47669,719.92,16.86,1
48.06072,26.55832,719.89,17.31,1
48.11885,26.63755,719.85,17.29,1
48.18646,26.73428,719.81,17.27,1
48.25665,26.85677,719.77,17.25,1
48.28467,26.95107,719.73,17.23,1
48.32745,27.05607,719.7,17.21,1
48.41534,27.16881,719.66,17.19,1
48.54052,27.29535,719.62,17.17,1
48.6742,27.42609,719.58,17.15,1
48.83305,27.53119,719.54,17.13,1
48.96332,27.59298,719.51,17.11,1
49.10641,27.63973,719.47,17.09,1
49.24818,27.69627,719.43,17.07,1
49.41214,27.75456,719.39,17.05,1
49.59158,27.81979,719.35,17.03,1
49.77449,27.89064,719.32,17.01,1
49.97778,27.96186,719.28,16.99,1
50.20197,28.02105,719.24,16.97,1
50.44147,28.0389,719.2,16.95,1
50.70802,28.05186,719.16,16.93,1
50.97106,28.04718,719.13,16.91,1
51.23048,28.036,719.09,16.89,1
51.48246,28.01425,719.05,16.87,1
51.71527,27.99067,719.01,16.85,1
51.98852,27.9734,718.97,16.83,1
52.26997,27.95608,718.94,16.82,1
52.57343,27.95222,718.9,16.79,1
52.89932,27.94573,718.86,16.78,1
53.22952,27.93718,718.82,16.76,1
53.56333,27.91811,718.78,16.74,1
53.90315,27.90078,718.75,16.72,1
54.23223,27.8754,718.71,16.7,1
54.56179,27.84673,718.67,16.68,1
54.86725,27.9136,718.63,16.66,1
55.14645,28.06704,718.59,16.64,1
55.42839,28.21508,718.56,16.62,1
55.69466,28.35761,718.52,16.6,1
55.95035,28.49523,718.48,16.58,1
56.22336,28.61653,718.44,16.56,1
56.45115,28.73181,718.41,16.54,1
56.67529,28.84195,718.37,16.52,1
56.87458,28.93727,718.33,16.5,1
57.05152,29.01825,718.29,16.48,1
57.20809,29.08327,718.25,16.46,1
57.26797,29.19288,718.22,16.44,1
57.23123,29.34067,718.18,16.42,1
57.19287,29.50448,718.14,16.4,1
57.15811,29.68393,718.1,16.38,1
57.14165,29.79887,718.06,16.36,1
57.14686,29.84534,718.03,16.34,1
57.16302,29.91738,717.99,16.32,1
57.19386,30.01266,717.95,16.3,1
57.23526,30.13762,717.91,16.28,1
57.28371,30.29342,717.87,16.26,1
57.35008,30.47117,717.83,16.24,1
57.43433,30.66121,717.8,16.22,1
57.50757,30.85809,717.76,16.2,1
57.61475,31.06653,717.72,16.18,1
57.7474,31.28744,717.68,16.16,1
57.913,31.43293,717.64,16.14,1
58.17672,31.53999,717.61,16.12,1
58.43753,31.62936,717.57,16.1,1
58.64326,31.70899,717.53,16.08,1
