x_loc,y_loc,game_clock,shot_clock,quarter
57.85142,24.27772,720,,1
57.83081,24.25885,719.96,16.88,1
57.80779,24.23813,719.92,16.86,1
57.78793,24.21473,719.89,17.31,1
57.77396,24.20204,719.85,17.29,1
57.762,24.19132,719.81,17.27,1
57.75392,24.18532,719.77,17.25,1
57.75537,24.18981,719.73,17.23,1
57.76172,24.19666,719.7,17.21,1
57.77267,24.21313,719.66,17.19,1
57.78464,24.23334,719.62,17.17,1
57.80349,24.25201,719.58,17.15,1
57.83179,24.28105,719.54,17.13,1
57.8725,24.31642,719.51,17.11,1
57.9201,24.35451,719.47,17.09,1
57.97703,24.39719,719.43,17.07,1
58.03749,24.43817,719.39,17.05,1
58.10557,24.47726,719.35,17.03,1
58.1798,24.51545,719.32,17.01,1
58.25767,24.545,719.28,16.99,1
58.33976,24.56748,719.24,16.97,1
58.43084,24.58394,719.2,16.95,1
58.52776,24.59428,719.16,16.93,1
58.62832,24.5966,719.13,16.91,1
58.73767,24.59013,719.09,16.89,1
58.85198,24.57239,719.05,16.87,1
58.97759,24.56473,719.01,16.85,1
59.10624,24.55626,718.97,16.83,1
59.24188,24.54197,718.94,16.82,1
59.39006,24.533,718.9,16.79,1
59.54794,24.52749,718.86,16.78,1
59.71307,24.52954,718.82,16.76,1
59.88175,24.53848,718.78,16.74,1
60.05058,24.54542,718.75,16.72,1
60.22342,24.55525,718.71,16.7,1
60.39979,24.56894,718.67,16.68,1
60.57044,24.57752,718.63,16.66,1
60.73887,24.5828,718.59,16.64,1
60.91232,24.60005,718.56,16.62,1
61.08207,24.62395,718.52,16.6,1
61.25597,24.65716,718.48,16.58,1
61.42593,24.68258,718.44,16.56,1
61.59541,24.69762,718.41,16.54,1
61.7612,24.71306,718.37,16.52,1
61.92476,24.72353,718.33,16.5,1
62.08539,24.72814,718.29,16.48,1
62.24263,24.71905,718.25,16.46,1
62.40271,24.70698,718.22,16.44,1
62.5788,24.74816,718.18,16.42,1
62.73374,24.78772,718.14,16.4,1
62.88088,24.78156,718.1,16.38,1
63.03082,24.78442,718.06,16.36,1
63.17299,24.7727,718.03,16.34,1
