x_loc,y_loc,game_clock,shot_clock,quarter
48.71021,16.45969,720,,1
48.74168,16.45979,719.96,16.88,1
48.76198,16.47995,719.92,16.86,1
48.77956,16.50076,719.89,17.31,1
48.77965,16.53742,719.85,17.29,1
48.76735,16.58578,719.81,17.27,1
48.74343,16.61772,719.77,17.25,1
48.69487,16.66818,719.73,17.23,1
48.64418,16.7116,719.7,17.21,1
48.58133,16.76763,719.66,17.19,1
48.50595,16.82427,719.62,17.17,1
48.41505,16.8854,719.58,17.15,1
48.31232,16.94023,719.54,17.13,1
48.19956,17.0016,719.51,17.11,1
47.95304,17.04348,719.47,17.09,1
47.80636,17.09576,719.43,17.07,1
47.64839,17.14908,719.39,17.05,1
47.5014,17.18811,719.35,17.03,1
47.36432,17.23931,719.32,17.01,1
47.2389,17.28716,719.28,16.99,1
47.12189,17.34701,719.24,16.97,1
47.02832,17.42325,719.2,16.95,1
46.94518,17.51364,719.16,16.93,1
46.8748,17.62098,719.13,16.91,1
46.81776,17.72664,719.09,16.89,1
46.78002,17.83651,719.05,16.87,1
46.77248,17.94586,719.01,16.85,1
46.77203,18.07109,718.97,16.83,1
46.78991,18.19909,718.94,16.82,1
46.95816,18.3494,718.9,16.79,1
47.0387,18.49709,718.86,16.78,1
47.13653,18.64776,718.82,16.76,1
47.24089,18.8004,718.78,16.74,1
47.35038,18.95001,718.75,16.72,1
47.47203,19.1062,718.71,16.7,1
47.61242,19.2604,718.67,16.68,1
47.76384,19.40972,718.63,16.66,1
47.92754,19.55542,718.59,16.64,1
48.10471,19.69742,718.56,16.62,1
48.29855,19.84814,718.52,16.6,1
48.49929,20.00741,718.48,16.58,1
48.69095,20.17067,718.44,16.56,1
48.89361,20.32833,718.41,16.54,1
49.10235,20.4905,718.37,16.52,1
49.30052,20.65765,718.33,16.5,1
49.50743,20.82392,718.29,16.48,1
49.72854,20.99799,718.25,16.46,1
49.95906,21.16649,718.22,16.44,1
50.19283,21.33509,718.18,16.42,1
50.42679,21.4935,718.14,16.4,1
50.65534,21.64854,718.1,16.38,1
50.87863,21.8155,718.06,16.36,1
51.11655,21.98018,718.03,16.34,1
51.35619,22.15663,717.99,16.32,1
51.58646,22.32798,717.95,16.3,1
51.81054,22.48346,717.91,16.28,1
52.0434,22.63726,717.87,16.26,1
52.28069,22.78819,717.83,16.24,1
52.51939,22.92185,717.8,16.22,1
52.75227,23.04444,717.76,16.2,1
53.02552,23.11937,717.72,16.18,1
53.26224,23.23293,717.68,16.16,1
53.44688,23.36173,717.64,16.14,1
53.65386,23.50145,717.61,16.12,1
53.85638,23.63394,717.57,16.1,1
54.00622,23.73734,717.53,16.08,1
54.15428,23.81174,717.49,16.06,1
54.34741,23.89509,717.45,16.04,1
54.52067,23.96733,717.42,16.02,1
54.68346,24.02455,717.38,16,1
54.79673,24.05446,717.34,15.98,1
55.07423,24.13717,717.3,15.96,1
55.39671,24.26253,717.27,15.94,1
55.76176,24.44091,717.23,15.92,1
56.18783,24.67001,717.19,15.9,1
56.61844,24.98585,717.15,15.88,1
57.08376,25.22777,717.11,15.86,1
57.59644,25.42932,717.08,15.84,1
58.07156,25.64205,717.04,15.82,1
58.57498,25.82431,717,15.8,1
59.14914,25.9959,716.96,15.78,1
59.70939,26.18143,716.92,15.76,1
60.19375,26.35252,716.89,15.74,1
60.73162,26.46849,716.85,15.72,1
61.32147,26.54419,716.81,15.7,1
61.99038,26.71613,716.77,15.68,1
62.51958,26.89841,716.73,15.66,1
62.95985,26.98529,716.7,15.64,1
63.25819,27.00338,716.66,15.62,1
63.57205,26.97111,716.62,15.6,1
63.81933,26.844,716.58,15.58,1
64.04272,26.69527,716.54,15.56,1
64.26022,26.5655,716.51,15.54,1
64.53622,26.38302,716.47,15.52,1
64.83814,26.21059,716.43,15.5,1
65.14653,26.08705,716.39,15.48,1
65.48546,25.91866,716.35,15.46,1
65.85493,25.7054,716.32,15.44,1
66.18705,25.51051,716.28,15.42,1
66.49204,25.34965,716.24,15.4,1
66.77274,25.10892,716.2,15.38,1
67.03616,24.78311,716.16,15.36,1
67.36423,24.46289,716.13,15.34,1
67.77472,24.14088,716.09,15.33,1
68.12833,23.80788,716.05,15.3,1
68.50239,23.50739,716.01,15.29,1
68.89864,23.23303,715.97,15.27,1
69.31579,22.94877,715.94,15.25,1
69.69627,22.67671,715.9,15.23,1
70.03451,22.40904,715.86,15.21,1
70.34215,22.11207,715.82,15.19,1
70.63725,21.84753,715.78,15.17,1
70.92218,21.6158,715.75,15.15,1
71.20745,21.40211,715.71,15.13,1
71.48195,21.18982,715.67,15.11,1
71.75641,20.9228,715.63,15.09,1
72.02757,20.65331,715.59,15.07,1
72.28014,20.46353,715.56,15.05,1
72.54783,20.2805,715.52,15.03,1
72.80445,20.10039,715.48,15.01,1
73.05836,19.92346,715.44,14.99,1
73.30404,19.74783,715.4,14.97,1
73.53838,19.57081,715.37,14.95,1
73.74417,19.3836,715.33,14.93,1
73.96979,19.21681,715.29,14.91,1
74.19736,19.05294,715.25,14.89,1
74.4199,18.88917,715.21,14.87,1
74.63773,18.72993,715.18,14.85,1
74.83942,18.57336,715.14,14.83,1
75.02909,18.42874,715.1,14.81,1
75.19948,18.34366,715.06,14.79,1
75.34083,18.26399,715.02,14.77,1
75.46374,18.14705,714.99,14.75,1
75.55985,18.05204,714.95,14.73,1
75.64789,17.96018,714.91,14.71,1
75.72485,17.90404,714.87,14.69,1
75.81138,17.83954,714.84,14.67,1
75.88015,17.7864,714.8,14.65,1
75.94231,17.74202,714.76,14.63,1
75.95793,17.73087,714.72,14.61,1
75.93885,17.72977,714.68,14.59,1
75.92801,17.79037,714.65,14.57,1
75.88705,17.84822,714.61,14.55,1
75.79482,17.90248,714.57,14.53,1
75.68183,17.98601,714.53,14.51,1
75.57501,18.08221,714.49,14.49,1
75.45202,18.18389,714.46,14.47,1
75.31507,18.28812,714.42,14.45,1
75.14401,18.36927,714.38,14.43,1
74.9752,18.45833,714.34,14.41,1
74.83062,18.57649,714.3,14.39,1
74.65501,18.73789,714.26,14.37,1
74.47459,18.91037,714.23,14.35,1
74.26812,19.14229,714.19,14.33,1
74.06951,19.35183,714.15,14.31,1
73.89947,19.59764,714.11,14.29,1
73.68444,19.78401,714.07,14.27,1
73.51461,20.00932,714.04,14.25,1
73.35421,20.20202,714,14.23,1
73.16952,20.321,713.96,14.21,1
73.04899,20.41982,713.92,14.19,1
72.94284,20.50434,713.89,14.17,1
72.83978,20.59837,713.85,14.15,1
72.78445,20.74406,713.81,14.13,1
72.73269,20.91388,713.77,14.11,1
72.66836,21.03188,713.73,14.09,1
72.62596,21.13632,713.7,14.07,1
72.59848,21.24147,713.66,14.05,1
72.61898,21.29748,713.62,14.03,1
72.6211,21.36235,713.58,14.01,1
72.63156,21.39532,713.54,13.99,1
72.67891,21.44769,713.51,13.97,1
72.70006,21.52344,713.47,13.95,1
72.76748,21.61663,713.43,13.93,1
72.86434,21.75104,713.39,13.91,1
72.87256,21.88847,713.35,13.89,1
72.86706,22.04632,713.32,13.87,1
72.85162,22.19168,713.28,13.85,1
72.81433,22.30783,713.24,13.83,1
72.75537,22.40412,713.2,13.81,1
72.66391,22.50048,713.16,13.79,1
72.54964,22.61108,713.13,13.78,1
72.41447,22.70947,713.09,13.76,1
72.25666,22.81563,713.05,13.74,1
72.1024,22.90857,713.01,13.72,1
71.90088,22.98185,712.97,13.7,1
71.66568,23.05327,712.94,13.68,1
71.41041,23.09337,712.9,13.66,1
71.12444,23.18466,712.86,13.64,1
70.83951,23.28727,712.82,13.62,1
70.52731,23.38075,712.78,13.6,1
70.19101,23.45612,712.75,13.58,1
69.86052,23.5275,712.71,13.56,1
69.5298,23.59826,712.67,13.54,1
69.20765,23.66083,712.63,13.52,1
68.84727,23.69668,712.59,13.5,1
68.52132,23.747,712.56,13.48,1
68.20344,23.7916,712.52,13.46,1
67.88809,23.83086,712.48,13.44,1
67.57429,23.84289,712.44,13.42,1
67.28396,23.83362,712.4,13.4,1
67.0092,23.77766,712.37,13.38,1
66.75053,23.68172,712.33,13.36,1
66.50349,23.59523,712.29,13.34,1
66.26545,23.5167,712.25,13.32,1
66.07184,23.49279,712.22,13.3,1
65.91683,23.47915,712.18,13.28,1
65.7694,23.45137,712.14,13.26,1
65.62456,23.39354,712.1,13.24,1
65.48497,23.35103,712.06,13.22,1
65.41898,23.3488,712.03,13.2,1
65.32293,23.32654,711.99,13.18,1
65.17064,23.33708,711.95,13.16,1
65.08899,23.31765,711.91,13.14,1
64.97018,23.31652,711.87,13.12,1
64.84277,23.36256,711.84,13.1,1
64.7025,23.49491,711.8,13.08,1
64.54387,23.69368,711.76,13.06,1
64.37594,23.90682,711.72,13.04,1
64.18643,24.15196,711.68,13.02,1
63.97733,24.41059,711.65,13,1
63.76792,24.67651,711.61,12.98,1
63.49754,25.00076,711.57,12.96,1
63.24298,25.36485,711.53,12.94,1
62.95801,25.70399,711.49,12.92,1
62.67582,26.0336,711.46,12.9,1
62.38038,26.34403,711.42,12.88,1
62.15921,26.60483,711.38,12.86,1
61.87024,26.9014,711.34,12.84,1
61.62559,27.20492,711.3,12.82,1
61.34909,27.66186,711.27,12.8,1
61.10936,28.01715,711.23,12.78,1
60.9064,28.27081,711.19,12.76,1
60.7402,28.42282,711.15,12.74,1
60.59409,28.5294,711.11,12.72,1
60.42258,28.62029,711.08,12.7,1
60.3009,28.6882,711.04,12.68,1
60.24705,28.71269,711,12.66,1
60.12915,28.74963,710.96,12.64,1
60.0748,28.86964,710.92,12.62,1
60.00366,28.99816,710.89,12.6,1
59.95243,29.1341,710.85,12.58,1
59.89353,29.27662,710.81,12.56,1
59.85032,29.40641,710.77,12.54,1
59.8228,29.52348,710.73,12.52,1
59.80968,29.51389,710.7,12.5,1
59.77991,29.55589,710.66,12.48,1
59.74169,29.6478,710.62,12.46,1
59.69604,29.7862,710.58,12.44,1
59.61842,29.8831,710.54,12.42,1
59.5543,29.90876,710.51,12.4,1
59.46092,29.95484,710.47,12.38,1
59.38052,29.99805,710.43,12.36,1
59.41047,29.96467,710.39,12.34,1
59.45485,29.81161,710.35,12.32,1
59.49631,29.63995,710.32,12.3,1
59.61117,29.51393,710.28,12.28,1
59.71441,29.39848,710.24,12.27,1
59.77369,29.27063,710.2,12.25,1
59.87375,29.15062,710.16,12.23,1
59.97415,28.97183,710.13,12.21,1
60.06734,28.76611,710.09,12.19,1
60.15983,28.55949,710.05,12.17,1
60.24523,28.2958,710.01,12.15,1
60.35338,28.11569,709.97,12.13,1
60.48243,27.97518,709.94,12.11,1
60.60616,27.82998,709.9,12.09,1
60.71595,27.67908,709.86,12.07,1
60.78498,27.57191,709.82,12.05,1
60.80068,27.51645,709.78,12.03,1
60.81926,27.46291,709.75,12.01,1
60.77544,27.35472,709.71,11.99,1
60.66897,27.26257,709.67,11.97,1
60.60859,27.18167,709.63,11.95,1
60.49667,27.09745,709.6,11.93,1
60.41933,27.02797,709.56,11.91,1
60.35693,26.99672,709.52,11.89,1
60.28205,26.95952,709.48,11.87,1
60.25586,26.94512,709.44,11.85,1
60.19403,26.92856,709.41,11.83,1
60.1389,26.82832,709.37,11.81,1
60.0708,26.65488,709.33,11.79,1
60.00646,26.49924,709.29,11.77,1
59.93933,26.33437,709.25,11.75,1
59.87895,26.16698,709.22,11.73,1
59.8165,26.00146,709.18,11.71,1
59.74593,25.84576,709.14,11.69,1
59.75038,25.68202,709.1,11.67,1
59.74567,25.52659,709.06,11.65,1
59.74793,25.37665,709.03,11.63,1
59.75574,25.23748,708.99,11.61,1
59.75344,25.10236,708.95,11.59,1
59.73109,24.99087,708.91,11.57,1
59.66992,24.92204,708.87,11.55,1
59.68936,24.81014,708.84,11.53,1
59.71949,24.76502,708.8,11.51,1
59.78971,24.84492,708.76,11.49,1
59.83029,24.87319,708.72,11.47,1
59.89577,24.90097,708.68,11.45,1
59.93164,24.92932,708.65,11.43,1
59.9837,24.93965,708.61,11.41,1
60.03083,24.95376,708.57,11.39,1
60.07466,24.97306,708.53,11.37,1
60.13433,24.97925,708.49,11.35,1
60.19798,24.9829,708.46,11.33,1
60.24223,24.97453,708.42,11.31,1
60.29544,24.94907,708.38,11.29,1
60.40439,24.99114,708.34,11.27,1
60.49834,25.01339,708.3,11.25,1
60.55708,25.06751,708.27,11.23,1
60.5767,25.08591,708.23,11.21,1
60.5561,25.05804,708.19,11.19,1
60.56353,25.07279,708.15,11.17,1
60.5406,25.09965,708.11,11.15,1
60.54763,25.12227,708.08,11.13,1
60.53802,25.16067,708.04,11.11,1
60.53275,25.19428,708,11.09,1
60.53105,25.22162,707.96,11.07,1
60.51245,25.25966,707.92,11.05,1
60.48555,25.29708,707.89,11.03,1
60.47234,25.34135,707.85,11.01,1
60.45447,25.38778,707.81,10.99,1
60.40841,25.3528,707.77,10.97,1
60.36815,25.33604,707.73,10.95,1
60.33023,25.28385,707.7,10.93,1
60.32629,25.28083,707.66,10.91,1
60.33217,25.27593,707.62,10.89,1
60.34239,25.2706,707.58,10.87,1
60.35409,25.2688,707.55,10.86,1
60.36783,25.21163,707.51,10.83,1
60.38885,25.14041,707.47,10.81,1
60.40484,24.98436,707.43,10.8,1
60.41279,24.74443,707.39,10.78,1
60.48495,24.49329,707.36,10.76,1
60.52582,24.18868,707.32,10.74,1
60.56956,23.89046,707.28,10.72,1
60.6175,23.57369,707.24,10.7,1
60.66165,23.21651,707.2,10.68,1
60.71173,22.88225,707.16,10.66,1
60.7653,22.55301,707.13,10.64,1
60.82113,22.22083,707.09,10.62,1
60.85813,21.84509,707.05,10.6,1
60.89511,21.46293,707.01,10.58,1
60.93201,21.07481,706.98,10.56,1
60.96618,20.73606,706.94,10.54,1
60.97472,20.4389,706.9,10.52,1
61.00265,20.18454,706.86,10.5,1
61.03621,20.01365,706.82,10.48,1
61.04072,19.84409,706.79,10.46,1
61.06775,19.76647,706.75,10.44,1
61.09277,19.68049,706.71,10.42,1
61.11337,19.61372,706.67,10.4,1
61.13729,19.59056,706.63,10.38,1
61.11411,19.52419,706.6,10.36,1
61.12788,19.48007,706.56,10.34,1
61.10637,19.41488,706.52,10.32,1
61.13061,19.43508,706.48,10.3,1
61.13671,19.42309,706.44,10.28,1
61.11924,19.44124,706.41,10.26,1
61.13898,19.49902,706.37,10.24,1
