x_loc,y_loc,game_clock,shot_clock,quarter
37.38562,23.53631,720,,1
37.39167,23.45252,719.96,16.88,1
37.35316,23.39514,719.92,16.86,1
37.31083,23.33788,719.89,17.31,1
37.26315,23.27626,719.85,17.29,1
37.24822,23.18603,719.81,17.27,1
37.23743,23.08861,719.77,17.25,1
37.20172,23.01169,719.73,17.23,1
37.1663,22.93115,719.7,17.21,1
37.12595,22.85266,719.66,17.19,1
37.06835,22.78619,719.62,17.17,1
37.05003,22.70688,719.58,17.15,1
37.00135,22.64035,719.54,17.13,1
36.95713,22.57202,719.51,17.11,1
36.91436,22.53522,719.47,17.09,1
36.87353,22.5183,719.43,17.07,1
36.84505,22.50932,719.39,17.05,1
36.85997,22.47062,719.35,17.03,1
36.88031,22.43551,719.32,17.01,1
36.90838,22.40593,719.28,16.99,1
36.90778,22.41276,719.24,16.97,1
36.90393,22.42875,719.2,16.95,1
36.92464,22.42874,719.16,16.93,1
36.94698,22.44708,719.13,16.91,1
36.96429,22.47449,719.09,16.89,1
36.98977,22.4914,719.05,16.87,1
36.96869,22.5209,719.01,16.85,1
36.91728,22.5738,718.97,16.83,1
36.89675,22.60947,718.94,16.82,1
36.89123,22.6515,718.9,16.79,1
36.88721,22.68753,718.86,16.78,1
36.8809,22.73474,718.82,16.76,1
36.88034,22.78671,718.78,16.74,1
36.88275,22.84866,718.75,16.72,1
36.88997,22.9212,718.71,16.7,1
36.89957,22.99439,718.67,16.68,1
36.91594,23.07453,718.63,16.66,1
36.93549,23.15509,718.59,16.64,1
36.95777,23.22905,718.56,16.62,1
36.98436,23.31116,718.52,16.6,1
37.01486,23.40513,718.48,16.58,1
37.05923,23.51169,718.44,16.56,1
37.14399,23.61399,718.41,16.54,1
37.21043,23.74656,718.37,16.52,1
37.28021,23.88105,718.33,16.5,1
37.35629,24.02136,718.29,16.48,1
37.43855,24.16342,718.25,16.46,1
37.51917,24.32105,718.22,16.44,1
37.5998,24.47992,718.18,16.42,1
37.70185,24.62485,718.14,16.4,1
37.80905,24.78012,718.1,16.38,1
37.91805,24.9351,718.06,16.36,1
38.03687,25.09894,718.03,16.34,1
38.16457,25.27317,717.99,16.32,1
38.30868,25.44138,717.95,16.3,1
38.45669,25.613,717.91,16.28,1
38.61027,25.8008,717.87,16.26,1
38.77179,25.98895,717.83,16.24,1
38.94194,26.17712,717.8,16.22,1
39.10156,26.35596,717.76,16.2,1
39.25243,26.503,717.72,16.18,1
39.42592,26.67061,717.68,16.16,1
39.59038,26.8301,717.64,16.14,1
39.76768,26.98222,717.61,16.12,1
39.92025,27.13793,717.57,16.1,1
40.10594,27.32409,717.53,16.08,1
40.29577,27.49472,717.49,16.06,1
40.49276,27.66326,717.45,16.04,1
40.69519,27.84933,717.42,16.02,1
40.90101,28.0346,717.38,16,1
41.12504,28.22213,717.34,15.98,1
41.3579,28.38655,717.3,15.96,1
41.59161,28.54879,717.27,15.94,1
41.82545,28.69873,717.23,15.92,1
42.07396,28.86568,717.19,15.9,1
42.33474,29.07114,717.15,15.88,1
42.58683,29.25386,717.11,15.86,1
42.87116,29.43759,717.08,15.84,1
43.1617,29.62684,717.04,15.82,1
43.46753,29.83141,717,15.8,1
43.7451,30.00527,716.96,15.78,1
44.02543,30.20197,716.92,15.76,1
44.30816,30.38621,716.89,15.74,1
44.60193,30.53025,716.85,15.72,1
44.90584,30.67472,716.81,15.7,1
45.19058,30.87105,716.77,15.68,1
45.45969,31.08169,716.73,15.66,1
45.7246,31.28392,716.7,15.64,1
45.97952,31.49507,716.66,15.62,1
46.23449,31.7011,716.62,15.6,1
46.48311,31.89568,716.58,15.58,1
46.78051,32.09371,716.54,15.56,1
47.07377,32.29797,716.51,15.54,1
47.38081,32.49883,716.47,15.52,1
47.71264,32.7017,716.43,15.5,1
48.04993,32.90284,716.39,15.48,1
48.39591,33.09844,716.35,15.46,1
48.75193,33.31334,716.32,15.44,1
49.08412,33.55371,716.28,15.42,1
49.39744,33.79572,716.24,15.4,1
49.71822,33.9705,716.2,15.38,1
50.05524,34.13844,716.16,15.36,1
50.41009,34.32125,716.13,15.34,1
50.7871,34.50247,716.09,15.33,1
51.19875,34.69613,716.05,15.3,1
51.62946,34.90815,716.01,15.29,1
52.01164,35.10904,715.97,15.27,1
52.39114,35.29442,715.94,15.25,1
