x_loc,y_loc,game_clock,shot_clock,quarter
45.22837,31.98912,720,,1
45.34127,31.97491,719.96,16.88,1
45.53949,31.96228,719.92,16.86,1
45.82985,31.95004,719.89,17.31,1
46.20472,31.94481,719.85,17.29,1
46.59304,31.94148,719.81,17.27,1
46.99058,31.93773,719.77,17.25,1
47.39586,31.93597,719.73,17.23,1
47.80938,31.93913,719.7,17.21,1
48.23199,31.9459,719.66,17.19,1
48.67188,31.96157,719.62,17.17,1
49.1256,31.99165,719.58,17.15,1
49.60647,32.02095,719.54,17.13,1
50.10631,32.05477,719.51,17.11,1
50.63674,32.08534,719.47,17.09,1
51.18875,32.11755,719.43,17.07,1
51.58592,32.13782,719.39,17.05,1
51.92243,32.14318,719.35,17.03,1
52.19479,32.14086,719.32,17.01,1
52.39468,32.12374,719.28,16.99,1
52.59736,32.12149,719.24,16.97,1
52.80432,32.11568,719.2,16.95,1
53.01726,32.093,719.16,16.93,1
53.22669,32.07208,719.13,16.91,1
53.43432,32.05112,719.09,16.89,1
53.64789,32.02758,719.05,16.87,1
53.87262,31.98506,719.01,16.85,1
54.09166,31.93656,718.97,16.83,1
54.30577,31.87937,718.94,16.82,1
54.51202,31.82514,718.9,16.79,1
54.70872,31.76039,718.86,16.78,1
54.89722,31.69148,718.82,16.76,1
55.06654,31.62522,718.78,16.74,1
55.2282,31.55535,718.75,16.72,1
55.39165,31.48115,718.71,16.7,1
55.54434,31.3886,718.67,16.68,1
55.69375,31.28666,718.63,16.66,1
55.84011,31.1924,718.59,16.64,1
55.99257,31.08827,718.56,16.62,1
56.15455,30.97064,718.52,16.6,1
56.31329,30.84584,718.48,16.58,1
56.46096,30.7195,718.44,16.56,1
56.60795,30.58418,718.41,16.54,1
56.74724,30.4451,718.37,16.52,1
56.89013,30.29993,718.33,16.5,1
57.02732,30.15457,718.29,16.48,1
57.15805,30.00279,718.25,16.46,1
57.35183,29.82,718.22,16.44,1
57.49605,29.62467,718.18,16.42,1
57.62565,29.43004,718.14,16.4,1
57.77341,29.23627,718.1,16.38,1
57.92798,29.05306,718.06,16.36,1
58.12892,28.89487,718.03,16.34,1
58.32239,28.72949,717.99,16.32,1
58.45536,28.53479,717.95,16.3,1
58.52765,28.31057,717.91,16.28,1
58.60803,28.0862,717.87,16.26,1
58.72909,27.88337,717.83,16.24,1
