x_loc,y_loc,game_clock,shot_clock,quarter
45.22837,31.98912,720,,1
45.15483,31.96293,719.96,16.88,1
45.07538,31.93288,719.92,16.86,1
44.99969,31.89828,719.89,17.31,1
44.92268,31.86245,719.85,17.29,1
44.84522,31.82708,719.81,17.27,1
44.76673,31.79092,719.77,17.25,1
44.68675,31.75819,719.73,17.23,1
44.60587,31.72983,719.7,17.21,1
44.51973,31.69771,719.66,17.19,1
44.43736,31.67803,719.62,17.17,1
41.21367,29.34384,719.58,17.15,1
39.61793,28.98029,719.54,17.13,1
38.04996,28.50594,719.51,17.11,1
36.52272,27.9244,719.47,17.09,1
34.99738,27.33634,719.43,17.07,1
33.48208,26.75296,719.39,17.05,1
31.97154,26.16892,719.35,17.03,1
30.46685,25.58327,719.32,17.01,1
28.96599,24.99564,719.28,16.99,1
27.47071,24.40838,719.24,16.97,1
25.98505,23.81442,719.2,16.95,1
24.51414,23.21105,719.16,16.93,1
23.05728,22.60456,719.13,16.91,1
21.62022,21.99779,719.09,16.89,1
20.19657,21.37748,719.05,16.87,1
21.9333,23.07131,719.01,16.85,1
22.06606,22.78384,718.97,16.83,1
22.18459,22.60009,718.94,16.82,1
22.29109,22.51734,718.9,16.79,1
22.40566,22.43318,718.86,16.78,1
22.53607,22.34024,718.82,16.76,1
22.68156,22.24619,718.78,16.74,1
22.84169,22.14631,718.75,16.72,1
23.02638,22.04961,718.71,16.7,1
23.22224,21.94732,718.67,16.68,1
23.42021,21.84646,718.63,16.66,1
23.62011,21.74208,718.59,16.64,1
23.82286,21.63545,718.56,16.62,1
24.0263,21.52284,718.52,16.6,1
24.23658,21.40994,718.48,16.58,1
24.44847,21.2942,718.44,16.56,1
24.66112,21.18043,718.41,16.54,1
24.86867,21.0626,718.37,16.52,1
25.0754,20.94201,718.33,16.5,1
25.29285,20.82138,718.29,16.48,1
25.51538,20.70176,718.25,16.46,1
25.74356,20.58181,718.22,16.44,1
25.97425,20.45359,718.18,16.42,1
26.196,20.32241,718.14,16.4,1
26.41932,20.19475,718.1,16.38,1
26.65337,20.06279,718.06,16.36,1
26.89715,19.93316,718.03,16.34,1
27.14666,19.79851,717.99,16.32,1
27.39625,19.66086,717.95,16.3,1
27.63412,19.51578,717.91,16.28,1
27.88176,19.36631,717.87,16.26,1
28.13461,19.21569,717.83,16.24,1
28.40279,19.06144,717.8,16.22,1
28.65841,18.91661,717.76,16.2,1
28.9058,18.74277,717.72,16.18,1
29.15745,18.57851,717.68,16.16,1
29.40103,18.40992,717.64,16.14,1
29.67731,18.21775,717.61,16.12,1
29.96291,18.03984,717.57,16.1,1
30.26882,17.86719,717.53,16.08,1
30.57698,17.69547,717.49,16.06,1
30.88996,17.52276,717.45,16.04,1
31.21073,17.34627,717.42,16.02,1
31.54577,17.17432,717.38,16,1
31.89907,17.00118,717.34,15.98,1
32.24656,16.81955,717.3,15.96,1
32.58942,16.61704,717.27,15.94,1
32.94794,16.41332,717.23,15.92,1
33.34101,16.19073,717.19,15.9,1
33.75796,15.97924,717.15,15.88,1
34.14915,15.73981,717.11,15.86,1
34.54987,15.50035,717.08,15.84,1
34.90699,15.28695,717.04,15.82,1
35.25953,15.04752,717,15.8,1
35.59967,14.79074,716.96,15.78,1
35.94407,14.52583,716.92,15.76,1
36.28873,14.25507,716.89,15.74,1
36.63268,13.97963,716.85,15.72,1
36.9786,13.69712,716.81,15.7,1
37.33677,13.41861,716.77,15.68,1
37.70274,13.14238,716.73,15.66,1
38.07779,12.87184,716.7,15.64,1
38.44152,12.58782,716.66,15.62,1
38.79528,12.30174,716.62,15.6,1
39.13915,12.02219,716.58,15.58,1
39.51184,11.75249,716.54,15.56,1
39.89454,11.47578,716.51,15.54,1
40.29509,11.2001,716.47,15.52,1
40.70128,10.92565,716.43,15.5,1
41.10658,10.67821,716.39,15.48,1
41.51905,10.39871,716.35,15.46,1
41.93995,10.11875,716.32,15.44,1
42.36494,9.84376,716.28,15.42,1
42.80061,9.57356,716.24,15.4,1
43.20831,9.31334,716.2,15.38,1
43.62387,9.06103,716.16,15.36,1
44.03153,8.81595,716.13,15.34,1
44.43792,8.58634,716.09,15.33,1
44.85363,8.36489,716.05,15.3,1
45.26969,8.14923,716.01,15.29,1
45.68348,7.93483,715.97,15.27,1
46.09598,7.71867,715.94,15.25,1
46.51378,7.49036,715.9,15.23,1
46.94463,7.27395,715.86,15.21,1
47.37263,7.02733,715.82,15.19,1
47.80857,6.81875,715.78,15.17,1
48.23502,6.61254,715.75,15.15,1
48.65508,6.40381,715.71,15.13,1
49.07239,6.2027,715.67,15.11,1
49.51234,5.99201,715.63,15.09,1
49.94955,5.7901,715.59,15.07,1
50.4011,5.58552,715.56,15.05,1
50.85213,5.38174,715.52,15.03,1
51.30007,5.18582,715.48,15.01,1
51.75367,4.9981,715.44,14.99,1
52.23676,4.83415,715.4,14.97,1
52.72228,4.6851,715.37,14.95,1
53.17259,4.52697,715.33,14.93,1
53.61398,4.36636,715.29,14.91,1
54.05931,4.21551,715.25,14.89,1
54.48157,4.06989,715.21,14.87,1
54.90882,3.93437,715.18,14.85,1
55.33598,3.81544,715.14,14.83,1
55.7503,3.6939,715.1,14.81,1
56.16376,3.57832,715.06,14.79,1
56.57436,3.45678,715.02,14.77,1
56.98108,3.34733,714.99,14.75,1
57.38749,3.25902,714.95,14.73,1
57.79721,3.12695,714.91,14.71,1
58.2086,2.99513,714.87,14.69,1
58.57899,2.86611,714.84,14.67,1
58.92543,2.79423,714.8,14.65,1
59.29902,2.75027,714.76,14.63,1
59.64167,2.76512,714.72,14.61,1
59.98596,2.78764,714.68,14.59,1
60.34949,2.75849,714.65,14.57,1
60.70226,2.7245,714.61,14.55,1
61.06299,2.69754,714.57,14.53,1
61.41496,2.6947,714.53,14.51,1
61.74111,2.68967,714.49,14.49,1
62.0439,2.6908,714.46,14.47,1
62.34137,2.72805,714.42,14.45,1
62.61878,2.74967,714.38,14.43,1
62.86617,2.80761,714.34,14.41,1
63.09189,2.87079,714.3,14.39,1
63.31395,2.92073,714.26,14.37,1
63.51971,2.92812,714.23,14.35,1
63.64319,2.95473,714.19,14.33,1
63.77421,2.93108,714.15,14.31,1
63.90458,2.90317,714.11,14.29,1
64.01511,2.93411,714.07,14.27,1
64.15587,3.0427,714.04,14.25,1
64.34413,3.13994,714,14.23,1
64.51832,3.21354,713.96,14.21,1
64.6906,3.29358,713.92,14.19,1
64.85337,3.37649,713.89,14.17,1
64.99702,3.43737,713.85,14.15,1
65.07526,3.4436,713.81,14.13,1
65.14205,3.46686,713.77,14.11,1
65.20054,3.49349,713.73,14.09,1
65.2672,3.53309,713.7,14.07,1
65.35471,3.58561,713.66,14.05,1
65.50381,3.62889,713.62,14.03,1
65.64515,3.67138,713.58,14.01,1
65.77052,3.72384,713.54,13.99,1
65.87871,3.77621,713.51,13.97,1
65.9419,3.76664,713.47,13.95,1
65.93027,3.77008,713.43,13.93,1
65.91773,3.78266,713.39,13.91,1
65.92528,3.81232,713.35,13.89,1
65.94005,3.87495,713.32,13.87,1
65.94311,3.96066,713.28,13.85,1
65.97433,4.14957,713.24,13.83,1
66.01879,4.34973,713.2,13.81,1
66.06128,4.54935,713.16,13.79,1
66.08791,4.74051,713.13,13.78,1
66.11704,4.90174,713.09,13.76,1
66.13761,5.0661,713.05,13.74,1
66.1562,5.15152,713.01,13.72,1
66.17492,5.2383,712.97,13.7,1
66.19987,5.33052,712.94,13.68,1
66.22336,5.41943,712.9,13.66,1
66.25217,5.51105,712.86,13.64,1
66.28952,5.59957,712.82,13.62,1
66.31099,5.67631,712.78,13.6,1
66.34277,5.7256,712.75,13.58,1
66.38876,5.73954,712.71,13.56,1
66.47192,5.71418,712.67,13.54,1
66.57737,5.59571,712.63,13.52,1
66.69327,5.45881,712.59,13.5,1
66.79253,5.33877,712.56,13.48,1
66.87651,5.23938,712.52,13.46,1
66.97444,5.14508,712.48,13.44,1
67.07482,5.14201,712.44,13.42,1
67.16418,5.14742,712.4,13.4,1
67.24181,5.16383,712.37,13.38,1
67.34856,5.22785,712.33,13.36,1
67.44318,5.29903,712.29,13.34,1
67.53966,5.39433,712.25,13.32,1
67.63455,5.51169,712.22,13.3,1
67.72699,5.63403,712.18,13.28,1
67.81462,5.77414,712.14,13.26,1
67.90571,5.92955,712.1,13.24,1
67.97436,6.18896,712.06,13.22,1
68.04686,6.53511,712.03,13.2,1
68.15042,6.89224,711.99,13.18,1
68.24803,7.2093,711.95,13.16,1
68.33944,7.53218,711.91,13.14,1
68.4355,7.8743,711.87,13.12,1
68.54625,8.23571,711.84,13.1,1
68.66693,8.60628,711.8,13.08,1
68.76241,8.94684,711.76,13.06,1
68.87047,9.30292,711.72,13.04,1
68.98891,9.70818,711.68,13.02,1
69.1293,10.11827,711.65,13,1
69.26212,10.5213,711.61,12.98,1
69.4041,10.93795,711.57,12.96,1
69.5501,11.37483,711.53,12.94,1
69.70826,11.82028,711.49,12.92,1
69.86742,12.22317,711.46,12.9,1
70.02796,12.62705,711.42,12.88,1
70.21062,13.09498,711.38,12.86,1
70.3935,13.53619,711.34,12.84,1
70.58504,13.97521,711.3,12.82,1
70.80121,14.46071,711.27,12.8,1
71.03481,14.95098,711.23,12.78,1
71.27985,15.44254,711.19,12.76,1
71.53482,15.93281,711.15,12.74,1
71.76588,16.33941,711.11,12.72,1
71.98816,16.74792,711.08,12.7,1
72.2344,17.21534,711.04,12.68,1
72.49536,17.6829,711,12.66,1
72.82262,18.14777,710.96,12.64,1
73.15058,18.59757,710.92,12.62,1
73.49581,19.03895,710.89,12.6,1
73.85334,19.47471,710.85,12.58,1
74.22447,19.9025,710.81,12.56,1
74.62493,20.37362,710.77,12.54,1
75.02853,20.80504,710.73,12.52,1
75.41306,21.18194,710.7,12.5,1
75.80036,21.54454,710.66,12.48,1
76.21439,21.94759,710.62,12.46,1
76.63729,22.34193,710.58,12.44,1
77.1209,22.79609,710.54,12.42,1
77.58275,23.21937,710.51,12.4,1
78.04735,23.6008,710.47,12.38,1
78.53698,23.93871,710.43,12.36,1
78.9347,24.21833,710.39,12.34,1
79.32827,24.49773,710.35,12.32,1
79.705,24.77695,710.32,12.3,1
80.11304,25.05813,710.28,12.28,1
80.48346,25.30791,710.24,12.27,1
80.88223,25.56919,710.2,12.25,1
81.27807,25.85513,710.16,12.23,1
81.67331,26.13196,710.13,12.21,1
82.08955,26.4529,710.09,12.19,1
82.50927,26.77226,710.05,12.17,1
82.97008,27.08401,710.01,12.15,1
83.38349,27.37534,709.97,12.13,1
83.84482,27.70726,709.94,12.11,1
84.32264,28.0619,709.9,12.09,1
84.7592,28.45615,709.86,12.07,1
85.22587,28.89108,709.82,12.05,1
85.69097,29.33205,709.78,12.03,1
86.14335,29.7697,709.75,12.01,1
86.54402,30.18374,709.71,11.99,1
86.96792,30.61486,709.67,11.97,1
87.35367,31.00575,709.63,11.95,1
87.73968,31.40498,709.6,11.93,1
88.12766,31.82159,709.56,11.91,1
88.47708,32.19785,709.52,11.89,1
88.78126,32.56622,709.48,11.87,1
89.0261,32.95371,709.44,11.85,1
89.27481,33.34253,709.41,11.83,1
89.49038,33.71675,709.37,11.81,1
89.67638,34.09233,709.33,11.79,1
89.85471,34.45875,709.29,11.77,1
90.02194,34.81464,709.25,11.75,1
90.18177,35.16087,709.22,11.73,1
90.3557,35.50798,709.18,11.71,1
90.52225,35.87475,709.14,11.69,1
90.66425,36.24903,709.1,11.67,1
90.78229,36.64404,709.06,11.65,1
