x_loc,y_loc,game_clock,shot_clock,quarter
44.76529,17.47021,720,,1
44.71919,17.53699,719.96,16.88,1
44.65545,17.59816,719.92,16.86,1
44.58809,17.66295,719.89,17.31,1
44.50953,17.73153,719.85,17.29,1
44.43019,17.79795,719.81,17.27,1
44.35178,17.8634,719.77,17.25,1
44.27204,17.92431,719.73,17.23,1
44.18823,17.98542,719.7,17.21,1
44.11576,18.04965,719.66,17.19,1
44.0542,18.11785,719.62,17.17,1
43.95174,18.12052,719.58,17.15,1
43.80423,18.0542,719.54,17.13,1
43.72002,18.06201,719.51,17.11,1
43.69875,18.14303,719.47,17.09,1
43.70949,18.22274,719.43,17.07,1
43.72115,18.30505,719.39,17.05,1
43.75583,18.39592,719.35,17.03,1
43.80413,18.48875,719.32,17.01,1
43.86056,18.58197,719.28,16.99,1
43.91952,18.68993,719.24,16.97,1
43.98449,18.80571,719.2,16.95,1
44.05051,18.93321,719.16,16.93,1
44.11908,19.06012,719.13,16.91,1
44.18307,19.18685,719.09,16.89,1
44.25095,19.32326,719.05,16.87,1
44.33555,19.55334,719.01,16.85,1
44.5171,19.83681,718.97,16.83,1
44.6477,20.06706,718.94,16.82,1
44.73264,20.23314,718.9,16.79,1
44.79067,20.39829,718.86,16.78,1
44.86454,20.56854,718.82,16.76,1
44.92906,20.74291,718.78,16.74,1
44.96126,20.92621,718.75,16.72,1
45.06788,21.10455,718.71,16.7,1
45.18584,21.28237,718.67,16.68,1
45.2906,21.45947,718.63,16.66,1
45.40809,21.63554,718.59,16.64,1
45.54045,21.79627,718.56,16.62,1
45.68116,21.95323,718.52,16.6,1
45.7987,22.10253,718.48,16.58,1
45.97856,22.22391,718.44,16.56,1
46.09481,22.40247,718.41,16.54,1
46.22636,22.54503,718.37,16.52,1
46.35718,22.67737,718.33,16.5,1
46.489,22.8143,718.29,16.48,1
46.62562,22.946,718.25,16.46,1
46.78948,23.07083,718.22,16.44,1
46.99152,23.18188,718.18,16.42,1
47.13938,23.29442,718.14,16.4,1
47.28305,23.40113,718.1,16.38,1
47.44242,23.49747,718.06,16.36,1
47.60547,23.59967,718.03,16.34,1
47.75715,23.71979,717.99,16.32,1
47.8978,23.84771,717.95,16.3,1
48.07034,23.96749,717.91,16.28,1
48.22426,24.09761,717.87,16.26,1
48.40374,24.1931,717.83,16.24,1
48.57115,24.30437,717.8,16.22,1
48.72599,24.41035,717.76,16.2,1
48.89799,24.51173,717.72,16.18,1
49.06683,24.61347,717.68,16.16,1
49.21883,24.71707,717.64,16.14,1
49.36974,24.82281,717.61,16.12,1
49.51399,24.92989,717.57,16.1,1
49.70317,25.05765,717.53,16.08,1
49.90064,25.17779,717.49,16.06,1
50.1013,25.27987,717.45,16.04,1
50.2944,25.37003,717.42,16.02,1
50.49074,25.43613,717.38,16,1
50.67455,25.51323,717.34,15.98,1
50.86025,25.58062,717.3,15.96,1
51.07237,25.64164,717.27,15.94,1
51.28511,25.69654,717.23,15.92,1
51.49863,25.80582,717.19,15.9,1
51.7118,25.90077,717.15,15.88,1
51.9248,25.97053,717.11,15.86,1
52.15724,25.97097,717.08,15.84,1
52.40911,25.90208,717.04,15.82,1
52.65728,25.83223,717,15.8,1
52.88145,25.67233,716.96,15.78,1
53.09693,25.51745,716.92,15.76,1
53.26476,25.44039,716.89,15.74,1
53.45741,25.29277,716.85,15.72,1
53.64139,25.15962,716.81,15.7,1
53.80813,25.07965,716.77,15.68,1
53.94099,25.00874,716.73,15.66,1
54.09371,24.93612,716.7,15.64,1
54.29172,24.86648,716.66,15.62,1
54.44819,24.75832,716.62,15.6,1
54.55429,24.67372,716.58,15.58,1
54.65308,24.56592,716.54,15.56,1
54.72782,24.48092,716.51,15.54,1
54.77853,24.4187,716.47,15.52,1
54.82971,24.36005,716.43,15.5,1
54.86228,24.36654,716.39,15.48,1
54.89038,24.3383,716.35,15.46,1
54.98434,24.16003,716.32,15.44,1
55.05756,24.0498,716.28,15.42,1
55.12777,23.95107,716.24,15.4,1
55.20495,23.82878,716.2,15.38,1
55.2968,23.73795,716.16,15.36,1
55.33448,23.641,716.13,15.34,1
55.31518,23.53892,716.09,15.33,1
55.35446,23.43537,716.05,15.3,1
