x_loc,y_loc,game_clock,shot_clock,quarter
76.91387,24.68808,720,,1
76.88031,24.6746,719.96,16.88,1
76.84675,24.65577,719.92,16.86,1
76.80654,24.63746,719.89,17.31,1
76.76477,24.61041,719.85,17.29,1
76.72298,24.57747,719.81,17.27,1
76.67219,24.54265,719.77,17.25,1
76.62179,24.50108,719.73,17.23,1
76.56769,24.45773,719.7,17.21,1
76.50663,24.40886,719.66,17.19,1
76.43861,24.36033,719.62,17.17,1
76.36626,24.31492,719.58,17.15,1
76.28606,24.26031,719.54,17.13,1
76.20075,24.20656,719.51,17.11,1
76.1114,24.16378,719.47,17.09,1
76.01588,24.13219,719.43,17.07,1
75.91707,24.10374,719.39,17.05,1
75.80663,24.08095,719.35,17.03,1
75.69472,24.05814,719.32,17.01,1
75.57723,24.04336,719.28,16.99,1
75.45403,24.02981,719.24,16.97,1
75.32211,24.02684,719.2,16.95,1
75.18227,24.02935,719.16,16.93,1
75.03885,24.02643,719.13,16.91,1
74.89324,24.02961,719.09,16.89,1
74.745,24.03813,719.05,16.87,1
74.59911,24.03853,719.01,16.85,1
74.45533,24.05412,718.97,16.83,1
74.315,24.06277,718.94,16.82,1
74.17291,24.07821,718.9,16.79,1
74.03239,24.08639,718.86,16.78,1
73.89399,24.09546,718.82,16.76,1
73.76054,24.10246,718.78,16.74,1
73.62924,24.10872,718.75,16.72,1
73.50027,24.11887,718.71,16.7,1
73.366,24.13474,718.67,16.68,1
73.24316,24.15365,718.63,16.66,1
73.11514,24.16235,718.59,16.64,1
72.99376,24.18437,718.56,16.62,1
72.88914,24.22271,718.52,16.6,1
72.78986,24.26666,718.48,16.58,1
72.68882,24.32693,718.44,16.56,1
72.59579,24.39077,718.41,16.54,1
72.50049,24.46738,718.37,16.52,1
72.4106,24.53581,718.33,16.5,1
72.32869,24.61553,718.29,16.48,1
72.24768,24.69353,718.25,16.46,1
72.16935,24.77496,718.22,16.44,1
72.09466,24.85932,718.18,16.42,1
72.02421,24.94269,718.14,16.4,1
71.95933,25.02423,718.1,16.38,1
71.89659,25.09811,718.06,16.36,1
71.84767,25.17895,718.03,16.34,1
71.80288,25.25442,717.99,16.32,1
71.7524,25.32004,717.95,16.3,1
71.71123,25.37744,717.91,16.28,1
71.67602,25.42783,717.87,16.26,1
71.64265,25.47119,717.83,16.24,1
71.61958,25.51178,717.8,16.22,1
71.60062,25.5514,717.76,16.2,1
71.58773,25.58239,717.72,16.18,1
71.58552,25.61406,717.68,16.16,1
71.59206,25.642,717.64,16.14,1
71.60613,25.66797,717.61,16.12,1
71.62622,25.69122,717.57,16.1,1
71.63186,25.70942,717.53,16.08,1
71.63744,25.72927,717.49,16.06,1
71.64457,25.75401,717.45,16.04,1
71.64596,25.77644,717.42,16.02,1
71.64437,25.78361,717.38,16,1
71.64684,25.78573,717.34,15.98,1
71.65397,25.75632,717.3,15.96,1
71.66658,25.74038,717.27,15.94,1
71.64175,25.74088,717.23,15.92,1
71.62699,25.73,717.19,15.9,1
71.61147,25.71461,717.15,15.88,1
71.60347,25.70163,717.11,15.86,1
71.58812,25.68033,717.08,15.84,1
71.57737,25.6039,717.04,15.82,1
71.55855,25.51827,717,15.8,1
71.57204,25.43339,716.96,15.78,1
71.63451,25.38746,716.92,15.76,1
71.65655,25.2917,716.89,15.74,1
71.69385,25.1949,716.85,15.72,1
71.75444,25.1095,716.81,15.7,1
71.75683,25.00811,716.77,15.68,1
71.76229,24.93035,716.73,15.66,1
71.80511,24.84979,716.7,15.64,1
71.89734,24.7391,716.66,15.62,1
71.97969,24.6364,716.62,15.6,1
72.04773,24.53584,716.58,15.58,1
72.11744,24.41306,716.54,15.56,1
72.20365,24.28568,716.51,15.54,1
72.28443,24.21714,716.47,15.52,1
72.37887,24.1587,716.43,15.5,1
72.47546,24.08553,716.39,15.48,1
72.53731,23.95825,716.35,15.46,1
72.65521,23.87075,716.32,15.44,1
72.77025,23.7757,716.28,15.42,1
72.87,23.66149,716.24,15.4,1
73.0339,23.56825,716.2,15.38,1
73.20207,23.47453,716.16,15.36,1
73.33509,23.34966,716.13,15.34,1
73.45537,23.20335,716.09,15.33,1
73.58002,23.10371,716.05,15.3,1
73.72895,22.99592,716.01,15.29,1
73.8791,22.89686,715.97,15.27,1
74.02477,22.79167,715.94,15.25,1
74.18325,22.66404,715.9,15.23,1
74.34248,22.53374,715.86,15.21,1
74.49338,22.40745,715.82,15.19,1
74.64215,22.28504,715.78,15.17,1
74.78914,22.16348,715.75,15.15,1
74.93823,22.04388,715.71,15.13,1
75.09294,21.92654,715.67,15.11,1
75.24694,21.79976,715.63,15.09,1
75.40104,21.66398,715.59,15.07,1
75.56129,21.53862,715.56,15.05,1
75.73333,21.43963,715.52,15.03,1
75.90625,21.27372,715.48,15.01,1
76.07597,21.10608,715.44,14.99,1
76.23956,20.9384,715.4,14.97,1
76.40319,20.77734,715.37,14.95,1
76.56977,20.64612,715.33,14.93,1
76.71782,20.49201,715.29,14.91,1
76.87069,20.33883,715.25,14.89,1
77.02634,20.18413,715.21,14.87,1
77.18423,20.03604,715.18,14.85,1
77.34365,19.88756,715.14,14.83,1
77.50022,19.74713,715.1,14.81,1
77.64819,19.60398,715.06,14.79,1
77.79007,19.51999,715.02,14.77,1
77.92587,19.42949,714.99,14.75,1
78.054,19.30353,714.95,14.73,1
78.17841,19.20383,714.91,14.71,1
78.28227,19.08497,714.87,14.69,1
78.34922,18.89591,714.84,14.67,1
78.40855,18.71818,714.8,14.65,1
78.4597,18.58167,714.76,14.63,1
78.51346,18.43588,714.72,14.61,1
78.56724,18.33228,714.68,14.59,1
78.59873,18.19788,714.65,14.57,1
78.61339,18.06794,714.61,14.55,1
78.6182,17.99732,714.57,14.53,1
78.61202,17.93422,714.53,14.51,1
78.59817,17.86589,714.49,14.49,1
78.54969,17.72945,714.46,14.47,1
78.50984,17.65224,714.42,14.45,1
78.45793,17.61627,714.38,14.43,1
78.39936,17.57991,714.34,14.41,1
78.34718,17.58184,714.3,14.39,1
78.32991,17.67236,714.26,14.37,1
78.30858,17.76486,714.23,14.35,1
78.27603,17.80862,714.19,14.33,1
78.24648,17.88365,714.15,14.31,1
78.21168,17.92503,714.11,14.29,1
78.16027,17.95463,714.07,14.27,1
78.10289,17.98097,714.04,14.25,1
78.05071,17.94224,714,14.23,1
77.99827,17.90499,713.96,14.21,1
77.9711,17.92242,713.92,14.19,1
77.986,18.01108,713.89,14.17,1
77.97685,18.09217,713.85,14.15,1
77.97887,18.1699,713.81,14.13,1
77.9815,18.22794,713.77,14.11,1
77.97464,18.24961,713.73,14.09,1
77.95935,18.25151,713.7,14.07,1
77.94311,18.24875,713.66,14.05,1
77.92085,18.2407,713.62,14.03,1
77.89024,18.21633,713.58,14.01,1
77.85115,18.2179,713.54,13.99,1
77.84476,18.29337,713.51,13.97,1
77.81471,18.36433,713.47,13.95,1
77.79735,18.49058,713.43,13.93,1
77.81486,18.61849,713.39,13.91,1
77.81359,18.77122,713.35,13.89,1
77.80115,18.94224,713.32,13.87,1
77.80069,19.06379,713.28,13.85,1
77.67375,19.05515,713.24,13.83,1
77.55858,19.03464,713.2,13.81,1
77.40168,19.06528,713.16,13.79,1
77.22985,19.11431,713.13,13.78,1
77.03863,19.17189,713.09,13.76,1
76.83376,19.24297,713.05,13.74,1
76.62394,19.33657,713.01,13.72,1
76.40511,19.42246,712.97,13.7,1
76.16543,19.50691,712.94,13.68,1
75.94995,19.61911,712.9,13.66,1
75.72255,19.765,712.86,13.64,1
75.42022,19.87345,712.82,13.62,1
75.11113,19.92488,712.78,13.6,1
74.78399,19.92577,712.75,13.58,1
74.43513,19.94646,712.71,13.56,1
74.19994,20.10943,712.67,13.54,1
73.94119,20.30626,712.63,13.52,1
73.72019,20.48927,712.59,13.5,1
73.50277,20.68351,712.56,13.48,1
73.29687,20.88392,712.52,13.46,1
73.0994,21.08258,712.48,13.44,1
72.90678,21.29347,712.44,13.42,1
72.71018,21.49106,712.4,13.4,1
72.52458,21.68912,712.37,13.38,1
72.34999,21.90356,712.33,13.36,1
72.16372,22.0282,712.29,13.34,1
72.01862,22.1872,712.25,13.32,1
71.88294,22.3384,712.22,13.3,1
71.76861,22.49789,712.18,13.28,1
71.67226,22.64329,712.14,13.26,1
71.5893,22.78423,712.1,13.24,1
71.53043,22.93172,712.06,13.22,1
71.48973,23.07753,712.03,13.2,1
71.4638,23.20305,711.99,13.18,1
71.45012,23.31816,711.95,13.16,1
71.45061,23.42404,711.91,13.14,1
71.46235,23.51313,711.87,13.12,1
71.49214,23.59207,711.84,13.1,1
71.53169,23.64804,711.8,13.08,1
71.57993,23.65905,711.76,13.06,1
71.61411,23.67662,711.72,13.04,1
71.68384,23.6941,711.68,13.02,1
71.74036,23.71764,711.65,13,1
71.79094,23.72705,711.61,12.98,1
71.83534,23.74224,711.57,12.96,1
71.90011,23.77098,711.53,12.94,1
71.97994,23.76753,711.49,12.92,1
72.0611,23.75771,711.46,12.9,1
72.09999,23.74733,711.42,12.88,1
72.17776,23.74057,711.38,12.86,1
72.19423,23.72169,711.34,12.84,1
72.26153,23.71125,711.3,12.82,1
72.27568,23.70343,711.27,12.8,1
72.34167,23.70295,711.23,12.78,1
72.36133,23.7033,711.19,12.76,1
72.40526,23.72262,711.15,12.74,1
72.38902,23.75027,711.11,12.72,1
72.38275,23.76623,711.08,12.7,1
72.40517,23.78057,711.04,12.68,1
72.40725,23.78994,711,12.66,1
72.41968,23.79168,710.96,12.64,1
72.41617,23.81697,710.92,12.62,1
72.40389,23.83324,710.89,12.6,1
72.43478,23.84719,710.85,12.58,1
72.4264,23.86228,710.81,12.56,1
72.46351,23.85357,710.77,12.54,1
72.44964,23.8397,710.73,12.52,1
72.51252,23.85692,710.7,12.5,1
72.52723,23.87376,710.66,12.48,1
72.58276,23.89334,710.62,12.46,1
72.61313,23.88267,710.58,12.44,1
72.6826,23.84478,710.54,12.42,1
72.78007,23.85355,710.51,12.4,1
72.87727,23.85509,710.47,12.38,1
72.98792,23.86857,710.43,12.36,1
72.99773,23.90981,710.39,12.34,1
73.01094,23.9208,710.35,12.32,1
73.09803,23.93385,710.32,12.3,1
73.1511,23.96017,710.28,12.28,1
73.20736,24.00477,710.24,12.27,1
73.32327,24.0449,710.2,12.25,1
73.3552,24.05682,710.16,12.23,1
73.43406,24.06535,710.13,12.21,1
73.49522,24.07074,710.09,12.19,1
73.54616,24.07836,710.05,12.17,1
73.63341,24.08754,710.01,12.15,1
73.69674,24.114,709.97,12.13,1
73.73458,24.09846,709.94,12.11,1
73.73316,24.08101,709.9,12.09,1
73.74927,24.04781,709.86,12.07,1
73.8382,23.97553,709.82,12.05,1
73.91398,23.92786,709.78,12.03,1
73.91058,23.87735,709.75,12.01,1
73.94855,23.82446,709.71,11.99,1
73.98384,23.7536,709.67,11.97,1
73.953,23.69207,709.63,11.95,1
74.06239,23.65941,709.6,11.93,1
74.04499,23.59238,709.56,11.91,1
74.0429,23.51036,709.52,11.89,1
74.04395,23.42101,709.48,11.87,1
74.0189,23.33568,709.44,11.85,1
74.00288,23.24307,709.41,11.83,1
73.97797,23.14756,709.37,11.81,1
73.99549,23.06848,709.33,11.79,1
73.99802,22.9891,709.29,11.77,1
73.98454,22.91083,709.25,11.75,1
73.9614,22.83142,709.22,11.73,1
73.94292,22.7566,709.18,11.71,1
73.90434,22.67471,709.14,11.69,1
73.85972,22.58655,709.1,11.67,1
73.82819,22.52736,709.06,11.65,1
