x_loc,y_loc,game_clock,shot_clock,quarter
44.94448,25.48135,720,,1
44.99587,25.52801,719.96,16.88,1
45.04402,25.569,719.92,16.86,1
45.13345,25.61198,719.89,17.31,1
45.21759,25.65667,719.85,17.29,1
45.24706,25.7077,719.81,17.27,1
45.30348,25.73565,719.77,17.25,1
45.33898,25.75748,719.73,17.23,1
45.38666,25.78509,719.7,17.21,1
45.43897,25.83491,719.66,17.19,1
45.49276,25.88186,719.62,17.17,1
45.54355,25.91863,719.58,17.15,1
45.61499,25.97317,719.54,17.13,1
45.67741,26.01459,719.51,17.11,1
45.75388,26.06223,719.47,17.09,1
45.85673,26.09784,719.43,17.07,1
45.96579,26.15474,719.39,17.05,1
46.10637,26.21127,719.35,17.03,1
46.24137,26.28166,719.32,17.01,1
46.3465,26.34996,719.28,16.99,1
46.47582,26.41634,719.24,16.97,1
46.5929,26.51292,719.2,16.95,1
46.68555,26.58931,719.16,16.93,1
46.79438,26.66212,719.13,16.91,1
46.92042,26.71033,719.09,16.89,1
47.08124,26.76279,719.05,16.87,1
47.24042,26.83845,719.01,16.85,1
47.40434,26.90158,718.97,16.83,1
47.57866,26.9698,718.94,16.82,1
47.75361,27.03407,718.9,16.79,1
47.93034,27.11189,718.86,16.78,1
48.13573,27.17071,718.82,16.76,1
48.33587,27.24408,718.78,16.74,1
48.52407,27.30718,718.75,16.72,1
48.77514,27.38131,718.71,16.7,1
49.07112,27.46273,718.67,16.68,1
49.37914,27.55326,718.63,16.66,1
49.69311,27.64315,718.59,16.64,1
50.00363,27.74561,718.56,16.62,1
50.31413,27.84734,718.52,16.6,1
50.61851,27.93922,718.48,16.58,1
50.94838,28.01654,718.44,16.56,1
51.29201,28.10653,718.41,16.54,1
51.63693,28.20453,718.37,16.52,1
51.98993,28.31405,718.33,16.5,1
52.34702,28.42587,718.29,16.48,1
52.702,28.55592,718.25,16.46,1
53.05372,28.69822,718.22,16.44,1
53.40626,28.8483,718.18,16.42,1
53.74339,28.99938,718.14,16.4,1
54.07527,29.14962,718.1,16.38,1
54.40277,29.30673,718.06,16.36,1
54.73418,29.47475,718.03,16.34,1
55.0621,29.64199,717.99,16.32,1
55.40716,29.82244,717.95,16.3,1
55.74811,30.03178,717.91,16.28,1
56.07059,30.26299,717.87,16.26,1
56.39718,30.49008,717.83,16.24,1
56.72532,30.71666,717.8,16.22,1
57.02624,30.92879,717.76,16.2,1
57.34108,31.13367,717.72,16.18,1
57.65498,31.31353,717.68,16.16,1
57.9992,31.51105,717.64,16.14,1
58.32353,31.73754,717.61,16.12,1
58.64668,31.96911,717.57,16.1,1
