x_loc,y_loc,game_clock,shot_clock,quarter
45.42762,24.82779,720,,1
44.9767,24.52885,719.96,16.88,1
44.504,24.2982,719.92,16.86,1
44.02241,24.0543,719.89,17.31,1
43.59492,23.82836,719.85,17.29,1
43.06268,23.60353,719.81,17.27,1
42.64171,23.37588,719.77,17.25,1
42.15065,23.184,719.73,17.23,1
41.71221,22.96291,719.7,17.21,1
41.28638,22.5413,719.66,17.19,1
40.81985,22.44902,719.62,17.17,1
40.39933,22.1959,719.58,17.15,1
39.90853,21.87117,719.54,17.13,1
39.98177,21.63771,719.51,17.11,1
39.83177,21.66853,719.47,17.09,1
39.67084,21.77377,719.43,17.07,1
39.63124,21.70354,719.39,17.05,1
39.35837,21.82174,719.35,17.03,1
38.93228,22.08284,719.32,17.01,1
38.72099,22.29667,719.28,16.99,1
38.49794,22.56376,719.24,16.97,1
38.25398,22.71278,719.2,16.95,1
38.01079,22.85246,719.16,16.93,1
37.88632,22.75639,719.13,16.91,1
37.6112,23.48743,719.09,16.89,1
37.55547,23.42766,719.05,16.87,1
37.40263,23.42438,719.01,16.85,1
37.22616,23.31142,718.97,16.83,1
37.04742,23.30753,718.94,16.82,1
36.84275,23.31828,718.9,16.79,1
36.77649,23.48223,718.86,16.78,1
36.36324,23.36442,718.82,16.76,1
35.8573,23.34105,718.78,16.74,1
35.4314,23.30749,718.75,16.72,1
34.91395,23.07829,718.71,16.7,1
34.37003,22.83806,718.67,16.68,1
33.77941,22.76713,718.63,16.66,1
33.34145,22.61624,718.59,16.64,1
32.69362,22.35934,718.56,16.62,1
32.23939,22.30668,718.52,16.6,1
31.70999,22.21353,718.48,16.58,1
31.14662,22.01402,718.44,16.56,1
30.65139,21.88445,718.41,16.54,1
30.13847,21.66233,718.37,16.52,1
29.74248,21.43065,718.33,16.5,1
29.18036,21.35802,718.29,16.48,1
28.58331,21.19893,718.25,16.46,1
28.15534,21.09351,718.22,16.44,1
27.55838,20.96427,718.18,16.42,1
27.47804,20.73511,718.14,16.4,1
27.47143,20.37785,718.1,16.38,1
27.5856,20.16642,718.06,16.36,1
27.55294,19.71996,718.03,16.34,1
27.95762,19.82518,717.99,16.32,1
28.05727,19.55553,717.95,16.3,1
28.30144,19.50774,717.91,16.28,1
28.60175,19.43321,717.87,16.26,1
28.94101,19.33393,717.83,16.24,1
29.30851,19.21075,717.8,16.22,1
29.69353,19.06457,717.76,16.2,1
30.11806,18.84583,717.72,16.18,1
30.56692,18.77713,717.68,16.16,1
31.0345,18.43817,717.64,16.14,1
31.43582,18.26693,717.61,16.12,1
31.783,18.37199,717.57,16.1,1
32.10259,18.14678,717.53,16.08,1
32.34838,18.01518,717.49,16.06,1
32.5056,17.94973,717.45,16.04,1
32.55668,17.94328,717.42,16.02,1
32.8848,17.71254,717.38,16,1
33.02062,17.81267,717.34,15.98,1
33.26852,17.73022,717.3,15.96,1
33.65849,17.59162,717.27,15.94,1
34.05472,17.38143,717.23,15.92,1
34.33004,17.02292,717.19,15.9,1
34.74114,16.79523,717.15,15.88,1
35.1653,16.9268,717.11,15.86,1
35.75409,16.18926,717.08,15.84,1
36.15859,15.7889,717.04,15.82,1
36.57261,15.48941,717,15.8,1
36.8379,15.15471,716.96,15.78,1
37.65428,14.68208,716.92,15.76,1
37.98755,14.11128,716.89,15.74,1
38.39292,13.77896,716.85,15.72,1
38.74999,13.16494,716.81,15.7,1
39.32322,12.83407,716.77,15.68,1
39.70655,12.18053,716.73,15.66,1
40.05583,11.75199,716.7,15.64,1
40.37863,11.44195,716.66,15.62,1
40.52317,11.02035,716.62,15.6,1
40.61361,10.71737,716.58,15.58,1
40.74727,10.61791,716.54,15.56,1
41.00792,10.1458,716.51,15.54,1
41.13161,9.98096,716.47,15.52,1
41.26154,9.80122,716.43,15.5,1
41.5099,9.35963,716.39,15.48,1
41.81965,9.13366,716.35,15.46,1
42.18347,8.89741,716.32,15.44,1
42.38833,8.56112,716.28,15.42,1
42.68379,8.27563,716.24,15.4,1
43.14734,7.83056,716.2,15.38,1
43.72565,7.74915,716.16,15.36,1
44.42389,7.4867,716.13,15.34,1
45.04877,7.30541,716.09,15.33,1
45.88692,7.14686,716.05,15.3,1
46.30799,6.7965,716.01,15.29,1
47.0965,6.56348,715.97,15.27,1
48.08727,6.45097,715.94,15.25,1
48.72888,6.33535,715.9,15.23,1
49.47015,6.22371,715.86,15.21,1
50.1305,6.14334,715.82,15.19,1
50.69149,5.852,715.78,15.17,1
51.04,5.78623,715.75,15.15,1
51.43255,5.82512,715.71,15.13,1
51.78827,5.71899,715.67,15.11,1
52.08164,5.58835,715.63,15.09,1
52.5008,5.44468,715.59,15.07,1
52.84116,5.61385,715.56,15.05,1
53.30211,5.41806,715.52,15.03,1
53.56176,5.82218,715.48,15.01,1
53.87262,5.47645,715.44,14.99,1
54.34146,5.33352,715.4,14.97,1
54.56928,5.27147,715.37,14.95,1
54.85505,5.14873,715.33,14.93,1
55.33375,5.13282,715.29,14.91,1
55.6646,5.084,715.25,14.89,1
56.1098,4.99102,715.21,14.87,1
56.48238,4.84463,715.18,14.85,1
56.81974,4.85524,715.14,14.83,1
57.1493,4.72886,715.1,14.81,1
57.43214,4.68115,715.06,14.79,1
57.86595,4.70612,715.02,14.77,1
58.06424,3.71146,714.99,14.75,1
58.58261,4.39094,714.95,14.73,1
59.04998,4.73498,714.91,14.71,1
59.1643,4.46475,714.87,14.69,1
59.42269,4.45631,714.84,14.67,1
59.64516,4.44525,714.8,14.65,1
59.90016,4.36578,714.76,14.63,1
60.21458,4.34242,714.72,14.61,1
60.36501,4.33604,714.68,14.59,1
60.65786,4.22091,714.65,14.57,1
60.88971,4.2739,714.61,14.55,1
61.10596,4.16633,714.57,14.53,1
61.54328,4.0897,714.53,14.51,1
61.6784,4.06932,714.49,14.49,1
62.02446,4.0485,714.46,14.47,1
62.39523,3.88937,714.42,14.45,1
62.69094,3.89535,714.38,14.43,1
62.90487,3.99719,714.34,14.41,1
63.00984,3.99195,714.3,14.39,1
63.2735,3.96112,714.26,14.37,1
63.2469,3.93651,714.23,14.35,1
63.17278,3.82967,714.19,14.33,1
63.17231,3.72869,714.15,14.31,1
63.25998,3.66858,714.11,14.29,1
63.19419,3.56618,714.07,14.27,1
63.0993,3.53485,714.04,14.25,1
63.21351,3.26738,714,14.23,1
63.27725,3.51676,713.96,14.21,1
63.15152,3.50019,713.92,14.19,1
63.43518,3.34875,713.89,14.17,1
63.3837,3.62094,713.85,14.15,1
63.65263,3.5791,713.81,14.13,1
63.66701,3.8792,713.77,14.11,1
64.02927,4.13798,713.73,14.09,1
64.21494,4.22155,713.7,14.07,1
64.115,4.22873,713.66,14.05,1
64.31143,4.42963,713.62,14.03,1
64.38639,4.58119,713.58,14.01,1
64.55886,4.69325,713.54,13.99,1
64.66416,4.81566,713.51,13.97,1
64.59855,4.98657,713.47,13.95,1
64.60567,5.03618,713.43,13.93,1
64.67069,5.12734,713.39,13.91,1
64.63669,5.12595,713.35,13.89,1
64.59001,5.11101,713.32,13.87,1
64.51261,4.98498,713.28,13.85,1
64.39154,4.88964,713.24,13.83,1
64.47761,4.97235,713.2,13.81,1
64.34959,4.83383,713.16,13.79,1
64.31077,4.97095,713.13,13.78,1
64.15448,4.87703,713.09,13.76,1
64.1845,4.76211,713.05,13.74,1
64.36775,5.04418,713.01,13.72,1
64.4754,5.125,712.97,13.7,1
64.6272,5.15557,712.94,13.68,1
65.43663,5.03046,712.9,13.66,1
65.51724,5.61558,712.86,13.64,1
65.78903,5.7079,712.82,13.62,1
66.17546,5.51087,712.78,13.6,1
66.14904,5.25309,712.75,13.58,1
66.38062,4.78853,712.71,13.56,1
