x_loc,y_loc,quarter,game_clock,shot_clock
47.9053,26.29044,1,720.0,
47.9409,26.38347,1,719.96,16.88
47.99108,26.47669,1,719.92,16.86
48.06072,26.55832,1,719.89,17.31
48.11885,26.63755,1,719.85,17.29
48.18646,26.73428,1,719.81,17.27
48.25665,26.85677,1,719.77,17.25
48.28467,26.95107,1,719.73,17.23
48.32745,27.05607,1,719.7,17.21
48.41534,27.16881,1,719.66,17.19
48.54052,27.29535,1,719.62,17.17
48.6742,27.42609,1,719.58,17.15
48.83305,27.53119,1,719.54,17.13
48.96332,27.59298,1,719.51,17.11
49.10641,27.63973,1,719.47,17.09
49.24818,27.69627,1,719.43,17.07
49.41214,27.75456,1,719.39,17.05
49.59158,27.81979,1,719.35,17.03
49.77449,27.89064,1,719.32,17.01
49.97778,27.96186,1,719.28,16.99
50.20197,28.02105,1,719.24,16.97
50.44147,28.0389,1,719.2,16.95
50.70802,28.05186,1,719.16,16.93
50.97106,28.04718,1,719.13,16.91
51.23048,28.036,1,719.09,16.89
51.48246,28.01425,1,719.05,16.87
51.71527,27.99067,1,719.01,16.85
51.98852,27.9734,1,718.97,16.83
52.26997,27.95608,1,718.94,16.82
52.57343,27.95222,1,718.9,16.79
52.89932,27.94573,1,718.86,16.78
53.22952,27.93718,1,718.82,16.76
53.56333,27.91811,1,718.78,16.74
53.90315,27.90078,1,718.75,16.72
54.23223,27.8754,1,718.71,16.7
54.56179,27.84673,1,718.67,16.68
54.89192,27.82183,1,718.63,16.66
55.21977,27.79033,1,718.59,16.64
55.56558,27.76558,1,718.56,16.62
55.9101,27.7454,1,718.52,16.6
56.27142,27.72481,1,718.48,16.58
56.67502,27.70017,1,718.44,16.56
57.03618,27.68104,1,718.41,16.54
57.40781,27.66468,1,718.37,16.52
57.76345,27.66311,1,718.33,16.5
58.11386,27.64645,1,718.29,16.48
58.45488,27.63171,1,718.25,16.46
58.81031,27.61724,1,718.22,16.44
59.1716,27.60107,1,718.18,16.42
59.5444,27.59864,1,718.14,16.4
59.92901,27.61121,1,718.1,16.38
60.32184,27.63359,1,718.06,16.36
60.70642,27.67151,1,718.03,16.34
61.09925,27.69857,1,717.99,16.32
61.48811,27.73101,1,717.95,16.3
61.86188,27.77315,1,717.91,16.28
62.2263,27.8315,1,717.87,16.26
62.60111,27.89852,1,717.83,16.24
62.99301,27.96661,1,717.8,16.22
63.36504,28.01194,1,717.76,16.2
63.7617,28.06336,1,717.72,16.18
64.1892,28.1046,1,717.68,16.16
64.55806,28.1748,1,717.64,16.14
64.87276,28.24417,1,717.61,16.12
65.22612,28.31969,1,717.57,16.1
65.53832,28.37932,1,717.53,16.08
65.85622,28.44745,1,717.49,16.06
66.17716,28.50753,1,717.45,16.04
66.52038,28.5392,1,717.42,16.02
66.85291,28.61319,1,717.38,16.0
67.20493,28.69909,1,717.34,15.98
67.52519,28.81268,1,717.3,15.96
67.82599,28.91544,1,717.27,15.94
68.17084,29.00231,1,717.23,15.92
68.52484,29.09348,1,717.19,15.9
68.85174,29.19882,1,717.15,15.88
69.19261,29.33811,1,717.11,15.86
69.56201,29.46195,1,717.08,15.84
69.97825,29.5927,1,717.04,15.82
70.31757,29.72784,1,717.0,15.8
70.72467,29.83879,1,716.96,15.78
71.06816,29.92612,1,716.92,15.76
71.41317,30.00815,1,716.89,15.74
71.71712,30.13317,1,716.85,15.72
72.02351,30.21641,1,716.81,15.7
72.29814,30.27922,1,716.77,15.68
72.59498,30.30992,1,716.73,15.66
72.89485,30.3461,1,716.7,15.64
73.12528,30.39714,1,716.66,15.62
73.36557,30.44809,1,716.62,15.6
73.59802,30.4899,1,716.58,15.58
73.77736,30.52043,1,716.54,15.56
73.95477,30.54735,1,716.51,15.54
74.12162,30.58109,1,716.47,15.52
74.32398,30.59245,1,716.43,15.5
74.49342,30.67816,1,716.39,15.48
74.71115,30.78435,1,716.35,15.46
74.9152,30.90236,1,716.32,15.44
75.12236,31.02549,1,716.28,15.42
75.33918,31.10261,1,716.24,15.4
75.55853,31.18778,1,716.2,15.38
75.78028,31.27298,1,716.16,15.36
76.00814,31.35937,1,716.13,15.34
76.23986,31.44586,1,716.09,15.33
76.46963,31.52989,1,716.05,15.3
76.70083,31.61452,1,716.01,15.29
76.93834,31.6716,1,715.97,15.27
77.18635,31.73837,1,715.94,15.25
77.43243,31.79177,1,715.9,15.23
77.67023,31.85054,1,715.86,15.21
77.89737,31.85172,1,715.82,15.19
78.1147,31.8481,1,715.78,15.17
78.33542,31.82905,1,715.75,15.15
78.54998,31.79545,1,715.71,15.13
78.75777,31.8108,1,715.67,15.11
78.9687,31.8255,1,715.63,15.09
79.18133,31.84306,1,715.59,15.07
79.39841,31.85902,1,715.56,15.05
79.56637,31.88339,1,715.52,15.03
79.72898,31.91071,1,715.48,15.01
79.88493,31.94028,1,715.44,14.99
80.03724,31.98528,1,715.4,14.97
80.18903,32.01122,1,715.37,14.95
80.33879,32.04294,1,715.33,14.93
80.50081,32.11664,1,715.29,14.91
80.64875,32.15883,1,715.25,14.89
80.84146,32.20235,1,715.21,14.87
81.03599,32.26559,1,715.18,14.85
81.22769,32.33991,1,715.14,14.83
81.41684,32.41096,1,715.1,14.81
81.59619,32.47904,1,715.06,14.79
81.76839,32.53695,1,715.02,14.77
81.93277,32.5956,1,714.99,14.75
82.14612,32.59114,1,714.95,14.73
82.3572,32.63415,1,714.91,14.71
82.57209,32.66786,1,714.87,14.69
82.78327,32.65,1,714.84,14.67
82.98952,32.69934,1,714.8,14.65
83.19824,32.75044,1,714.76,14.63
83.38777,32.70509,1,714.72,14.61
83.59678,32.7591,1,714.68,14.59
83.763,32.80015,1,714.65,14.57
83.92512,32.83614,1,714.61,14.55
84.08781,32.87412,1,714.57,14.53
84.23996,32.91235,1,714.53,14.51
84.3903,32.95237,1,714.49,14.49
84.53933,32.98365,1,714.46,14.47
84.68193,33.00979,1,714.42,14.45
84.81401,33.09265,1,714.38,14.43
84.94154,33.11966,1,714.34,14.41
85.06132,33.14717,1,714.3,14.39
85.17068,33.2218,1,714.26,14.37
85.30231,33.19668,1,714.23,14.35
85.41978,33.18055,1,714.19,14.33
85.52797,33.19555,1,714.15,14.31
85.56617,33.14661,1,714.11,14.29
85.64078,33.09656,1,714.07,14.27
85.71034,33.0218,1,714.04,14.25
85.72578,32.94439,1,714.0,14.23
85.75639,32.86025,1,713.96,14.21
85.75723,32.77421,1,713.92,14.19
85.77028,32.66983,1,713.89,14.17
85.78324,32.55254,1,713.85,14.15
85.79629,32.41717,1,713.81,14.13
85.8131,32.28543,1,713.77,14.11
85.82609,32.14258,1,713.73,14.09
85.83574,31.98927,1,713.7,14.07
85.80765,31.86404,1,713.66,14.05
85.78253,31.70554,1,713.62,14.03
85.75611,31.55121,1,713.58,14.01
85.78508,31.39263,1,713.54,13.99
85.75608,31.17408,1,713.51,13.97
85.71833,30.9572,1,713.47,13.95
85.70996,30.71258,1,713.43,13.93
85.69099,30.45642,1,713.39,13.91
85.69125,30.18028,1,713.35,13.89
85.67197,29.92479,1,713.32,13.87
85.64814,29.67192,1,713.28,13.85
85.62103,29.41565,1,713.24,13.83
85.58597,29.14458,1,713.2,13.81
85.55189,28.87319,1,713.16,13.79
85.52194,28.60557,1,713.13,13.78
85.49415,28.34456,1,713.09,13.76
85.43744,28.14697,1,713.05,13.74
85.35976,27.98875,1,713.01,13.72
85.28129,27.83644,1,712.97,13.7
85.20625,27.76364,1,712.94,13.68
85.13262,27.70796,1,712.9,13.66
85.06122,27.67145,1,712.86,13.64
85.01787,27.5773,1,712.82,13.62
84.95508,27.49251,1,712.78,13.6
84.88877,27.41894,1,712.75,13.58
84.80756,27.35967,1,712.71,13.56
84.70278,27.36788,1,712.67,13.54
84.58569,27.40177,1,712.63,13.52
84.46242,27.45393,1,712.59,13.5
84.33409,27.51602,1,712.56,13.48
84.19689,27.58827,1,712.52,13.46
84.08323,27.62183,1,712.48,13.44
83.99571,27.57302,1,712.44,13.42
83.90063,27.59663,1,712.4,13.4
83.81077,27.55623,1,712.37,13.38
83.72191,27.52144,1,712.33,13.36
83.6387,27.45757,1,712.29,13.34
83.51593,27.46783,1,712.25,13.32
83.40913,27.49602,1,712.22,13.3
83.30444,27.52707,1,712.18,13.28
83.20567,27.54557,1,712.14,13.26
83.12365,27.54423,1,712.1,13.24
83.05383,27.53493,1,712.06,13.22
82.98431,27.53547,1,712.03,13.2
82.92898,27.54783,1,711.99,13.18
82.87651,27.57247,1,711.95,13.16
82.81707,27.61339,1,711.91,13.14
82.74458,27.73003,1,711.87,13.12
82.66604,27.78751,1,711.84,13.1
82.57546,27.90073,1,711.8,13.08
82.48758,28.0308,1,711.76,13.06
82.40134,28.19247,1,711.72,13.04
82.31648,28.3629,1,711.68,13.02
82.23293,28.53408,1,711.65,13.0
82.14542,28.71717,1,711.61,12.98
82.06556,28.93099,1,711.57,12.96
81.98652,29.12421,1,711.53,12.94
81.90513,29.31556,1,711.49,12.92
81.8305,29.50586,1,711.46,12.9
81.74629,29.68481,1,711.42,12.88
81.6683,29.85768,1,711.38,12.86
81.59106,30.04666,1,711.34,12.84
81.52554,30.22912,1,711.3,12.82
81.46695,30.47061,1,711.27,12.8
81.4252,30.65796,1,711.23,12.78
81.38833,30.83303,1,711.19,12.76
81.35342,31.01106,1,711.15,12.74
81.32285,31.17966,1,711.11,12.72
81.29925,31.38079,1,711.08,12.7
81.28124,31.51975,1,711.04,12.68
81.26118,31.64327,1,711.0,12.66
81.24528,31.75262,1,710.96,12.64
81.22544,31.91096,1,710.92,12.62
81.19526,32.10546,1,710.89,12.6
81.18395,32.24657,1,710.85,12.58
81.13466,32.41339,1,710.81,12.56
81.11082,32.53085,1,710.77,12.54
81.11294,32.55961,1,710.73,12.52
81.17231,32.45084,1,710.7,12.5
81.28399,32.45344,1,710.66,12.48
81.45149,32.50602,1,710.62,12.46
81.62806,32.54776,1,710.58,12.44
81.77811,32.55741,1,710.54,12.42
81.93653,32.5534,1,710.51,12.4
82.11396,32.59427,1,710.47,12.38
82.28389,32.61868,1,710.43,12.36
82.44544,32.63567,1,710.39,12.34
82.61375,32.58031,1,710.35,12.32
82.79996,32.42552,1,710.32,12.3
82.96952,32.24868,1,710.28,12.28
83.17358,31.96231,1,710.24,12.27
83.3976,31.6803,1,710.2,12.25
83.6308,31.4669,1,710.16,12.23
83.77702,31.25395,1,710.13,12.21
83.86778,31.03008,1,710.09,12.19
83.83018,30.75147,1,710.05,12.17
83.71691,30.48594,1,710.01,12.15
83.59328,30.29319,1,709.97,12.13
83.45112,30.12213,1,709.94,12.11
83.31577,29.9253,1,709.9,12.09
83.19247,29.73217,1,709.86,12.07
