x_loc,y_loc,quarter,game_clock,shot_clock
47.9053,26.29044,1,720.0,
47.9409,26.38347,1,719.96,16.88
47.99108,26.47669,1,719.92,16.86
48.06072,26.55832,1,719.89,17.31
48.11885,26.63755,1,719.85,17.29
48.18646,26.73428,1,719.81,17.27
48.25665,26.85677,1,719.77,17.25
48.28467,26.95107,1,719.73,17.23
48.32745,27.05607,1,719.7,17.21
48.41534,27.16881,1,719.66,17.19
48.54052,27.29535,1,719.62,17.17
48.6742,27.42609,1,719.58,17.15
48.83305,27.53119,1,719.54,17.13
48.96332,27.59298,1,719.51,17.11
49.10641,27.63973,1,719.47,17.09
49.24818,27.69627,1,719.43,17.07
49.41214,27.75456,1,719.39,17.05
49.59158,27.81979,1,719.35,17.03
49.77449,27.89064,1,719.32,17.01
49.97778,27.96186,1,719.28,16.99
50.20197,28.02105,1,719.24,16.97
50.44147,28.0389,1,719.2,16.95
50.70802,28.05186,1,719.16,16.93
50.97106,28.04718,1,719.13,16.91
51.23048,28.036,1,719.09,16.89
51.48246,28.01425,1,719.05,16.87
51.71527,27.99067,1,719.01,16.85
51.98852,27.9734,1,718.97,16.83
52.26997,27.95608,1,718.94,16.82
52.57343,27.95222,1,718.9,16.79
52.89932,27.94573,1,718.86,16.78
53.22952,27.93718,1,718.82,16.76
53.56333,27.91811,1,718.78,16.74
53.90315,27.90078,1,718.75,16.72
54.23223,27.8754,1,718.71,16.7
54.56179,27.84673,1,718.67,16.68
54.86725,27.9136,1,718.63,16.66
55.14645,28.06704,1,718.59,16.64
55.42839,28.21508,1,718.56,16.62
55.69466,28.35761,1,718.52,16.6
55.95035,28.49523,1,718.48,16.58
56.22336,28.61653,1,718.44,16.56
56.45115,28.73181,1,718.41,16.54
56.67529,28.84195,1,718.37,16.52
56.87458,28.93727,1,718.33,16.5
57.05152,29.01825,1,718.29,16.48
57.20809,29.08327,1,718.25,16.46
57.26797,29.19288,1,718.22,16.44
57.23123,29.34067,1,718.18,16.42
57.19287,29.50448,1,718.14,16.4
57.15811,29.68393,1,718.1,16.38
57.14165,29.79887,1,718.06,16.36
57.14686,29.84534,1,718.03,16.34
57.16302,29.91738,1,717.99,16.32
57.19386,30.01266,1,717.95,16.3
57.23526,30.13762,1,717.91,16.28
57.28371,30.29342,1,717.87,16.26
57.35008,30.47117,1,717.83,16.24
57.43433,30.66121,1,717.8,16.22
57.50757,30.85809,1,717.76,16.2
57.61475,31.06653,1,717.72,16.18
57.7474,31.28744,1,717.68,16.16
57.913,31.43293,1,717.64,16.14
58.17672,31.53999,1,717.61,16.12
58.43753,31.62936,1,717.57,16.1
58.64326,31.70899,1,717.53,16.08
58.81983,31.81662,1,717.49,16.06
58.9755,31.9109,1,717.45,16.04
59.11173,31.99355,1,717.42,16.02
59.21528,32.07035,1,717.38,16.0
59.29036,32.1278,1,717.34,15.98
59.35335,32.1692,1,717.3,15.96
59.38685,32.20108,1,717.27,15.94
59.39707,32.25187,1,717.23,15.92
59.40666,32.29955,1,717.19,15.9
59.36628,32.36343,1,717.15,15.88
59.28612,32.43916,1,717.11,15.86
59.25513,32.49363,1,717.08,15.84
59.19701,32.56287,1,717.04,15.82
59.12881,32.64363,1,717.0,15.8
59.09779,32.71932,1,716.96,15.78
59.07844,32.74768,1,716.92,15.76
59.095,32.73221,1,716.89,15.74
59.10943,32.71477,1,716.85,15.72
59.12626,32.69257,1,716.81,15.7
59.14444,32.66822,1,716.77,15.68
59.16376,32.64024,1,716.73,15.66
59.17691,32.62334,1,716.7,15.64
59.19152,32.57843,1,716.66,15.62
59.20698,32.5375,1,716.62,15.6
59.23584,32.47897,1,716.58,15.58
59.28118,32.4198,1,716.54,15.56
59.3144,32.42172,1,716.51,15.54
59.34653,32.41515,1,716.47,15.52
59.3808,32.40492,1,716.43,15.5
59.38597,32.3626,1,716.39,15.48
59.45006,32.25516,1,716.35,15.46
59.53719,32.1244,1,716.32,15.44
59.68295,31.92919,1,716.28,15.42
59.88957,31.66942,1,716.24,15.4
60.15647,31.34423,1,716.2,15.38
60.4307,31.01031,1,716.16,15.36
60.71991,30.65401,1,716.13,15.34
61.01692,30.27551,1,716.09,15.33
61.32162,29.87237,1,716.05,15.3
61.63851,29.46349,1,716.01,15.29
61.96043,29.04132,1,715.97,15.27
62.27682,28.59097,1,715.94,15.25
62.64968,28.1582,1,715.9,15.23
63.01683,27.76208,1,715.86,15.21
63.41903,27.43014,1,715.82,15.19
63.77112,27.12861,1,715.78,15.17
64.0665,26.87362,1,715.75,15.15
64.31059,26.73489,1,715.71,15.13
64.49393,26.66032,1,715.67,15.11
64.61652,26.6499,1,715.63,15.09
64.70901,26.64668,1,715.59,15.07
64.7599,26.60937,1,715.56,15.05
64.84238,26.65431,1,715.52,15.03
64.92495,26.73264,1,715.48,15.01
64.98647,26.79919,1,715.44,14.99
65.01853,26.83101,1,715.4,14.97
65.07322,26.90492,1,715.37,14.95
65.15543,26.94037,1,715.33,14.93
65.32595,26.91921,1,715.29,14.91
65.576,26.85086,1,715.25,14.89
65.90427,26.79872,1,715.21,14.87
66.31739,26.74666,1,715.18,14.85
66.72525,26.64355,1,715.14,14.83
67.13442,26.53596,1,715.1,14.81
67.547,26.42748,1,715.06,14.79
67.9838,26.31757,1,715.02,14.77
68.45192,26.25532,1,714.99,14.75
68.87819,26.1356,1,714.95,14.73
69.29784,26.00403,1,714.91,14.71
69.72824,25.89286,1,714.87,14.69
70.17521,25.81585,1,714.84,14.67
70.60046,25.72384,1,714.8,14.65
70.94073,25.65126,1,714.76,14.63
71.19498,25.59315,1,714.72,14.61
71.36262,25.54835,1,714.68,14.59
71.44777,25.51767,1,714.65,14.57
71.4464,25.49874,1,714.61,14.55
71.44325,25.47181,1,714.57,14.53
71.44705,25.4559,1,714.53,14.51
71.40422,25.44706,1,714.49,14.49
71.34714,25.41106,1,714.46,14.47
71.30279,25.36394,1,714.42,14.45
71.26804,25.311,1,714.38,14.43
71.23246,25.25126,1,714.34,14.41
71.15991,25.13696,1,714.3,14.39
71.05296,24.97726,1,714.26,14.37
71.02924,24.82707,1,714.23,14.35
71.0245,24.72836,1,714.19,14.33
71.03981,24.68609,1,714.15,14.31
71.05961,24.71043,1,714.11,14.29
71.0836,24.69296,1,714.07,14.27
71.10259,24.75115,1,714.04,14.25
71.17198,24.59827,1,714.0,14.23
71.27509,24.42362,1,713.96,14.21
71.42597,24.25902,1,713.92,14.19
71.59605,24.11089,1,713.89,14.17
71.77432,23.96627,1,713.85,14.15
71.97013,23.83172,1,713.81,14.13
72.19594,23.70456,1,713.77,14.11
72.46245,23.62585,1,713.73,14.09
72.7761,23.60197,1,713.7,14.07
73.02438,23.57257,1,713.66,14.05
73.26579,23.48523,1,713.62,14.03
73.50593,23.42777,1,713.58,14.01
73.76773,23.32175,1,713.54,13.99
74.05626,23.26163,1,713.51,13.97
74.37317,23.09575,1,713.47,13.95
74.65627,23.18503,1,713.43,13.93
74.92114,23.26215,1,713.39,13.91
75.11878,23.28995,1,713.35,13.89
75.33426,23.32539,1,713.32,13.87
75.54161,23.3695,1,713.28,13.85
75.74279,23.42178,1,713.24,13.83
75.94143,23.48758,1,713.2,13.81
76.15861,23.5486,1,713.16,13.79
76.40467,23.57066,1,713.13,13.78
76.66266,23.51015,1,713.09,13.76
76.93479,23.37441,1,713.05,13.74
77.21821,23.12447,1,713.01,13.72
77.53303,22.83923,1,712.97,13.7
77.83153,22.47474,1,712.94,13.68
78.13619,22.12371,1,712.9,13.66
78.44684,21.70969,1,712.86,13.64
78.71742,21.27661,1,712.82,13.62
79.0739,20.84222,1,712.78,13.6
79.42786,20.38678,1,712.75,13.58
79.79652,19.89535,1,712.71,13.56
80.1717,19.36277,1,712.67,13.54
80.53012,18.78911,1,712.63,13.52
80.8808,18.18661,1,712.59,13.5
81.19512,17.59251,1,712.56,13.48
81.50305,17.03873,1,712.52,13.46
81.82562,16.51844,1,712.48,13.44
82.16007,15.98283,1,712.44,13.42
82.47949,15.42242,1,712.4,13.4
82.82273,14.8943,1,712.37,13.38
83.17883,14.34232,1,712.33,13.36
83.4555,13.88188,1,712.29,13.34
83.69405,13.53354,1,712.25,13.32
83.91479,13.20792,1,712.22,13.3
84.11164,12.91082,1,712.18,13.28
84.28534,12.64354,1,712.14,13.26
84.43695,12.38387,1,712.1,13.24
84.57154,12.17993,1,712.06,13.22
84.6867,12.0085,1,712.03,13.2
84.79833,11.86687,1,711.99,13.18
84.88312,11.76039,1,711.95,13.16
84.93006,11.69918,1,711.91,13.14
84.93143,11.68886,1,711.87,13.12
84.89097,11.72442,1,711.84,13.1
84.80523,11.814,1,711.8,13.08
84.67708,11.94837,1,711.76,13.06
84.6027,12.01813,1,711.72,13.04
84.59087,12.0118,1,711.68,13.02
84.58008,12.0197,1,711.65,13.0
84.55647,12.03647,1,711.61,12.98
84.53181,12.04816,1,711.57,12.96
84.49991,12.08237,1,711.53,12.94
84.47637,12.09093,1,711.49,12.92
84.46213,12.0845,1,711.46,12.9
84.44449,12.08544,1,711.42,12.88
84.43221,12.08814,1,711.38,12.86
84.41473,12.10061,1,711.34,12.84
84.40902,12.08854,1,711.3,12.82
84.40589,12.08445,1,711.27,12.8
84.40573,12.0643,1,711.23,12.78
84.40338,12.04306,1,711.19,12.76
84.40152,12.03318,1,711.15,12.74
84.39081,12.03679,1,711.11,12.72
84.36693,12.03825,1,711.08,12.7
84.34878,12.0234,1,711.04,12.68
84.32319,12.01226,1,711.0,12.66
84.26651,12.00548,1,710.96,12.64
84.2307,11.99486,1,710.92,12.62
84.19644,12.01179,1,710.89,12.6
84.16191,12.02358,1,710.85,12.58
84.12403,12.04044,1,710.81,12.56
84.07525,12.04542,1,710.77,12.54
84.00365,12.05099,1,710.73,12.52
83.92066,12.0457,1,710.7,12.5
83.83851,12.05509,1,710.66,12.48
83.76207,12.07229,1,710.62,12.46
83.68106,12.0715,1,710.58,12.44
83.59902,12.06796,1,710.54,12.42
83.53217,12.06172,1,710.51,12.4
83.4724,12.06656,1,710.47,12.38
83.41542,12.07483,1,710.43,12.36
83.3926,12.07876,1,710.39,12.34
83.3478,12.08615,1,710.35,12.32
83.30552,12.09466,1,710.32,12.3
83.25828,12.0975,1,710.28,12.28
83.21391,12.08135,1,710.24,12.27
83.18245,12.07965,1,710.2,12.25
83.17109,12.0959,1,710.16,12.23
83.16469,12.11764,1,710.13,12.21
83.16712,12.13533,1,710.09,12.19
83.17196,12.15769,1,710.05,12.17
83.18986,12.17473,1,710.01,12.15
83.22315,12.2031,1,709.97,12.13
83.25068,12.23284,1,709.94,12.11
83.28049,12.25152,1,709.9,12.09
83.31906,12.27403,1,709.86,12.07
