x_loc,y_loc,quarter,game_clock,shot_clock
57.85142,24.27772,1,720.0,
57.83081,24.25885,1,719.96,16.88
57.80779,24.23813,1,719.92,16.86
57.78793,24.21473,1,719.89,17.31
57.77396,24.20204,1,719.85,17.29
57.762,24.19132,1,719.81,17.27
57.75392,24.18532,1,719.77,17.25
57.75537,24.18981,1,719.73,17.23
57.76172,24.19666,1,719.7,17.21
57.77267,24.21313,1,719.66,17.19
57.78464,24.23334,1,719.62,17.17
57.80349,24.25201,1,719.58,17.15
57.83179,24.28105,1,719.54,17.13
57.8725,24.31642,1,719.51,17.11
57.9201,24.35451,1,719.47,17.09
57.97703,24.39719,1,719.43,17.07
58.03749,24.43817,1,719.39,17.05
58.10557,24.47726,1,719.35,17.03
58.1798,24.51545,1,719.32,17.01
58.25767,24.545,1,719.28,16.99
58.33976,24.56748,1,719.24,16.97
58.43084,24.58394,1,719.2,16.95
58.52776,24.59428,1,719.16,16.93
58.62832,24.5966,1,719.13,16.91
58.73767,24.59013,1,719.09,16.89
58.85198,24.57239,1,719.05,16.87
58.97759,24.56473,1,719.01,16.85
59.10624,24.55626,1,718.97,16.83
59.24188,24.54197,1,718.94,16.82
59.39006,24.533,1,718.9,16.79
59.54794,24.52749,1,718.86,16.78
59.71307,24.52954,1,718.82,16.76
59.88175,24.53848,1,718.78,16.74
60.05058,24.54542,1,718.75,16.72
60.22342,24.55525,1,718.71,16.7
60.39979,24.56894,1,718.67,16.68
60.57044,24.57752,1,718.63,16.66
60.73887,24.5828,1,718.59,16.64
60.91232,24.60005,1,718.56,16.62
61.08207,24.62395,1,718.52,16.6
61.25597,24.65716,1,718.48,16.58
61.42593,24.68258,1,718.44,16.56
61.59541,24.69762,1,718.41,16.54
61.7612,24.71306,1,718.37,16.52
61.92476,24.72353,1,718.33,16.5
62.08539,24.72814,1,718.29,16.48
62.24263,24.71905,1,718.25,16.46
62.40271,24.70698,1,718.22,16.44
62.5788,24.74816,1,718.18,16.42
62.73374,24.78772,1,718.14,16.4
62.88088,24.78156,1,718.1,16.38
63.03082,24.78442,1,718.06,16.36
63.17299,24.7727,1,718.03,16.34
63.32674,24.7776,1,717.99,16.32
63.48364,24.78896,1,717.95,16.3
63.62675,24.8476,1,717.91,16.28
63.75623,24.9542,1,717.87,16.26
63.92082,25.13464,1,717.83,16.24
64.11516,25.38646,1,717.8,16.22
64.29656,25.63799,1,717.76,16.2
64.51136,25.89023,1,717.72,16.18
64.76187,26.14238,1,717.68,16.16
64.9835,26.41511,1,717.64,16.14
65.16046,26.63049,1,717.61,16.12
65.41355,26.86426,1,717.57,16.1
65.64943,27.14031,1,717.53,16.08
65.91234,27.42651,1,717.49,16.06
66.19165,27.72997,1,717.45,16.04
66.50186,27.9723,1,717.42,16.02
66.81145,28.25021,1,717.38,16.0
67.1681,28.49961,1,717.34,15.98
67.51623,28.74455,1,717.3,15.96
67.82599,28.91544,1,717.27,15.94
68.17084,29.00231,1,717.23,15.92
68.52484,29.09348,1,717.19,15.9
68.85174,29.19882,1,717.15,15.88
69.19261,29.33811,1,717.11,15.86
69.56201,29.46195,1,717.08,15.84
69.97825,29.5927,1,717.04,15.82
70.31757,29.72784,1,717.0,15.8
70.72467,29.83879,1,716.96,15.78
71.06816,29.92612,1,716.92,15.76
71.41317,30.00815,1,716.89,15.74
71.71712,30.13317,1,716.85,15.72
72.02351,30.21641,1,716.81,15.7
72.29814,30.27922,1,716.77,15.68
72.59498,30.30992,1,716.73,15.66
72.89485,30.3461,1,716.7,15.64
73.12528,30.39714,1,716.66,15.62
73.36557,30.44809,1,716.62,15.6
73.59802,30.4899,1,716.58,15.58
73.77736,30.52043,1,716.54,15.56
73.95477,30.54735,1,716.51,15.54
74.12162,30.58109,1,716.47,15.52
74.32398,30.59245,1,716.43,15.5
74.49342,30.67816,1,716.39,15.48
74.71115,30.78435,1,716.35,15.46
74.9152,30.90236,1,716.32,15.44
75.12236,31.02549,1,716.28,15.42
75.33918,31.10261,1,716.24,15.4
75.55853,31.18778,1,716.2,15.38
75.78028,31.27298,1,716.16,15.36
76.00814,31.35937,1,716.13,15.34
76.23986,31.44586,1,716.09,15.33
76.46963,31.52989,1,716.05,15.3
76.70083,31.61452,1,716.01,15.29
76.93834,31.6716,1,715.97,15.27
77.18635,31.73837,1,715.94,15.25
77.43243,31.79177,1,715.9,15.23
77.67023,31.85054,1,715.86,15.21
77.89737,31.85172,1,715.82,15.19
78.1147,31.8481,1,715.78,15.17
78.33542,31.82905,1,715.75,15.15
78.54998,31.79545,1,715.71,15.13
78.75777,31.8108,1,715.67,15.11
78.9687,31.8255,1,715.63,15.09
79.11448,31.79202,1,715.59,15.07
79.19446,31.71707,1,715.56,15.05
79.2099,31.60236,1,715.52,15.03
79.15744,31.44939,1,715.48,15.01
79.04298,31.25813,1,715.44,14.99
78.90617,31.06933,1,715.4,14.97
78.75286,30.87426,1,715.37,14.95
78.59115,30.69676,1,715.33,14.93
78.42089,30.52609,1,715.29,14.91
78.24999,30.37253,1,715.25,14.89
78.08189,30.21961,1,715.21,14.87
77.92701,30.08333,1,715.18,14.85
77.78858,29.95773,1,715.14,14.83
77.64642,29.83725,1,715.1,14.81
77.49327,29.77848,1,715.06,14.79
77.39288,29.82153,1,715.02,14.77
77.35881,29.90264,1,714.99,14.75
77.38186,30.02716,1,714.95,14.73
77.47008,30.19049,1,714.91,14.71
77.60522,30.39852,1,714.87,14.69
77.76782,30.61597,1,714.84,14.67
77.94174,30.83089,1,714.8,14.65
78.11825,31.04302,1,714.76,14.63
78.30486,31.24258,1,714.72,14.61
78.48873,31.4526,1,714.68,14.59
78.65511,31.66922,1,714.65,14.57
78.82245,31.8391,1,714.61,14.55
78.97458,32.00397,1,714.57,14.53
79.12427,32.15956,1,714.53,14.51
79.27618,32.25183,1,714.49,14.49
79.43947,32.27821,1,714.46,14.47
79.59557,32.30797,1,714.42,14.45
79.75369,32.32314,1,714.38,14.43
79.90637,32.34323,1,714.34,14.41
80.07127,32.35513,1,714.3,14.39
80.22648,32.3673,1,714.26,14.37
80.37535,32.38084,1,714.23,14.35
80.52389,32.3873,1,714.19,14.33
80.66425,32.39526,1,714.15,14.31
80.80908,32.39339,1,714.11,14.29
80.96273,32.38249,1,714.07,14.27
81.10456,32.41587,1,714.04,14.25
81.24968,32.45237,1,714.0,14.23
81.39386,32.49135,1,713.96,14.21
81.52962,32.53142,1,713.92,14.19
81.64562,32.63097,1,713.89,14.17
81.75985,32.73395,1,713.85,14.15
81.86901,32.80316,1,713.81,14.13
81.97243,32.86558,1,713.77,14.11
82.07056,32.93001,1,713.73,14.09
82.1628,32.99479,1,713.7,14.07
82.24181,33.11138,1,713.66,14.05
82.31765,33.18124,1,713.62,14.03
82.39008,33.25843,1,713.58,14.01
82.45274,33.33776,1,713.54,13.99
82.51759,33.41943,1,713.51,13.97
82.57617,33.49629,1,713.47,13.95
82.62257,33.56848,1,713.43,13.93
82.65972,33.63621,1,713.39,13.91
82.69795,33.69594,1,713.35,13.89
82.74551,33.69815,1,713.32,13.87
82.78876,33.6908,1,713.28,13.85
82.83299,33.72616,1,713.24,13.83
82.87825,33.75925,1,713.2,13.81
82.92398,33.7874,1,713.16,13.79
82.97098,33.81677,1,713.13,13.78
83.02402,33.79243,1,713.09,13.76
83.08094,33.81237,1,713.05,13.74
83.13629,33.82418,1,713.01,13.72
83.1927,33.82591,1,712.97,13.7
83.24058,33.82526,1,712.94,13.68
83.28385,33.82504,1,712.9,13.66
83.32324,33.82372,1,712.86,13.64
83.36201,33.82123,1,712.82,13.62
83.39733,33.81924,1,712.78,13.6
83.43239,33.81623,1,712.75,13.58
83.46937,33.81249,1,712.71,13.56
83.50291,33.8067,1,712.67,13.54
83.52988,33.80439,1,712.63,13.52
83.56267,33.79586,1,712.59,13.5
83.5929,33.78425,1,712.56,13.48
83.62098,33.77238,1,712.52,13.46
83.63497,33.75924,1,712.48,13.44
83.64528,33.74479,1,712.44,13.42
83.65291,33.73311,1,712.4,13.4
83.66401,33.7169,1,712.37,13.38
83.67664,33.70138,1,712.33,13.36
83.69454,33.68885,1,712.29,13.34
83.71658,33.67766,1,712.25,13.32
83.74121,33.66863,1,712.22,13.3
83.76414,33.65898,1,712.18,13.28
83.78312,33.6518,1,712.14,13.26
83.8027,33.64958,1,712.1,13.24
83.82308,33.64965,1,712.06,13.22
83.83373,33.6608,1,712.03,13.2
83.84238,33.67221,1,711.99,13.18
83.85229,33.68226,1,711.95,13.16
83.87304,33.70094,1,711.91,13.14
83.89322,33.72437,1,711.87,13.12
83.91498,33.74618,1,711.84,13.1
83.93745,33.76663,1,711.8,13.08
83.9591,33.7858,1,711.76,13.06
83.97588,33.80651,1,711.72,13.04
83.98993,33.82648,1,711.68,13.02
84.00404,33.84635,1,711.65,13.0
84.01467,33.86596,1,711.61,12.98
84.02408,33.88502,1,711.57,12.96
84.03594,33.90114,1,711.53,12.94
84.05094,33.91145,1,711.49,12.92
84.06405,33.92117,1,711.46,12.9
84.07879,33.93137,1,711.42,12.88
84.09396,33.93901,1,711.38,12.86
84.10381,33.93523,1,711.34,12.84
84.11631,33.93339,1,711.3,12.82
84.13109,33.93078,1,711.27,12.8
84.1414,33.93734,1,711.23,12.78
84.15699,33.94314,1,711.19,12.76
84.17267,33.94557,1,711.15,12.74
84.19325,33.94313,1,711.11,12.72
84.21103,33.94221,1,711.08,12.7
84.23414,33.94334,1,711.04,12.68
84.2601,33.94078,1,711.0,12.66
84.28848,33.92914,1,710.96,12.64
84.31922,33.91078,1,710.92,12.62
84.34461,33.93849,1,710.89,12.6
84.36855,33.96538,1,710.85,12.58
84.38974,33.97996,1,710.81,12.56
84.40105,33.9927,1,710.77,12.54
84.40521,33.99882,1,710.73,12.52
84.38543,33.99834,1,710.7,12.5
84.3643,33.94516,1,710.66,12.48
84.327,33.86693,1,710.62,12.46
84.29432,33.78099,1,710.58,12.44
84.23144,33.66913,1,710.54,12.42
84.17931,33.5855,1,710.51,12.4
84.1439,33.50699,1,710.47,12.38
84.0963,33.42143,1,710.43,12.36
84.03206,33.33295,1,710.39,12.34
83.96501,33.23075,1,710.35,12.32
83.86523,33.07336,1,710.32,12.3
83.72439,32.90999,1,710.28,12.28
83.59262,32.76197,1,710.24,12.27
83.46693,32.61492,1,710.2,12.25
83.3422,32.46602,1,710.16,12.23
83.2603,32.36309,1,710.13,12.21
83.18228,32.31162,1,710.09,12.19
83.07116,32.25627,1,710.05,12.17
82.94545,32.27432,1,710.01,12.15
82.82688,32.32702,1,709.97,12.13
82.69168,32.35025,1,709.94,12.11
82.52468,32.36506,1,709.9,12.09
82.30946,32.39741,1,709.86,12.07
82.09788,32.43258,1,709.82,12.05
81.87715,32.51757,1,709.78,12.03
81.68914,32.59614,1,709.75,12.01
81.57264,32.6751,1,709.71,11.99
81.41723,32.7585,1,709.67,11.97
81.245,32.84443,1,709.63,11.95
81.06662,32.93413,1,709.6,11.93
80.85446,32.98541,1,709.56,11.91
80.6281,33.03306,1,709.52,11.89
80.43478,33.11162,1,709.48,11.87
80.23778,33.12119,1,709.44,11.85
80.04831,33.12596,1,709.41,11.83
79.85594,33.12836,1,709.37,11.81
79.66532,33.13531,1,709.33,11.79
79.49908,33.18423,1,709.29,11.77
79.33933,33.25053,1,709.25,11.75
79.19908,33.23911,1,709.22,11.73
79.06207,33.23782,1,709.18,11.71
78.88761,33.2462,1,709.14,11.69
78.73773,33.25183,1,709.1,11.67
78.63677,33.22031,1,709.06,11.65
78.53591,33.1752,1,709.03,11.63
78.44935,33.13024,1,708.99,11.61
78.36952,33.08241,1,708.95,11.59
78.30163,33.03726,1,708.91,11.57
78.24022,32.99504,1,708.87,11.55
78.16113,32.99419,1,708.84,11.53
78.08937,32.99441,1,708.8,11.51
78.05961,32.95581,1,708.76,11.49
78.0497,32.86075,1,708.72,11.47
78.01915,32.79911,1,708.68,11.45
77.97638,32.7862,1,708.65,11.43
77.961,32.73929,1,708.61,11.41
77.925,32.72473,1,708.57,11.39
77.89333,32.70827,1,708.53,11.37
77.82709,32.73273,1,708.49,11.35
77.77056,32.76876,1,708.46,11.33
77.71078,32.8056,1,708.42,11.31
77.6506,32.84484,1,708.38,11.29
77.58905,32.87903,1,708.34,11.27
77.53252,32.91638,1,708.3,11.25
77.4996,32.91349,1,708.27,11.23
77.46771,32.91337,1,708.23,11.21
77.40321,32.94925,1,708.19,11.19
77.35261,32.99093,1,708.15,11.17
77.32161,32.98933,1,708.11,11.15
77.2885,32.98937,1,708.08,11.13
77.23253,33.02714,1,708.04,11.11
77.20453,33.03031,1,708.0,11.09
77.17771,33.03087,1,707.96,11.07
77.15857,33.02899,1,707.92,11.05
77.14168,33.02566,1,707.89,11.03
77.12586,33.02,1,707.85,11.01
77.11796,33.00773,1,707.81,10.99
77.11019,32.99629,1,707.77,10.97
77.10586,32.98269,1,707.73,10.95
77.10309,32.96429,1,707.7,10.93
77.10177,32.93955,1,707.66,10.91
77.10075,32.91142,1,707.62,10.89
77.09952,32.8874,1,707.58,10.87
77.09728,32.85812,1,707.55,10.86
77.09553,32.82674,1,707.51,10.83
77.09106,32.79239,1,707.47,10.81
77.0785,32.7549,1,707.43,10.8
77.0642,32.71891,1,707.39,10.78
77.04201,32.68076,1,707.36,10.76
77.01333,32.64409,1,707.32,10.74
76.98094,32.61004,1,707.28,10.72
76.9402,32.57719,1,707.24,10.7
76.8915,32.54315,1,707.2,10.68
76.8373,32.50651,1,707.16,10.66
76.78128,32.46782,1,707.13,10.64
76.71875,32.43063,1,707.09,10.62
76.64835,32.3942,1,707.05,10.6
76.57284,32.34509,1,707.01,10.58
76.49435,32.29612,1,706.98,10.56
76.41758,32.24106,1,706.94,10.54
76.34053,32.19088,1,706.9,10.52
76.27211,32.13618,1,706.86,10.5
76.20605,32.082,1,706.82,10.48
