x_loc,y_loc,quarter,game_clock,shot_clock
48.71021,16.45969,1,720.0,
48.74168,16.45979,1,719.96,16.88
48.76198,16.47995,1,719.92,16.86
48.77956,16.50076,1,719.89,17.31
48.77965,16.53742,1,719.85,17.29
48.76735,16.58578,1,719.81,17.27
48.74343,16.61772,1,719.77,17.25
48.69487,16.66818,1,719.73,17.23
48.64418,16.7116,1,719.7,17.21
48.58133,16.76763,1,719.66,17.19
48.50595,16.82427,1,719.62,17.17
48.41505,16.8854,1,719.58,17.15
48.31232,16.94023,1,719.54,17.13
48.19956,17.0016,1,719.51,17.11
47.95304,17.04348,1,719.47,17.09
47.80636,17.09576,1,719.43,17.07
47.64839,17.14908,1,719.39,17.05
47.5014,17.18811,1,719.35,17.03
47.36432,17.23931,1,719.32,17.01
47.2389,17.28716,1,719.28,16.99
47.12189,17.34701,1,719.24,16.97
47.02832,17.42325,1,719.2,16.95
46.94518,17.51364,1,719.16,16.93
46.8748,17.62098,1,719.13,16.91
46.81776,17.72664,1,719.09,16.89
46.78002,17.83651,1,719.05,16.87
46.77248,17.94586,1,719.01,16.85
46.77203,18.07109,1,718.97,16.83
46.78991,18.19909,1,718.94,16.82
46.95816,18.3494,1,718.9,16.79
47.0387,18.49709,1,718.86,16.78
47.13653,18.64776,1,718.82,16.76
47.24089,18.8004,1,718.78,16.74
47.35038,18.95001,1,718.75,16.72
47.47203,19.1062,1,718.71,16.7
47.61242,19.2604,1,718.67,16.68
47.76384,19.40972,1,718.63,16.66
47.92754,19.55542,1,718.59,16.64
48.10471,19.69742,1,718.56,16.62
48.29855,19.84814,1,718.52,16.6
48.49929,20.00741,1,718.48,16.58
48.69095,20.17067,1,718.44,16.56
48.89361,20.32833,1,718.41,16.54
49.10235,20.4905,1,718.37,16.52
49.30052,20.65765,1,718.33,16.5
49.50743,20.82392,1,718.29,16.48
49.72854,20.99799,1,718.25,16.46
49.95906,21.16649,1,718.22,16.44
50.19283,21.33509,1,718.18,16.42
50.42679,21.4935,1,718.14,16.4
50.65534,21.64854,1,718.1,16.38
50.87863,21.8155,1,718.06,16.36
51.11655,21.98018,1,718.03,16.34
51.35619,22.15663,1,717.99,16.32
51.58646,22.32798,1,717.95,16.3
51.81054,22.48346,1,717.91,16.28
52.0434,22.63726,1,717.87,16.26
52.28069,22.78819,1,717.83,16.24
52.51939,22.92185,1,717.8,16.22
52.75227,23.04444,1,717.76,16.2
53.02552,23.11937,1,717.72,16.18
53.26224,23.23293,1,717.68,16.16
53.44688,23.36173,1,717.64,16.14
53.65386,23.50145,1,717.61,16.12
53.85638,23.63394,1,717.57,16.1
54.00622,23.73734,1,717.53,16.08
54.15428,23.81174,1,717.49,16.06
54.34741,23.89509,1,717.45,16.04
54.52067,23.96733,1,717.42,16.02
54.68346,24.02455,1,717.38,16.0
54.79673,24.05446,1,717.34,15.98
55.07423,24.13717,1,717.3,15.96
55.39671,24.26253,1,717.27,15.94
55.76176,24.44091,1,717.23,15.92
56.18783,24.67001,1,717.19,15.9
56.61844,24.98585,1,717.15,15.88
57.08376,25.22777,1,717.11,15.86
57.59644,25.42932,1,717.08,15.84
58.07156,25.64205,1,717.04,15.82
58.57498,25.82431,1,717.0,15.8
59.14914,25.9959,1,716.96,15.78
59.70939,26.18143,1,716.92,15.76
60.19375,26.35252,1,716.89,15.74
60.73162,26.46849,1,716.85,15.72
61.32147,26.54419,1,716.81,15.7
61.99038,26.71613,1,716.77,15.68
62.51958,26.89841,1,716.73,15.66
62.95985,26.98529,1,716.7,15.64
63.25819,27.00338,1,716.66,15.62
63.57205,26.97111,1,716.62,15.6
63.81933,26.844,1,716.58,15.58
64.04272,26.69527,1,716.54,15.56
64.26022,26.5655,1,716.51,15.54
64.53622,26.38302,1,716.47,15.52
64.83814,26.21059,1,716.43,15.5
65.14653,26.08705,1,716.39,15.48
65.48546,25.91866,1,716.35,15.46
65.85493,25.7054,1,716.32,15.44
66.18705,25.51051,1,716.28,15.42
66.49204,25.34965,1,716.24,15.4
66.77274,25.10892,1,716.2,15.38
67.03616,24.78311,1,716.16,15.36
67.36423,24.46289,1,716.13,15.34
67.77472,24.14088,1,716.09,15.33
68.12833,23.80788,1,716.05,15.3
68.50239,23.50739,1,716.01,15.29
68.89864,23.23303,1,715.97,15.27
69.31579,22.94877,1,715.94,15.25
69.69627,22.67671,1,715.9,15.23
70.03451,22.40904,1,715.86,15.21
70.34215,22.11207,1,715.82,15.19
70.63725,21.84753,1,715.78,15.17
70.92218,21.6158,1,715.75,15.15
71.20745,21.40211,1,715.71,15.13
71.48195,21.18982,1,715.67,15.11
71.75641,20.9228,1,715.63,15.09
72.02757,20.65331,1,715.59,15.07
72.28014,20.46353,1,715.56,15.05
72.54783,20.2805,1,715.52,15.03
72.80445,20.10039,1,715.48,15.01
73.05836,19.92346,1,715.44,14.99
73.30404,19.74783,1,715.4,14.97
73.53838,19.57081,1,715.37,14.95
73.74417,19.3836,1,715.33,14.93
73.96979,19.21681,1,715.29,14.91
74.19736,19.05294,1,715.25,14.89
74.4199,18.88917,1,715.21,14.87
74.63773,18.72993,1,715.18,14.85
74.83942,18.57336,1,715.14,14.83
75.02909,18.42874,1,715.1,14.81
75.19948,18.34366,1,715.06,14.79
75.34083,18.26399,1,715.02,14.77
75.46374,18.14705,1,714.99,14.75
75.55985,18.05204,1,714.95,14.73
75.64789,17.96018,1,714.91,14.71
75.72485,17.90404,1,714.87,14.69
75.81138,17.83954,1,714.84,14.67
75.88015,17.7864,1,714.8,14.65
75.94231,17.74202,1,714.76,14.63
75.95793,17.73087,1,714.72,14.61
75.93885,17.72977,1,714.68,14.59
75.92801,17.79037,1,714.65,14.57
75.88705,17.84822,1,714.61,14.55
75.79482,17.90248,1,714.57,14.53
75.68183,17.98601,1,714.53,14.51
75.57501,18.08221,1,714.49,14.49
75.45202,18.18389,1,714.46,14.47
75.31507,18.28812,1,714.42,14.45
75.14401,18.36927,1,714.38,14.43
74.9752,18.45833,1,714.34,14.41
74.83062,18.57649,1,714.3,14.39
74.65501,18.73789,1,714.26,14.37
74.47459,18.91037,1,714.23,14.35
74.26812,19.14229,1,714.19,14.33
74.06951,19.35183,1,714.15,14.31
73.89947,19.59764,1,714.11,14.29
73.68444,19.78401,1,714.07,14.27
73.51461,20.00932,1,714.04,14.25
73.35421,20.20202,1,714.0,14.23
73.16952,20.321,1,713.96,14.21
73.04899,20.41982,1,713.92,14.19
72.94284,20.50434,1,713.89,14.17
72.83978,20.59837,1,713.85,14.15
72.78445,20.74406,1,713.81,14.13
72.73269,20.91388,1,713.77,14.11
72.66836,21.03188,1,713.73,14.09
72.62596,21.13632,1,713.7,14.07
72.59848,21.24147,1,713.66,14.05
72.61898,21.29748,1,713.62,14.03
72.6211,21.36235,1,713.58,14.01
72.63156,21.39532,1,713.54,13.99
72.67891,21.44769,1,713.51,13.97
72.70006,21.52344,1,713.47,13.95
72.76748,21.61663,1,713.43,13.93
72.86434,21.75104,1,713.39,13.91
72.87256,21.88847,1,713.35,13.89
72.86706,22.04632,1,713.32,13.87
72.85162,22.19168,1,713.28,13.85
72.81433,22.30783,1,713.24,13.83
72.75537,22.40412,1,713.2,13.81
72.66391,22.50048,1,713.16,13.79
72.54964,22.61108,1,713.13,13.78
72.41447,22.70947,1,713.09,13.76
72.25666,22.81563,1,713.05,13.74
72.1024,22.90857,1,713.01,13.72
71.90088,22.98185,1,712.97,13.7
71.66568,23.05327,1,712.94,13.68
71.41041,23.09337,1,712.9,13.66
71.12444,23.18466,1,712.86,13.64
70.83951,23.28727,1,712.82,13.62
70.52731,23.38075,1,712.78,13.6
70.19101,23.45612,1,712.75,13.58
69.86052,23.5275,1,712.71,13.56
69.5298,23.59826,1,712.67,13.54
69.20765,23.66083,1,712.63,13.52
68.84727,23.69668,1,712.59,13.5
68.52132,23.747,1,712.56,13.48
68.20344,23.7916,1,712.52,13.46
67.88809,23.83086,1,712.48,13.44
67.57429,23.84289,1,712.44,13.42
67.28396,23.83362,1,712.4,13.4
67.0092,23.77766,1,712.37,13.38
66.75053,23.68172,1,712.33,13.36
66.50349,23.59523,1,712.29,13.34
66.26545,23.5167,1,712.25,13.32
66.07184,23.49279,1,712.22,13.3
65.91683,23.47915,1,712.18,13.28
65.7694,23.45137,1,712.14,13.26
65.62456,23.39354,1,712.1,13.24
65.48497,23.35103,1,712.06,13.22
65.41898,23.3488,1,712.03,13.2
65.32293,23.32654,1,711.99,13.18
65.17064,23.33708,1,711.95,13.16
65.08899,23.31765,1,711.91,13.14
64.97018,23.31652,1,711.87,13.12
64.84277,23.36256,1,711.84,13.1
64.7025,23.49491,1,711.8,13.08
64.54387,23.69368,1,711.76,13.06
64.37594,23.90682,1,711.72,13.04
64.18643,24.15196,1,711.68,13.02
63.97733,24.41059,1,711.65,13.0
63.76792,24.67651,1,711.61,12.98
63.49754,25.00076,1,711.57,12.96
63.24298,25.36485,1,711.53,12.94
62.95801,25.70399,1,711.49,12.92
62.67582,26.0336,1,711.46,12.9
62.38038,26.34403,1,711.42,12.88
62.15921,26.60483,1,711.38,12.86
61.87024,26.9014,1,711.34,12.84
61.62559,27.20492,1,711.3,12.82
61.34909,27.66186,1,711.27,12.8
61.10936,28.01715,1,711.23,12.78
60.9064,28.27081,1,711.19,12.76
60.7402,28.42282,1,711.15,12.74
60.59409,28.5294,1,711.11,12.72
60.42258,28.62029,1,711.08,12.7
60.3009,28.6882,1,711.04,12.68
60.24705,28.71269,1,711.0,12.66
60.12915,28.74963,1,710.96,12.64
60.0748,28.86964,1,710.92,12.62
60.00366,28.99816,1,710.89,12.6
59.95243,29.1341,1,710.85,12.58
59.89353,29.27662,1,710.81,12.56
59.85032,29.40641,1,710.77,12.54
59.8228,29.52348,1,710.73,12.52
59.80968,29.51389,1,710.7,12.5
59.77991,29.55589,1,710.66,12.48
59.74169,29.6478,1,710.62,12.46
59.69604,29.7862,1,710.58,12.44
59.61842,29.8831,1,710.54,12.42
59.5543,29.90876,1,710.51,12.4
59.46092,29.95484,1,710.47,12.38
59.38052,29.99805,1,710.43,12.36
59.41047,29.96467,1,710.39,12.34
59.45485,29.81161,1,710.35,12.32
59.49631,29.63995,1,710.32,12.3
59.61117,29.51393,1,710.28,12.28
59.71441,29.39848,1,710.24,12.27
59.77369,29.27063,1,710.2,12.25
59.87375,29.15062,1,710.16,12.23
59.97415,28.97183,1,710.13,12.21
60.06734,28.76611,1,710.09,12.19
60.15983,28.55949,1,710.05,12.17
60.24523,28.2958,1,710.01,12.15
60.35338,28.11569,1,709.97,12.13
60.48243,27.97518,1,709.94,12.11
60.60616,27.82998,1,709.9,12.09
60.71595,27.67908,1,709.86,12.07
60.78498,27.57191,1,709.82,12.05
60.80068,27.51645,1,709.78,12.03
60.81926,27.46291,1,709.75,12.01
60.77544,27.35472,1,709.71,11.99
60.66897,27.26257,1,709.67,11.97
60.60859,27.18167,1,709.63,11.95
60.49667,27.09745,1,709.6,11.93
60.41933,27.02797,1,709.56,11.91
60.35693,26.99672,1,709.52,11.89
60.28205,26.95952,1,709.48,11.87
60.25586,26.94512,1,709.44,11.85
60.19403,26.92856,1,709.41,11.83
60.1389,26.82832,1,709.37,11.81
60.0708,26.65488,1,709.33,11.79
60.00646,26.49924,1,709.29,11.77
