x_loc,y_loc,quarter,game_clock,shot_clock
0,0,1,720.0,
0,0,1,719.96,16.88
0,0,1,719.92,16.86
0,0,1,719.89,17.31
0,0,1,719.85,17.29
0,0,1,719.81,17.27
0,0,1,719.77,17.25
0,0,1,719.73,17.23
0,0,1,719.7,17.21
0,0,1,719.66,17.19
0,0,1,719.62,17.17
0,0,1,719.58,17.15
0,0,1,719.54,17.13
0,0,1,719.51,17.11
0,0,1,719.47,17.09
0,0,1,719.43,17.07
0,0,1,719.39,17.05
0,0,1,719.35,17.03
0,0,1,719.32,17.01
0,0,1,719.28,16.99
0,0,1,719.24,16.97
0,0,1,719.2,16.95
0,0,1,719.16,16.93
0,0,1,719.13,16.91
0,0,1,719.09,16.89
0,0,1,719.05,16.87
0,0,1,719.01,16.85
0,0,1,718.97,16.83
0,0,1,718.94,16.82
0,0,1,718.9,16.79
0,0,1,718.86,16.78
0,0,1,718.82,16.76
0,0,1,718.78,16.74
0,0,1,718.75,16.72
0,0,1,718.71,16.7
0,0,1,718.67,16.68
0,0,1,718.63,16.66
0,0,1,718.59,16.64
0,0,1,718.56,16.62
0,0,1,718.52,16.6
0,0,1,718.48,16.58
0,0,1,718.44,16.56
0,0,1,718.41,16.54
0,0,1,718.37,16.52
0,0,1,718.33,16.5
0,0,1,718.29,16.48
0,0,1,718.25,16.46
0,0,1,718.22,16.44
0,0,1,718.18,16.42
0,0,1,718.14,16.4
0,0,1,718.1,16.38
0,0,1,718.06,16.36
0,0,1,718.03,16.34
0,0,1,717.99,16.32
0,0,1,717.95,16.3
0,0,1,717.91,16.28
0,0,1,717.87,16.26
0,0,1,717.83,16.24
0,0,1,717.8,16.22
0,0,1,717.76,16.2
0,0,1,717.72,16.18
0,0,1,717.68,16.16
0,0,1,717.64,16.14
0,0,1,717.61,16.12
0,0,1,717.57,16.1
0,0,1,717.53,16.08
0,0,1,717.49,16.06
0,0,1,717.45,16.04
0,0,1,717.42,16.02
0,0,1,717.38,16.0
0,0,1,717.34,15.98
0,0,1,717.3,15.96
0,0,1,717.27,15.94
0,0,1,717.23,15.92
0,0,1,717.19,15.9
0,0,1,717.15,15.88
0,0,1,717.11,15.86
0,0,1,717.08,15.84
0,0,1,717.04,15.82
0,0,1,717.0,15.8
0,0,1,716.96,15.78
0,0,1,716.92,15.76
0,0,1,716.89,15.74
0,0,1,716.85,15.72
0,0,1,716.81,15.7
0,0,1,716.77,15.68
0,0,1,716.73,15.66
0,0,1,716.7,15.64
0,0,1,716.66,15.62
0,0,1,716.62,15.6
0,0,1,716.58,15.58
0,0,1,716.54,15.56
0,0,1,716.51,15.54
0,0,1,716.47,15.52
0,0,1,716.43,15.5
0,0,1,716.39,15.48
0,0,1,716.35,15.46
0,0,1,716.32,15.44
0,0,1,716.28,15.42
0,0,1,716.24,15.4
0,0,1,716.2,15.38
0,0,1,716.16,15.36
0,0,1,716.13,15.34
0,0,1,716.09,15.33
0,0,1,716.05,15.3
0,0,1,716.01,15.29
0,0,1,715.97,15.27
0,0,1,715.94,15.25
0,0,1,715.9,15.23
0,0,1,715.86,15.21
0,0,1,715.82,15.19
0,0,1,715.78,15.17
0,0,1,715.75,15.15
0,0,1,715.71,15.13
0,0,1,715.67,15.11
0,0,1,715.63,15.09
0,0,1,715.59,15.07
0,0,1,715.56,15.05
0,0,1,715.52,15.03
0,0,1,715.48,15.01
0,0,1,715.44,14.99
0,0,1,715.4,14.97
0,0,1,715.37,14.95
0,0,1,715.33,14.93
0,0,1,715.29,14.91
0,0,1,715.25,14.89
0,0,1,715.21,14.87
0,0,1,715.18,14.85
0,0,1,715.14,14.83
0,0,1,715.1,14.81
0,0,1,715.06,14.79
0,0,1,715.02,14.77
0,0,1,714.99,14.75
0,0,1,714.95,14.73
0,0,1,714.91,14.71
0,0,1,714.87,14.69
0,0,1,714.84,14.67
0,0,1,714.8,14.65
0,0,1,714.76,14.63
0,0,1,714.72,14.61
0,0,1,714.68,14.59
0,0,1,714.65,14.57
0,0,1,714.61,14.55
0,0,1,714.57,14.53
0,0,1,714.53,14.51
0,0,1,714.49,14.49
0,0,1,714.46,14.47
0,0,1,714.42,14.45
0,0,1,714.38,14.43
0,0,1,714.34,14.41
0,0,1,714.3,14.39
0,0,1,714.26,14.37
0,0,1,714.23,14.35
0,0,1,714.19,14.33
0,0,1,714.15,14.31
0,0,1,714.11,14.29
0,0,1,714.07,14.27
0,0,1,714.04,14.25
0,0,1,714.0,14.23
0,0,1,713.96,14.21
0,0,1,713.92,14.19
0,0,1,713.89,14.17
0,0,1,713.85,14.15
0,0,1,713.81,14.13
0,0,1,713.77,14.11
0,0,1,713.73,14.09
0,0,1,713.7,14.07
0,0,1,713.66,14.05
0,0,1,713.62,14.03
0,0,1,713.58,14.01
0,0,1,713.54,13.99
0,0,1,713.51,13.97
0,0,1,713.47,13.95
0,0,1,713.43,13.93
0,0,1,713.39,13.91
0,0,1,713.35,13.89
0,0,1,713.32,13.87
0,0,1,713.28,13.85
0,0,1,713.24,13.83
0,0,1,713.2,13.81
0,0,1,713.16,13.79
0,0,1,713.13,13.78
0,0,1,713.09,13.76
0,0,1,713.05,13.74
0,0,1,713.01,13.72
0,0,1,712.97,13.7
0,0,1,712.94,13.68
0,0,1,712.9,13.66
0,0,1,712.86,13.64
0,0,1,712.82,13.62
0,0,1,712.78,13.6
0,0,1,712.75,13.58
0,0,1,712.71,13.56
0,0,1,712.67,13.54
0,0,1,712.63,13.52
0,0,1,712.59,13.5
0,0,1,712.56,13.48
0,0,1,712.52,13.46
0,0,1,712.48,13.44
0,0,1,712.44,13.42
0,0,1,712.4,13.4
0,0,1,712.37,13.38
0,0,1,712.33,13.36
0,0,1,712.29,13.34
0,0,1,712.25,13.32
0,0,1,712.22,13.3
0,0,1,712.18,13.28
0,0,1,712.14,13.26
0,0,1,712.1,13.24
0,0,1,712.06,13.22
0,0,1,712.03,13.2
0,0,1,711.99,13.18
0,0,1,711.95,13.16
0,0,1,711.91,13.14
0,0,1,711.87,13.12
0,0,1,711.84,13.1
0,0,1,711.8,13.08
0,0,1,711.76,13.06
0,0,1,711.72,13.04
0,0,1,711.68,13.02
0,0,1,711.65,13.0
0,0,1,711.61,12.98
0,0,1,711.57,12.96
0,0,1,711.53,12.94
0,0,1,711.49,12.92
0,0,1,711.46,12.9
0,0,1,711.42,12.88
0,0,1,711.38,12.86
0,0,1,711.34,12.84
0,0,1,711.3,12.82
0,0,1,711.27,12.8
0,0,1,711.23,12.78
0,0,1,711.19,12.76
0,0,1,711.15,12.74
0,0,1,711.11,12.72
0,0,1,711.08,12.7
0,0,1,711.04,12.68
0,0,1,711.0,12.66
0,0,1,710.96,12.64
0,0,1,710.92,12.62
0,0,1,710.89,12.6
0,0,1,710.85,12.58
0,0,1,710.81,12.56
0,0,1,710.77,12.54
0,0,1,710.73,12.52
0,0,1,710.7,12.5
0,0,1,710.66,12.48
0,0,1,710.62,12.46
0,0,1,710.58,12.44
0,0,1,710.54,12.42
0,0,1,710.51,12.4
0,0,1,710.47,12.38
0,0,1,710.43,12.36
0,0,1,710.39,12.34
0,0,1,710.35,12.32
0,0,1,710.32,12.3
0,0,1,710.28,12.28
0,0,1,710.24,12.27
0,0,1,710.2,12.25
0,0,1,710.16,12.23
0,0,1,710.13,12.21
0,0,1,710.09,12.19
0,0,1,710.05,12.17
0,0,1,710.01,12.15
0,0,1,709.97,12.13
0,0,1,709.94,12.11
0,0,1,709.9,12.09
0,0,1,709.86,12.07
0,0,1,709.82,12.05
0,0,1,709.78,12.03
0,0,1,709.75,12.01
0,0,1,709.71,11.99
0,0,1,709.67,11.97
0,0,1,709.63,11.95
0,0,1,709.6,11.93
0,0,1,709.56,11.91
0,0,1,709.52,11.89
0,0,1,709.48,11.87
0,0,1,709.44,11.85
0,0,1,709.41,11.83
0,0,1,709.37,11.81
0,0,1,709.33,11.79
0,0,1,709.29,11.77
0,0,1,709.25,11.75
0,0,1,709.22,11.73
0,0,1,709.18,11.71
0,0,1,709.14,11.69
0,0,1,709.1,11.67
0,0,1,709.06,11.65
0,0,1,709.03,11.63
0,0,1,708.99,11.61
0,0,1,708.95,11.59
0,0,1,708.91,11.57
0,0,1,708.87,11.55
0,0,1,708.84,11.53
0,0,1,708.8,11.51
0,0,1,708.76,11.49
0,0,1,708.72,11.47
0,0,1,708.68,11.45
0,0,1,708.65,11.43
0,0,1,708.61,11.41
0,0,1,708.57,11.39
0,0,1,708.53,11.37
0,0,1,708.49,11.35
0,0,1,708.46,11.33
0,0,1,708.42,11.31
0,0,1,708.38,11.29
0,0,1,708.34,11.27
0,0,1,708.3,11.25
0,0,1,708.27,11.23
0,0,1,708.23,11.21
0,0,1,708.19,11.19
0,0,1,708.15,11.17
0,0,1,708.11,11.15
0,0,1,708.08,11.13
0,0,1,708.04,11.11
0,0,1,708.0,11.09
0,0,1,707.96,11.07
0,0,1,707.92,11.05
0,0,1,707.89,11.03
0,0,1,707.85,11.01
0,0,1,707.81,10.99
0,0,1,707.77,10.97
0,0,1,707.73,10.95
0,0,1,707.7,10.93
0,0,1,707.66,10.91
0,0,1,707.62,10.89
0,0,1,707.58,10.87
0,0,1,707.55,10.86
0,0,1,707.51,10.83
0,0,1,707.47,10.81
0,0,1,707.43,10.8
0,0,1,707.39,10.78
0,0,1,707.36,10.76
0,0,1,707.32,10.74
0,0,1,707.28,10.72
0,0,1,707.24,10.7
0,0,1,707.2,10.68
0,0,1,707.16,10.66
0,0,1,707.13,10.64
0,0,1,707.09,10.62
0,0,1,707.05,10.6
0,0,1,707.01,10.58
0,0,1,706.98,10.56
0,0,1,706.94,10.54
0,0,1,706.9,10.52
0,0,1,706.86,10.5
0,0,1,706.82,10.48
0,0,1,706.79,10.46
0,0,1,706.75,10.44
0,0,1,706.71,10.42
0,0,1,706.67,10.4
0,0,1,706.63,10.38
0,0,1,706.6,10.36
0,0,1,706.56,10.34
0,0,1,706.52,10.32
0,0,1,706.48,10.3
0,0,1,706.44,10.28
0,0,1,706.41,10.26
0,0,1,706.37,10.24
0,0,1,706.33,10.22
0,0,1,706.29,10.2
0,0,1,706.25,10.18
0,0,1,706.22,10.16
0,0,1,706.18,10.14
0,0,1,706.14,10.12
0,0,1,706.1,10.1
0,0,1,706.06,10.08
0,0,1,706.03,10.06
0,0,1,705.99,10.04
0,0,1,705.95,10.02
0,0,1,705.91,10.0
0,0,1,705.87,9.98
0,0,1,705.84,9.96
0,0,1,705.8,9.94
0,0,1,705.76,9.92
0,0,1,705.72,9.9
0,0,1,705.68,9.88
0,0,1,705.65,9.86
0,0,1,705.61,9.84
0,0,1,705.57,9.82
0,0,1,705.53,9.8
0,0,1,705.5,9.78
0,0,1,705.46,9.76
0,0,1,705.42,9.74
0,0,1,705.38,9.72
0,0,1,705.34,9.7
0,0,1,705.31,9.68
0,0,1,705.27,9.66
0,0,1,705.23,9.64
0,0,1,705.19,9.62
0,0,1,705.15,9.6
0,0,1,705.12,9.58
0,0,1,705.08,9.56
0,0,1,705.04,9.54
0,0,1,705.0,9.52
0,0,1,704.96,9.5
0,0,1,704.92,9.48
0,0,1,704.89,9.46
0,0,1,704.85,9.44
0,0,1,704.81,9.42
0,0,1,704.77,9.4
0,0,1,704.73,9.38
0,0,1,704.7,9.37
0,0,1,704.66,9.34
0,0,1,704.62,9.32
0,0,1,704.58,9.31
0,0,1,704.54,9.29
0,0,1,704.51,9.27
0,0,1,704.47,9.25
0,0,1,704.43,9.23
0,0,1,704.39,9.21
0,0,1,704.36,9.19
0,0,1,704.32,9.17
0,0,1,704.28,9.15
0,0,1,704.24,9.13
0,0,1,704.2,9.11
0,0,1,704.17,9.09
0,0,1,704.13,9.07
0,0,1,704.09,9.05
0,0,1,704.05,9.03
0,0,1,704.01,9.01
0,0,1,704.0,
0,0,1,704.06,23.98
0,0,1,704.02,23.93
0,0,1,703.98,23.89
0,0,1,703.94,23.85
0,0,1,703.9,23.81
0,0,1,703.86,23.76
0,0,1,703.82,23.72
0,0,1,703.78,23.68
0,0,1,703.74,23.63
0,0,1,703.7,23.59
0,0,1,703.66,23.55
0,0,1,703.62,23.5
0,0,1,703.58,23.46
0,0,1,703.54,23.42
0,0,1,703.5,23.37
0,0,1,703.46,23.33
0,0,1,703.42,23.29
0,0,1,703.38,23.25
