x_loc,y_loc,quarter,game_clock,shot_clock
37.38562,23.53631,1,720.0,
37.39167,23.45252,1,719.96,16.88
37.35316,23.39514,1,719.92,16.86
37.31083,23.33788,1,719.89,17.31
37.26315,23.27626,1,719.85,17.29
37.24822,23.18603,1,719.81,17.27
37.23743,23.08861,1,719.77,17.25
37.20172,23.01169,1,719.73,17.23
37.1663,22.93115,1,719.7,17.21
37.12595,22.85266,1,719.66,17.19
37.06835,22.78619,1,719.62,17.17
37.05003,22.70688,1,719.58,17.15
37.00135,22.64035,1,719.54,17.13
36.95713,22.57202,1,719.51,17.11
36.91436,22.53522,1,719.47,17.09
36.87353,22.5183,1,719.43,17.07
36.84505,22.50932,1,719.39,17.05
36.85997,22.47062,1,719.35,17.03
36.88031,22.43551,1,719.32,17.01
36.90838,22.40593,1,719.28,16.99
36.90778,22.41276,1,719.24,16.97
36.90393,22.42875,1,719.2,16.95
36.92464,22.42874,1,719.16,16.93
36.94698,22.44708,1,719.13,16.91
36.96429,22.47449,1,719.09,16.89
36.98977,22.4914,1,719.05,16.87
36.96869,22.5209,1,719.01,16.85
36.91728,22.5738,1,718.97,16.83
36.89675,22.60947,1,718.94,16.82
36.89123,22.6515,1,718.9,16.79
36.88721,22.68753,1,718.86,16.78
36.8809,22.73474,1,718.82,16.76
36.88034,22.78671,1,718.78,16.74
36.88275,22.84866,1,718.75,16.72
36.88997,22.9212,1,718.71,16.7
36.89957,22.99439,1,718.67,16.68
36.91594,23.07453,1,718.63,16.66
36.93549,23.15509,1,718.59,16.64
36.95777,23.22905,1,718.56,16.62
36.98436,23.31116,1,718.52,16.6
37.01486,23.40513,1,718.48,16.58
37.05923,23.51169,1,718.44,16.56
37.14399,23.61399,1,718.41,16.54
37.21043,23.74656,1,718.37,16.52
37.28021,23.88105,1,718.33,16.5
37.35629,24.02136,1,718.29,16.48
37.43855,24.16342,1,718.25,16.46
37.51917,24.32105,1,718.22,16.44
37.5998,24.47992,1,718.18,16.42
37.70185,24.62485,1,718.14,16.4
37.80905,24.78012,1,718.1,16.38
37.91805,24.9351,1,718.06,16.36
38.03687,25.09894,1,718.03,16.34
38.16457,25.27317,1,717.99,16.32
38.30868,25.44138,1,717.95,16.3
38.45669,25.613,1,717.91,16.28
38.61027,25.8008,1,717.87,16.26
38.77179,25.98895,1,717.83,16.24
38.94194,26.17712,1,717.8,16.22
39.10156,26.35596,1,717.76,16.2
39.25243,26.503,1,717.72,16.18
39.42592,26.67061,1,717.68,16.16
39.59038,26.8301,1,717.64,16.14
39.76768,26.98222,1,717.61,16.12
39.92025,27.13793,1,717.57,16.1
40.10594,27.32409,1,717.53,16.08
40.29577,27.49472,1,717.49,16.06
40.49276,27.66326,1,717.45,16.04
40.69519,27.84933,1,717.42,16.02
40.90101,28.0346,1,717.38,16.0
41.12504,28.22213,1,717.34,15.98
41.3579,28.38655,1,717.3,15.96
41.59161,28.54879,1,717.27,15.94
41.82545,28.69873,1,717.23,15.92
42.07396,28.86568,1,717.19,15.9
42.33474,29.07114,1,717.15,15.88
42.58683,29.25386,1,717.11,15.86
42.87116,29.43759,1,717.08,15.84
43.1617,29.62684,1,717.04,15.82
43.46753,29.83141,1,717.0,15.8
43.7451,30.00527,1,716.96,15.78
44.02543,30.20197,1,716.92,15.76
44.30816,30.38621,1,716.89,15.74
44.60193,30.53025,1,716.85,15.72
44.90584,30.67472,1,716.81,15.7
45.19058,30.87105,1,716.77,15.68
45.45969,31.08169,1,716.73,15.66
45.7246,31.28392,1,716.7,15.64
45.97952,31.49507,1,716.66,15.62
46.23449,31.7011,1,716.62,15.6
46.48311,31.89568,1,716.58,15.58
46.78051,32.09371,1,716.54,15.56
47.07377,32.29797,1,716.51,15.54
47.38081,32.49883,1,716.47,15.52
47.71264,32.7017,1,716.43,15.5
48.04993,32.90284,1,716.39,15.48
48.39591,33.09844,1,716.35,15.46
48.75193,33.31334,1,716.32,15.44
49.08412,33.55371,1,716.28,15.42
49.39744,33.79572,1,716.24,15.4
49.71822,33.9705,1,716.2,15.38
50.05524,34.13844,1,716.16,15.36
50.41009,34.32125,1,716.13,15.34
50.7871,34.50247,1,716.09,15.33
51.19875,34.69613,1,716.05,15.3
51.62946,34.90815,1,716.01,15.29
52.01164,35.10904,1,715.97,15.27
52.39114,35.29442,1,715.94,15.25
52.76027,35.49067,1,715.9,15.23
53.09143,35.66615,1,715.86,15.21
53.43612,35.85174,1,715.82,15.19
53.76984,36.03797,1,715.78,15.17
54.11543,36.2229,1,715.75,15.15
54.48475,36.40551,1,715.71,15.13
54.85958,36.59626,1,715.67,15.11
55.26761,36.80077,1,715.63,15.09
55.67433,37.00886,1,715.59,15.07
56.07363,37.20017,1,715.56,15.05
56.46948,37.39178,1,715.52,15.03
56.80039,37.56296,1,715.48,15.01
57.12823,37.72663,1,715.44,14.99
57.45201,37.88798,1,715.4,14.97
57.77638,38.04485,1,715.37,14.95
58.10267,38.21247,1,715.33,14.93
58.4636,38.45146,1,715.29,14.91
58.79911,38.64166,1,715.25,14.89
59.16554,38.85608,1,715.21,14.87
59.53646,39.07578,1,715.18,14.85
59.8752,39.22717,1,715.14,14.83
60.21495,39.37129,1,715.1,14.81
60.5236,39.50378,1,715.06,14.79
60.83429,39.63897,1,715.02,14.77
61.14289,39.77283,1,714.99,14.75
61.45791,39.91459,1,714.95,14.73
61.81226,40.06033,1,714.91,14.71
62.16541,40.20887,1,714.87,14.69
62.52005,40.35923,1,714.84,14.67
62.87342,40.51997,1,714.8,14.65
63.21411,40.65874,1,714.76,14.63
63.5281,40.74086,1,714.72,14.61
63.86418,40.85168,1,714.68,14.59
64.18573,40.9327,1,714.65,14.57
64.46322,40.99015,1,714.61,14.55
64.75385,41.1184,1,714.57,14.53
65.04931,41.24232,1,714.53,14.51
65.34608,41.36113,1,714.49,14.49
65.64513,41.46222,1,714.46,14.47
65.93242,41.56276,1,714.42,14.45
66.20609,41.65823,1,714.38,14.43
66.4715,41.74502,1,714.34,14.41
66.72616,41.81871,1,714.3,14.39
66.98525,41.88335,1,714.26,14.37
67.23981,41.93564,1,714.23,14.35
67.49282,41.98412,1,714.19,14.33
67.73971,42.02264,1,714.15,14.31
67.96724,42.05959,1,714.11,14.29
68.18403,42.09871,1,714.07,14.27
68.40703,42.1456,1,714.04,14.25
68.622,42.16986,1,714.0,14.23
68.82495,42.18722,1,713.96,14.21
69.01573,42.20868,1,713.92,14.19
69.19342,42.23535,1,713.89,14.17
69.36869,42.25295,1,713.85,14.15
69.53864,42.2621,1,713.81,14.13
69.70167,42.26612,1,713.77,14.11
69.8634,42.27068,1,713.73,14.09
70.01071,42.27977,1,713.7,14.07
70.15627,42.2936,1,713.66,14.05
70.30938,42.31623,1,713.62,14.03
70.45624,42.32514,1,713.58,14.01
70.61238,42.34585,1,713.54,13.99
70.75415,42.3292,1,713.51,13.97
70.89662,42.30018,1,713.47,13.95
71.04449,42.27258,1,713.43,13.93
71.19125,42.24369,1,713.39,13.91
71.33613,42.24346,1,713.35,13.89
71.48607,42.20368,1,713.32,13.87
71.61646,42.18996,1,713.28,13.85
71.76005,42.13654,1,713.24,13.83
71.86743,42.12923,1,713.2,13.81
71.97592,42.10667,1,713.16,13.79
72.10882,42.05778,1,713.13,13.78
72.23886,42.00564,1,713.09,13.76
72.35267,41.92944,1,713.05,13.74
72.46136,41.88054,1,713.01,13.72
72.54056,41.81185,1,712.97,13.7
72.62426,41.76279,1,712.94,13.68
72.70573,41.7187,1,712.9,13.66
72.77897,41.6831,1,712.86,13.64
72.87327,41.63456,1,712.82,13.62
72.95155,41.56687,1,712.78,13.6
73.02516,41.53113,1,712.75,13.58
73.123,41.45349,1,712.71,13.56
73.18987,41.41222,1,712.67,13.54
73.27204,41.35621,1,712.63,13.52
73.34537,41.29975,1,712.59,13.5
73.38535,41.27776,1,712.56,13.48
73.43099,41.22755,1,712.52,13.46
73.46519,41.19238,1,712.48,13.44
73.54717,41.1379,1,712.44,13.42
73.59366,41.05673,1,712.4,13.4
73.63502,41.02888,1,712.37,13.38
73.62161,40.99178,1,712.33,13.36
73.60963,40.94607,1,712.29,13.34
73.5635,40.92832,1,712.25,13.32
73.55395,40.9349,1,712.22,13.3
73.55393,40.94188,1,712.18,13.28
73.54059,40.96369,1,712.14,13.26
73.52448,40.98728,1,712.1,13.24
73.50631,40.97612,1,712.06,13.22
73.47585,40.98045,1,712.03,13.2
73.4294,40.971,1,711.99,13.18
73.3611,40.99476,1,711.95,13.16
73.28173,41.00152,1,711.91,13.14
73.16281,40.97281,1,711.87,13.12
73.08281,40.97526,1,711.84,13.1
72.99155,40.93118,1,711.8,13.08
72.94412,40.89756,1,711.76,13.06
72.89073,40.87758,1,711.72,13.04
72.85363,40.82453,1,711.68,13.02
72.7802,40.74378,1,711.65,13.0
72.6818,40.67395,1,711.61,12.98
72.6014,40.60451,1,711.57,12.96
72.52255,40.53847,1,711.53,12.94
72.45305,40.4841,1,711.49,12.92
72.39092,40.42844,1,711.46,12.9
72.34364,40.38143,1,711.42,12.88
72.29949,40.33796,1,711.38,12.86
72.27091,40.30481,1,711.34,12.84
72.22965,40.32126,1,711.3,12.82
72.2006,40.34487,1,711.27,12.8
72.16823,40.38132,1,711.23,12.78
72.14012,40.41174,1,711.19,12.76
72.11429,40.43839,1,711.15,12.74
72.0762,40.49088,1,711.11,12.72
72.04701,40.53321,1,711.08,12.7
72.01557,40.57791,1,711.04,12.68
71.9537,40.64363,1,711.0,12.66
71.88933,40.71129,1,710.96,12.64
71.82546,40.78086,1,710.92,12.62
71.75602,40.85122,1,710.89,12.6
71.68412,40.92414,1,710.85,12.58
71.60789,40.993,1,710.81,12.56
71.52757,41.06695,1,710.77,12.54
71.44324,41.13003,1,710.73,12.52
71.34956,41.19511,1,710.7,12.5
71.26162,41.25238,1,710.66,12.48
71.1629,41.31796,1,710.62,12.46
71.06088,41.38794,1,710.58,12.44
70.95268,41.45616,1,710.54,12.42
70.84105,41.53957,1,710.51,12.4
70.7369,41.6106,1,710.47,12.38
70.63931,41.66795,1,710.43,12.36
70.55153,41.72146,1,710.39,12.34
70.4691,41.7687,1,710.35,12.32
70.38673,41.8226,1,710.32,12.3
70.30729,41.87293,1,710.28,12.28
70.23411,41.92644,1,710.24,12.27
70.16523,41.97451,1,710.2,12.25
70.11128,42.02403,1,710.16,12.23
70.05729,42.07015,1,710.13,12.21
70.00734,42.11965,1,710.09,12.19
69.97019,42.16473,1,710.05,12.17
69.91827,42.23422,1,710.01,12.15
69.88467,42.3127,1,709.97,12.13
69.87303,42.33938,1,709.94,12.11
69.86039,42.36909,1,709.9,12.09
69.84358,42.44037,1,709.86,12.07
69.82772,42.50862,1,709.82,12.05
69.80902,42.57838,1,709.78,12.03
69.80321,42.64692,1,709.75,12.01
69.80622,42.71916,1,709.71,11.99
69.8132,42.79148,1,709.67,11.97
69.82539,42.86353,1,709.63,11.95
69.83455,42.9336,1,709.6,11.93
69.84844,42.99997,1,709.56,11.91
69.86198,43.05666,1,709.52,11.89
69.86808,43.11345,1,709.48,11.87
69.90098,43.13559,1,709.44,11.85
