x_loc,y_loc,quarter,game_clock,shot_clock
45.22837,31.98912,1,720.0,
45.34127,31.97491,1,719.96,16.88
45.53949,31.96228,1,719.92,16.86
45.82985,31.95004,1,719.89,17.31
46.20472,31.94481,1,719.85,17.29
46.59304,31.94148,1,719.81,17.27
46.99058,31.93773,1,719.77,17.25
47.39586,31.93597,1,719.73,17.23
47.80938,31.93913,1,719.7,17.21
48.23199,31.9459,1,719.66,17.19
48.67188,31.96157,1,719.62,17.17
49.1256,31.99165,1,719.58,17.15
49.60647,32.02095,1,719.54,17.13
50.10631,32.05477,1,719.51,17.11
50.63674,32.08534,1,719.47,17.09
51.18875,32.11755,1,719.43,17.07
51.58592,32.13782,1,719.39,17.05
51.92243,32.14318,1,719.35,17.03
52.19479,32.14086,1,719.32,17.01
52.39468,32.12374,1,719.28,16.99
52.59736,32.12149,1,719.24,16.97
52.80432,32.11568,1,719.2,16.95
53.01726,32.093,1,719.16,16.93
53.22669,32.07208,1,719.13,16.91
53.43432,32.05112,1,719.09,16.89
53.64789,32.02758,1,719.05,16.87
53.87262,31.98506,1,719.01,16.85
54.09166,31.93656,1,718.97,16.83
54.30577,31.87937,1,718.94,16.82
54.51202,31.82514,1,718.9,16.79
54.70872,31.76039,1,718.86,16.78
54.89722,31.69148,1,718.82,16.76
55.06654,31.62522,1,718.78,16.74
55.2282,31.55535,1,718.75,16.72
55.39165,31.48115,1,718.71,16.7
55.54434,31.3886,1,718.67,16.68
55.69375,31.28666,1,718.63,16.66
55.84011,31.1924,1,718.59,16.64
55.99257,31.08827,1,718.56,16.62
56.15455,30.97064,1,718.52,16.6
56.31329,30.84584,1,718.48,16.58
56.46096,30.7195,1,718.44,16.56
56.60795,30.58418,1,718.41,16.54
56.74724,30.4451,1,718.37,16.52
56.89013,30.29993,1,718.33,16.5
57.02732,30.15457,1,718.29,16.48
57.15805,30.00279,1,718.25,16.46
57.35183,29.82,1,718.22,16.44
57.49605,29.62467,1,718.18,16.42
57.62565,29.43004,1,718.14,16.4
57.77341,29.23627,1,718.1,16.38
57.92798,29.05306,1,718.06,16.36
58.12892,28.89487,1,718.03,16.34
58.32239,28.72949,1,717.99,16.32
58.45536,28.53479,1,717.95,16.3
58.52765,28.31057,1,717.91,16.28
58.60803,28.0862,1,717.87,16.26
58.72909,27.88337,1,717.83,16.24
58.85806,27.67998,1,717.8,16.22
58.97603,27.48343,1,717.76,16.2
59.10723,27.29389,1,717.72,16.18
59.23722,27.11555,1,717.68,16.16
59.2577,26.9493,1,717.64,16.14
59.34404,26.78254,1,717.61,16.12
59.4073,26.65023,1,717.57,16.1
59.46543,26.56923,1,717.53,16.08
59.49851,26.47833,1,717.49,16.06
59.52954,26.33444,1,717.45,16.04
59.55303,26.20717,1,717.42,16.02
59.64871,26.11891,1,717.38,16.0
59.80656,26.03499,1,717.34,15.98
59.96545,25.93202,1,717.3,15.96
60.08657,25.78702,1,717.27,15.94
60.21077,25.61575,1,717.23,15.92
60.34998,25.41288,1,717.19,15.9
60.48557,25.18978,1,717.15,15.88
60.62386,24.95126,1,717.11,15.86
60.80749,24.71433,1,717.08,15.84
61.00333,24.52105,1,717.04,15.82
61.22167,24.28522,1,717.0,15.8
61.42591,23.99379,1,716.96,15.78
61.63479,23.69707,1,716.92,15.76
61.79064,23.42423,1,716.89,15.74
61.95324,23.14582,1,716.85,15.72
62.07866,22.8624,1,716.81,15.7
62.19109,22.58025,1,716.77,15.68
62.33692,22.2806,1,716.73,15.66
62.47125,22.00175,1,716.7,15.64
62.61649,21.71149,1,716.66,15.62
62.76148,21.42655,1,716.62,15.6
62.90437,21.1597,1,716.58,15.58
63.04928,20.89381,1,716.54,15.56
63.18348,20.56706,1,716.51,15.54
63.26933,20.13056,1,716.47,15.52
63.36283,19.69625,1,716.43,15.5
63.47485,19.26175,1,716.39,15.48
63.5975,18.82395,1,716.35,15.46
63.73282,18.37958,1,716.32,15.44
63.92144,17.94916,1,716.28,15.42
64.13145,17.51654,1,716.24,15.4
64.36251,17.08975,1,716.2,15.38
64.52159,16.65635,1,716.16,15.36
64.69032,16.20864,1,716.13,15.34
64.81175,15.75401,1,716.09,15.33
64.93774,15.31306,1,716.05,15.3
65.06635,14.86068,1,716.01,15.29
65.20998,14.4051,1,715.97,15.27
65.35761,14.02444,1,715.94,15.25
65.5181,13.70693,1,715.9,15.23
65.68228,13.39782,1,715.86,15.21
65.84233,13.08198,1,715.82,15.19
66.0091,12.76978,1,715.78,15.17
66.17833,12.45336,1,715.75,15.15
66.29725,12.12786,1,715.71,15.13
66.42154,11.79333,1,715.67,15.11
66.56834,11.49025,1,715.63,15.09
66.71983,11.21139,1,715.59,15.07
66.87806,10.93804,1,715.56,15.05
67.10565,10.71556,1,715.52,15.03
67.33009,10.49195,1,715.48,15.01
67.53829,10.2627,1,715.44,14.99
67.74386,10.0493,1,715.4,14.97
67.95875,9.83285,1,715.37,14.95
68.18443,9.61286,1,715.33,14.93
68.39431,9.437,1,715.29,14.91
68.59715,9.257,1,715.25,14.89
68.80099,9.06577,1,715.21,14.87
69.00153,8.89241,1,715.18,14.85
69.20584,8.7198,1,715.14,14.83
69.40738,8.55262,1,715.1,14.81
69.57374,8.37439,1,715.06,14.79
69.78488,8.21688,1,715.02,14.77
69.97019,8.07962,1,714.99,14.75
70.10543,7.93561,1,714.95,14.73
70.22522,7.83902,1,714.91,14.71
70.41087,7.77191,1,714.87,14.69
70.54677,7.72825,1,714.84,14.67
70.69721,7.69681,1,714.8,14.65
70.8295,7.67873,1,714.76,14.63
70.98125,7.61271,1,714.72,14.61
71.12851,7.55701,1,714.68,14.59
71.2637,7.52277,1,714.65,14.57
71.39684,7.48861,1,714.61,14.55
71.5126,7.46376,1,714.57,14.53
71.58321,7.47291,1,714.53,14.51
71.67467,7.46997,1,714.49,14.49
71.71226,7.49478,1,714.46,14.47
71.78348,7.50652,1,714.42,14.45
71.83766,7.53829,1,714.38,14.43
71.87116,7.54194,1,714.34,14.41
71.85852,7.53345,1,714.3,14.39
71.87751,7.51076,1,714.26,14.37
71.88321,7.48962,1,714.23,14.35
71.89468,7.47822,1,714.19,14.33
71.89285,7.48292,1,714.15,14.31
71.8855,7.50305,1,714.11,14.29
71.88846,7.52156,1,714.07,14.27
71.86282,7.56012,1,714.04,14.25
71.86394,7.59004,1,714.0,14.23
71.89105,7.60766,1,713.96,14.21
71.86374,7.59978,1,713.92,14.19
71.86109,7.58124,1,713.89,14.17
71.78775,7.53564,1,713.85,14.15
71.72832,7.47982,1,713.81,14.13
71.69392,7.42084,1,713.77,14.11
71.63085,7.37866,1,713.73,14.09
71.56731,7.32438,1,713.7,14.07
71.49443,7.27131,1,713.66,14.05
71.41696,7.21965,1,713.62,14.03
71.34064,7.16996,1,713.58,14.01
71.2747,7.12099,1,713.54,13.99
71.18567,7.09477,1,713.51,13.97
71.12147,7.05444,1,713.47,13.95
71.04869,7.039,1,713.43,13.93
71.03343,7.04554,1,713.39,13.91
70.97455,7.06416,1,713.35,13.89
70.91359,7.08261,1,713.32,13.87
70.89853,7.15184,1,713.28,13.85
70.889,7.21865,1,713.24,13.83
70.86403,7.27871,1,713.2,13.81
70.85533,7.36424,1,713.16,13.79
70.84718,7.42323,1,713.13,13.78
70.84718,7.48003,1,713.09,13.76
70.84932,7.54743,1,713.05,13.74
70.84488,7.61407,1,713.01,13.72
70.83306,7.72586,1,712.97,13.7
70.83167,7.83111,1,712.94,13.68
70.81963,7.9032,1,712.9,13.66
70.79648,8.0032,1,712.86,13.64
70.72145,8.04289,1,712.82,13.62
70.71016,8.15393,1,712.78,13.6
70.70355,8.25935,1,712.75,13.58
70.69956,8.35858,1,712.71,13.56
70.69424,8.45836,1,712.67,13.54
70.70326,8.56757,1,712.63,13.52
70.72581,8.64206,1,712.59,13.5
70.76017,8.76524,1,712.56,13.48
70.81718,8.89306,1,712.52,13.46
70.85455,8.9928,1,712.48,13.44
70.91229,9.0976,1,712.44,13.42
70.97687,9.14971,1,712.4,13.4
71.08726,9.1652,1,712.37,13.38
71.17801,9.22605,1,712.33,13.36
71.26818,9.23408,1,712.29,13.34
71.37439,9.27,1,712.25,13.32
71.52872,9.27618,1,712.22,13.3
71.68656,9.33181,1,712.18,13.28
71.8405,9.39299,1,712.14,13.26
72.02201,9.51633,1,712.1,13.24
72.18688,9.60508,1,712.06,13.22
72.3175,9.66013,1,712.03,13.2
72.43473,9.71242,1,711.99,13.18
72.52525,9.78173,1,711.95,13.16
72.63948,9.87293,1,711.91,13.14
72.73826,9.97465,1,711.87,13.12
72.84771,10.09433,1,711.84,13.1
72.96532,10.29412,1,711.8,13.08
73.07496,10.47564,1,711.76,13.06
73.19526,10.67584,1,711.72,13.04
73.31707,10.92859,1,711.68,13.02
73.39516,11.18665,1,711.65,13.0
73.47819,11.40976,1,711.61,12.98
73.57383,11.64352,1,711.57,12.96
73.65648,11.83007,1,711.53,12.94
73.76843,12.06746,1,711.49,12.92
73.91488,12.35843,1,711.46,12.9
74.07248,12.65956,1,711.42,12.88
74.23984,12.96318,1,711.38,12.86
74.41073,13.28096,1,711.34,12.84
74.59421,13.60048,1,711.3,12.82
74.77334,13.9192,1,711.27,12.8
74.90959,14.20354,1,711.23,12.78
75.09626,14.51564,1,711.19,12.76
75.29065,14.82576,1,711.15,12.74
75.48579,15.10445,1,711.11,12.72
75.69305,15.38603,1,711.08,12.7
75.91287,15.66602,1,711.04,12.68
76.13829,15.95126,1,711.0,12.66
76.36785,16.23944,1,710.96,12.64
76.60167,16.52395,1,710.92,12.62
76.84112,16.80882,1,710.89,12.6
77.09185,17.09188,1,710.85,12.58
77.34004,17.36586,1,710.81,12.56
77.58995,17.63715,1,710.77,12.54
77.85442,17.90538,1,710.73,12.52
78.12044,18.17175,1,710.7,12.5
78.39682,18.44013,1,710.66,12.48
78.67747,18.69934,1,710.62,12.46
78.96023,18.95818,1,710.58,12.44
79.24647,19.2094,1,710.54,12.42
79.5405,19.45447,1,710.51,12.4
79.84602,19.71273,1,710.47,12.38
80.16356,19.95732,1,710.43,12.36
80.48187,20.19299,1,710.39,12.34
80.80087,20.42552,1,710.35,12.32
81.11955,20.65131,1,710.32,12.3
81.44528,20.87221,1,710.28,12.28
81.78123,21.09004,1,710.24,12.27
82.12074,21.30535,1,710.2,12.25
82.45959,21.52464,1,710.16,12.23
82.7981,21.73864,1,710.13,12.21
83.1384,21.94928,1,710.09,12.19
83.47572,22.16446,1,710.05,12.17
83.81842,22.38533,1,710.01,12.15
84.16926,22.6119,1,709.97,12.13
84.50488,22.83643,1,709.94,12.11
84.81784,23.04793,1,709.9,12.09
85.11261,23.26674,1,709.86,12.07
85.39859,23.48955,1,709.82,12.05
85.72759,23.74869,1,709.78,12.03
86.05197,24.02095,1,709.75,12.01
86.35542,24.29584,1,709.71,11.99
86.66114,24.5942,1,709.67,11.97
86.92026,24.87335,1,709.63,11.95
87.18387,25.18402,1,709.6,11.93
87.43162,25.50862,1,709.56,11.91
87.64996,25.85383,1,709.52,11.89
87.85728,26.19484,1,709.48,11.87
88.00749,26.57627,1,709.44,11.85
88.11219,26.97054,1,709.41,11.83
88.19205,27.33323,1,709.37,11.81
88.27556,27.73576,1,709.33,11.79
88.37655,28.08985,1,709.29,11.77
88.47531,28.44557,1,709.25,11.75
88.51175,28.7231,1,709.22,11.73
88.54212,29.04207,1,709.18,11.71
88.55853,29.31131,1,709.14,11.69
88.55578,29.5608,1,709.1,11.67
88.58705,29.83773,1,709.06,11.65
88.57406,30.06723,1,709.03,11.63
88.60027,30.31312,1,708.99,11.61
88.62595,30.52364,1,708.95,11.59
88.65294,30.73065,1,708.91,11.57
88.72477,30.88976,1,708.87,11.55
88.8251,31.04858,1,708.84,11.53
88.94085,31.21669,1,708.8,11.51
89.04511,31.33893,1,708.76,11.49
89.13447,31.50746,1,708.72,11.47
89.21724,31.65135,1,708.68,11.45
89.31072,31.8101,1,708.65,11.43
89.3808,31.91026,1,708.61,11.41
89.45363,32.04947,1,708.57,11.39
89.52631,32.17837,1,708.53,11.37
89.60006,32.29564,1,708.49,11.35
89.69588,32.41455,1,708.46,11.33
89.75377,32.49312,1,708.42,11.31
89.82143,32.5727,1,708.38,11.29
89.87975,32.65496,1,708.34,11.27
89.9314,32.70539,1,708.3,11.25
89.96875,32.75836,1,708.27,11.23
90.03179,32.78913,1,708.23,11.21
90.07902,32.83815,1,708.19,11.19
90.10812,32.88603,1,708.15,11.17
90.16192,32.94472,1,708.11,11.15
90.18099,33.01468,1,708.08,11.13
90.31945,33.25364,1,708.04,11.11
90.45762,33.49478,1,708.0,11.09
90.60989,33.71532,1,707.96,11.07
90.73952,33.93492,1,707.92,11.05
90.89485,34.11738,1,707.89,11.03
91.0186,34.32708,1,707.85,11.01
91.17215,34.51616,1,707.81,10.99
91.30189,34.71919,1,707.77,10.97
91.43864,34.89701,1,707.73,10.95
91.58007,35.02665,1,707.7,10.93
91.71006,35.18859,1,707.66,10.91
91.8333,35.33461,1,707.62,10.89
91.98022,35.44346,1,707.58,10.87
92.10603,35.53681,1,707.55,10.86
92.26091,35.61504,1,707.51,10.83
92.31609,35.49072,1,707.47,10.81
92.37658,35.31087,1,707.43,10.8
92.43488,35.11174,1,707.39,10.78
92.49016,34.87032,1,707.36,10.76
92.5074,34.6466,1,707.32,10.74
92.53931,34.37832,1,707.28,10.72
92.52171,34.12151,1,707.24,10.7
92.57023,33.81777,1,707.2,10.68
92.59239,33.54168,1,707.16,10.66
92.61787,33.26893,1,707.13,10.64
92.6137,32.98218,1,707.09,10.62
92.626,32.653,1,707.05,10.6
92.60671,32.33214,1,707.01,10.58
92.56655,32.0009,1,706.98,10.56
92.51709,31.68883,1,706.94,10.54
92.44896,31.37977,1,706.9,10.52
92.34327,31.10227,1,706.86,10.5
92.22186,30.86135,1,706.82,10.48
92.06236,30.61471,1,706.79,10.46
91.9411,30.37796,1,706.75,10.44
91.78855,30.16749,1,706.71,10.42
91.67578,29.92236,1,706.67,10.4
91.50078,29.69331,1,706.63,10.38
91.32473,29.43572,1,706.6,10.36
91.13465,29.16299,1,706.56,10.34
90.96582,28.88343,1,706.52,10.32
90.76516,28.69141,1,706.48,10.3
90.59088,28.46005,1,706.44,10.28
90.4226,28.26151,1,706.41,10.26
90.25552,28.07369,1,706.37,10.24
90.10341,27.88882,1,706.33,10.22
89.92688,27.71652,1,706.29,10.2
89.69225,27.54118,1,706.25,10.18
89.5817,27.41291,1,706.22,10.16
89.49988,27.29439,1,706.18,10.14
89.46025,27.14354,1,706.14,10.12
89.40527,27.04993,1,706.1,10.1
89.38749,26.98953,1,706.06,10.08
89.36866,26.94741,1,706.03,10.06
89.36466,26.95347,1,705.99,10.04
89.39361,26.98507,1,705.95,10.02
89.46189,26.94823,1,705.91,10.0
89.49866,26.96279,1,705.87,9.98
89.51075,26.94771,1,705.84,9.96
89.55723,26.90813,1,705.8,9.94
89.5621,26.84861,1,705.76,9.92
