x_loc,y_loc,quarter,game_clock,shot_clock
45.22837,31.98912,1,720.0,
45.15483,31.96293,1,719.96,16.88
45.07538,31.93288,1,719.92,16.86
44.99969,31.89828,1,719.89,17.31
44.92268,31.86245,1,719.85,17.29
44.84522,31.82708,1,719.81,17.27
44.76673,31.79092,1,719.77,17.25
44.68675,31.75819,1,719.73,17.23
44.60587,31.72983,1,719.7,17.21
44.51973,31.69771,1,719.66,17.19
44.43736,31.67803,1,719.62,17.17
41.21367,29.34384,1,719.58,17.15
39.61793,28.98029,1,719.54,17.13
38.04996,28.50594,1,719.51,17.11
36.52272,27.9244,1,719.47,17.09
34.99738,27.33634,1,719.43,17.07
33.48208,26.75296,1,719.39,17.05
31.97154,26.16892,1,719.35,17.03
30.46685,25.58327,1,719.32,17.01
28.96599,24.99564,1,719.28,16.99
27.47071,24.40838,1,719.24,16.97
25.98505,23.81442,1,719.2,16.95
24.51414,23.21105,1,719.16,16.93
23.05728,22.60456,1,719.13,16.91
21.62022,21.99779,1,719.09,16.89
20.19657,21.37748,1,719.05,16.87
21.9333,23.07131,1,719.01,16.85
22.06606,22.78384,1,718.97,16.83
22.18459,22.60009,1,718.94,16.82
22.29109,22.51734,1,718.9,16.79
22.40566,22.43318,1,718.86,16.78
22.53607,22.34024,1,718.82,16.76
22.68156,22.24619,1,718.78,16.74
22.84169,22.14631,1,718.75,16.72
23.02638,22.04961,1,718.71,16.7
23.22224,21.94732,1,718.67,16.68
23.42021,21.84646,1,718.63,16.66
23.62011,21.74208,1,718.59,16.64
23.82286,21.63545,1,718.56,16.62
24.0263,21.52284,1,718.52,16.6
24.23658,21.40994,1,718.48,16.58
24.44847,21.2942,1,718.44,16.56
24.66112,21.18043,1,718.41,16.54
24.86867,21.0626,1,718.37,16.52
25.0754,20.94201,1,718.33,16.5
25.29285,20.82138,1,718.29,16.48
25.51538,20.70176,1,718.25,16.46
25.74356,20.58181,1,718.22,16.44
25.97425,20.45359,1,718.18,16.42
26.196,20.32241,1,718.14,16.4
26.41932,20.19475,1,718.1,16.38
26.65337,20.06279,1,718.06,16.36
26.89715,19.93316,1,718.03,16.34
27.14666,19.79851,1,717.99,16.32
27.39625,19.66086,1,717.95,16.3
27.63412,19.51578,1,717.91,16.28
27.88176,19.36631,1,717.87,16.26
28.13461,19.21569,1,717.83,16.24
28.40279,19.06144,1,717.8,16.22
28.65841,18.91661,1,717.76,16.2
28.9058,18.74277,1,717.72,16.18
29.15745,18.57851,1,717.68,16.16
29.40103,18.40992,1,717.64,16.14
29.67731,18.21775,1,717.61,16.12
29.96291,18.03984,1,717.57,16.1
30.26882,17.86719,1,717.53,16.08
30.57698,17.69547,1,717.49,16.06
30.88996,17.52276,1,717.45,16.04
31.21073,17.34627,1,717.42,16.02
31.54577,17.17432,1,717.38,16.0
31.89907,17.00118,1,717.34,15.98
32.24656,16.81955,1,717.3,15.96
32.58942,16.61704,1,717.27,15.94
32.94794,16.41332,1,717.23,15.92
33.34101,16.19073,1,717.19,15.9
33.75796,15.97924,1,717.15,15.88
34.14915,15.73981,1,717.11,15.86
34.54987,15.50035,1,717.08,15.84
34.90699,15.28695,1,717.04,15.82
35.25953,15.04752,1,717.0,15.8
35.59967,14.79074,1,716.96,15.78
35.94407,14.52583,1,716.92,15.76
36.28873,14.25507,1,716.89,15.74
36.63268,13.97963,1,716.85,15.72
36.9786,13.69712,1,716.81,15.7
37.33677,13.41861,1,716.77,15.68
37.70274,13.14238,1,716.73,15.66
38.07779,12.87184,1,716.7,15.64
38.44152,12.58782,1,716.66,15.62
38.79528,12.30174,1,716.62,15.6
39.13915,12.02219,1,716.58,15.58
39.51184,11.75249,1,716.54,15.56
39.89454,11.47578,1,716.51,15.54
40.29509,11.2001,1,716.47,15.52
40.70128,10.92565,1,716.43,15.5
41.10658,10.67821,1,716.39,15.48
41.51905,10.39871,1,716.35,15.46
41.93995,10.11875,1,716.32,15.44
42.36494,9.84376,1,716.28,15.42
42.80061,9.57356,1,716.24,15.4
43.20831,9.31334,1,716.2,15.38
43.62387,9.06103,1,716.16,15.36
44.03153,8.81595,1,716.13,15.34
44.43792,8.58634,1,716.09,15.33
44.85363,8.36489,1,716.05,15.3
45.26969,8.14923,1,716.01,15.29
45.68348,7.93483,1,715.97,15.27
46.09598,7.71867,1,715.94,15.25
46.51378,7.49036,1,715.9,15.23
46.94463,7.27395,1,715.86,15.21
