x_loc,y_loc,quarter,game_clock,shot_clock
44.76529,17.47021,1,720.0,
44.71919,17.53699,1,719.96,16.88
44.65545,17.59816,1,719.92,16.86
44.58809,17.66295,1,719.89,17.31
44.50953,17.73153,1,719.85,17.29
44.43019,17.79795,1,719.81,17.27
44.35178,17.8634,1,719.77,17.25
44.27204,17.92431,1,719.73,17.23
44.18823,17.98542,1,719.7,17.21
44.11576,18.04965,1,719.66,17.19
44.0542,18.11785,1,719.62,17.17
43.95174,18.12052,1,719.58,17.15
43.80423,18.0542,1,719.54,17.13
43.72002,18.06201,1,719.51,17.11
43.69875,18.14303,1,719.47,17.09
43.70949,18.22274,1,719.43,17.07
43.72115,18.30505,1,719.39,17.05
43.75583,18.39592,1,719.35,17.03
43.80413,18.48875,1,719.32,17.01
43.86056,18.58197,1,719.28,16.99
43.91952,18.68993,1,719.24,16.97
43.98449,18.80571,1,719.2,16.95
44.05051,18.93321,1,719.16,16.93
44.11908,19.06012,1,719.13,16.91
44.18307,19.18685,1,719.09,16.89
44.25095,19.32326,1,719.05,16.87
44.33555,19.55334,1,719.01,16.85
44.5171,19.83681,1,718.97,16.83
44.6477,20.06706,1,718.94,16.82
44.73264,20.23314,1,718.9,16.79
44.79067,20.39829,1,718.86,16.78
44.86454,20.56854,1,718.82,16.76
44.92906,20.74291,1,718.78,16.74
44.96126,20.92621,1,718.75,16.72
45.06788,21.10455,1,718.71,16.7
45.18584,21.28237,1,718.67,16.68
45.2906,21.45947,1,718.63,16.66
45.40809,21.63554,1,718.59,16.64
45.54045,21.79627,1,718.56,16.62
45.68116,21.95323,1,718.52,16.6
45.7987,22.10253,1,718.48,16.58
45.97856,22.22391,1,718.44,16.56
46.09481,22.40247,1,718.41,16.54
46.22636,22.54503,1,718.37,16.52
46.35718,22.67737,1,718.33,16.5
46.489,22.8143,1,718.29,16.48
46.62562,22.946,1,718.25,16.46
46.78948,23.07083,1,718.22,16.44
46.99152,23.18188,1,718.18,16.42
47.13938,23.29442,1,718.14,16.4
47.28305,23.40113,1,718.1,16.38
