x_loc,y_loc,quarter,game_clock,shot_clock
76.91387,24.68808,1,720.0,
76.88031,24.6746,1,719.96,16.88
76.84675,24.65577,1,719.92,16.86
76.80654,24.63746,1,719.89,17.31
76.76477,24.61041,1,719.85,17.29
76.72298,24.57747,1,719.81,17.27
76.67219,24.54265,1,719.77,17.25
76.62179,24.50108,1,719.73,17.23
76.56769,24.45773,1,719.7,17.21
76.50663,24.40886,1,719.66,17.19
76.43861,24.36033,1,719.62,17.17
76.36626,24.31492,1,719.58,17.15
76.28606,24.26031,1,719.54,17.13
76.20075,24.20656,1,719.51,17.11
76.1114,24.16378,1,719.47,17.09
76.01588,24.13219,1,719.43,17.07
75.91707,24.10374,1,719.39,17.05
75.80663,24.08095,1,719.35,17.03
75.69472,24.05814,1,719.32,17.01
75.57723,24.04336,1,719.28,16.99
75.45403,24.02981,1,719.24,16.97
75.32211,24.02684,1,719.2,16.95
75.18227,24.02935,1,719.16,16.93
75.03885,24.02643,1,719.13,16.91
74.89324,24.02961,1,719.09,16.89
74.745,24.03813,1,719.05,16.87
74.59911,24.03853,1,719.01,16.85
74.45533,24.05412,1,718.97,16.83
74.315,24.06277,1,718.94,16.82
74.17291,24.07821,1,718.9,16.79
74.03239,24.08639,1,718.86,16.78
73.89399,24.09546,1,718.82,16.76
73.76054,24.10246,1,718.78,16.74
73.62924,24.10872,1,718.75,16.72
73.50027,24.11887,1,718.71,16.7
73.366,24.13474,1,718.67,16.68
73.24316,24.15365,1,718.63,16.66
73.11514,24.16235,1,718.59,16.64
72.99376,24.18437,1,718.56,16.62
72.88914,24.22271,1,718.52,16.6
72.78986,24.26666,1,718.48,16.58
72.68882,24.32693,1,718.44,16.56
72.59579,24.39077,1,718.41,16.54
72.50049,24.46738,1,718.37,16.52
72.4106,24.53581,1,718.33,16.5
72.32869,24.61553,1,718.29,16.48
72.24768,24.69353,1,718.25,16.46
72.16935,24.77496,1,718.22,16.44
72.09466,24.85932,1,718.18,16.42
72.02421,24.94269,1,718.14,16.4
71.95933,25.02423,1,718.1,16.38
71.89659,25.09811,1,718.06,16.36
71.84767,25.17895,1,718.03,16.34
71.80288,25.25442,1,717.99,16.32
71.7524,25.32004,1,717.95,16.3
71.71123,25.37744,1,717.91,16.28
71.67602,25.42783,1,717.87,16.26
71.64265,25.47119,1,717.83,16.24
71.61958,25.51178,1,717.8,16.22
71.60062,25.5514,1,717.76,16.2
71.58773,25.58239,1,717.72,16.18
71.58552,25.61406,1,717.68,16.16
71.59206,25.642,1,717.64,16.14
71.60613,25.66797,1,717.61,16.12
71.62622,25.69122,1,717.57,16.1
71.63186,25.70942,1,717.53,16.08
71.63744,25.72927,1,717.49,16.06
71.64457,25.75401,1,717.45,16.04
71.64596,25.77644,1,717.42,16.02
71.64437,25.78361,1,717.38,16.0
71.64684,25.78573,1,717.34,15.98
71.65397,25.75632,1,717.3,15.96
71.66658,25.74038,1,717.27,15.94
71.64175,25.74088,1,717.23,15.92
71.62699,25.73,1,717.19,15.9
71.61147,25.71461,1,717.15,15.88
71.60347,25.70163,1,717.11,15.86
71.58812,25.68033,1,717.08,15.84
71.57737,25.6039,1,717.04,15.82
71.55855,25.51827,1,717.0,15.8
71.57204,25.43339,1,716.96,15.78
71.63451,25.38746,1,716.92,15.76
71.65655,25.2917,1,716.89,15.74
71.69385,25.1949,1,716.85,15.72
71.75444,25.1095,1,716.81,15.7
71.75683,25.00811,1,716.77,15.68
71.76229,24.93035,1,716.73,15.66
