x_loc,y_loc,quarter,game_clock,shot_clock
44.94448,25.48135,1,720.0,
44.99587,25.52801,1,719.96,16.88
45.04402,25.569,1,719.92,16.86
45.13345,25.61198,1,719.89,17.31
45.21759,25.65667,1,719.85,17.29
45.24706,25.7077,1,719.81,17.27
45.30348,25.73565,1,719.77,17.25
45.33898,25.75748,1,719.73,17.23
45.38666,25.78509,1,719.7,17.21
45.43897,25.83491,1,719.66,17.19
45.49276,25.88186,1,719.62,17.17
45.54355,25.91863,1,719.58,17.15
45.61499,25.97317,1,719.54,17.13
45.67741,26.01459,1,719.51,17.11
45.75388,26.06223,1,719.47,17.09
45.85673,26.09784,1,719.43,17.07
45.96579,26.15474,1,719.39,17.05
46.10637,26.21127,1,719.35,17.03
46.24137,26.28166,1,719.32,17.01
46.3465,26.34996,1,719.28,16.99
46.47582,26.41634,1,719.24,16.97
46.5929,26.51292,1,719.2,16.95
46.68555,26.58931,1,719.16,16.93
46.79438,26.66212,1,719.13,16.91
46.92042,26.71033,1,719.09,16.89
47.08124,26.76279,1,719.05,16.87
47.24042,26.83845,1,719.01,16.85
47.40434,26.90158,1,718.97,16.83
47.57866,26.9698,1,718.94,16.82
47.75361,27.03407,1,718.9,16.79
47.93034,27.11189,1,718.86,16.78
48.13573,27.17071,1,718.82,16.76
48.33587,27.24408,1,718.78,16.74
48.52407,27.30718,1,718.75,16.72
48.77514,27.38131,1,718.71,16.7
49.07112,27.46273,1,718.67,16.68
49.37914,27.55326,1,718.63,16.66
49.69311,27.64315,1,718.59,16.64
50.00363,27.74561,1,718.56,16.62
50.31413,27.84734,1,718.52,16.6
50.61851,27.93922,1,718.48,16.58
50.94838,28.01654,1,718.44,16.56
51.29201,28.10653,1,718.41,16.54
51.63693,28.20453,1,718.37,16.52
51.98993,28.31405,1,718.33,16.5
52.34702,28.42587,1,718.29,16.48
52.702,28.55592,1,718.25,16.46
53.05372,28.69822,1,718.22,16.44
53.40626,28.8483,1,718.18,16.42
53.74339,28.99938,1,718.14,16.4
54.07527,29.14962,1,718.1,16.38
54.40277,29.30673,1,718.06,16.36
54.73418,29.47475,1,718.03,16.34
55.0621,29.64199,1,717.99,16.32
55.40716,29.82244,1,717.95,16.3
55.74811,30.03178,1,717.91,16.28
56.07059,30.26299,1,717.87,16.26
56.39718,30.49008,1,717.83,16.24
56.72532,30.71666,1,717.8,16.22
57.02624,30.92879,1,717.76,16.2
57.34108,31.13367,1,717.72,16.18
57.65498,31.31353,1,717.68,16.16
57.9992,31.51105,1,717.64,16.14
58.32353,31.73754,1,717.61,16.12
58.64668,31.96911,1,717.57,16.1
58.95717,32.20871,1,717.53,16.08
59.27209,32.44003,1,717.49,16.06
59.58694,32.67167,1,717.45,16.04
59.90315,32.89955,1,717.42,16.02
60.19921,33.12883,1,717.38,16.0
60.48058,33.3513,1,717.34,15.98
60.75781,33.57194,1,717.3,15.96
61.01494,33.78993,1,717.27,15.94
61.24287,34.01744,1,717.23,15.92
61.48155,34.25929,1,717.19,15.9
61.72568,34.49715,1,717.15,15.88
61.95441,34.74774,1,717.11,15.86
62.16156,34.95916,1,717.08,15.84
62.36263,35.13901,1,717.04,15.82
62.56338,35.30752,1,717.0,15.8
62.7756,35.47284,1,716.96,15.78
62.99871,35.61988,1,716.92,15.76
63.2224,35.82877,1,716.89,15.74
63.42463,36.0423,1,716.85,15.72
63.5673,36.27637,1,716.81,15.7
63.72122,36.50475,1,716.77,15.68
63.87945,36.72522,1,716.73,15.66
64.08466,36.94045,1,716.7,15.64
64.30012,37.14498,1,716.66,15.62
64.51929,37.2875,1,716.62,15.6
64.71299,37.42938,1,716.58,15.58
64.9147,37.60511,1,716.54,15.56
65.0995,37.79047,1,716.51,15.54
65.32419,38.03266,1,716.47,15.52
65.53544,38.2576,1,716.43,15.5
65.74362,38.47067,1,716.39,15.48
65.91454,38.7487,1,716.35,15.46
66.07914,38.96167,1,716.32,15.44
66.26236,39.17107,1,716.28,15.42
66.51298,39.35744,1,716.24,15.4
66.75243,39.54518,1,716.2,15.38
66.98686,39.7261,1,716.16,15.36
67.19083,39.9714,1,716.13,15.34
67.39955,40.21886,1,716.09,15.33
67.58728,40.4885,1,716.05,15.3
67.75835,40.76393,1,716.01,15.29
67.94427,41.04752,1,715.97,15.27
68.11355,41.32858,1,715.94,15.25
68.24732,41.55575,1,715.9,15.23
68.37424,41.75767,1,715.86,15.21
68.49949,41.9731,1,715.82,15.19
68.64415,42.1388,1,715.78,15.17
68.78336,42.29713,1,715.75,15.15
68.91128,42.4503,1,715.71,15.13
69.03103,42.60449,1,715.67,15.11
69.15126,42.7484,1,715.63,15.09
69.27383,42.8974,1,715.59,15.07
69.33268,42.97817,1,715.56,15.05
69.45398,43.01083,1,715.52,15.03
69.57666,43.06672,1,715.48,15.01
69.70284,43.1145,1,715.44,14.99
69.80723,43.12553,1,715.4,14.97
69.87483,43.17926,1,715.37,14.95
69.9844,43.29787,1,715.33,14.93
70.11915,43.41331,1,715.29,14.91
70.25324,43.52127,1,715.25,14.89
70.38069,43.6337,1,715.21,14.87
70.50607,43.74327,1,715.18,14.85
70.62844,43.8481,1,715.14,14.83
70.74978,43.94198,1,715.1,14.81
70.8667,44.03803,1,715.06,14.79
70.97517,44.12438,1,715.02,14.77
71.12171,44.21337,1,714.99,14.75
71.20462,44.34202,1,714.95,14.73
71.29471,44.47202,1,714.91,14.71
71.38951,44.60717,1,714.87,14.69
71.47419,44.73125,1,714.84,14.67
71.6156,44.81288,1,714.8,14.65
71.71776,44.82005,1,714.76,14.63
71.81401,44.87362,1,714.72,14.61
71.90827,44.91812,1,714.68,14.59
72.00097,44.95041,1,714.65,14.57
72.09037,44.97811,1,714.61,14.55
72.18167,45.00193,1,714.57,14.53
72.27552,45.02843,1,714.53,14.51
72.36517,45.04924,1,714.49,14.49
72.45803,45.07374,1,714.46,14.47
72.54769,45.09069,1,714.42,14.45
72.62964,45.10473,1,714.38,14.43
72.71294,45.11859,1,714.34,14.41
72.78338,45.12615,1,714.3,14.39
72.84612,45.12492,1,714.26,14.37
72.89347,45.11538,1,714.23,14.35
72.93173,45.09997,1,714.19,14.33
72.95954,45.0735,1,714.15,14.31
72.97957,45.04064,1,714.11,14.29
72.99543,45.00372,1,714.07,14.27
73.01078,44.96683,1,714.04,14.25
73.02164,44.93047,1,714.0,14.23
73.03559,44.89342,1,713.96,14.21
73.04421,44.84912,1,713.92,14.19
73.05707,44.80857,1,713.89,14.17
73.0791,44.77297,1,713.85,14.15
73.15861,44.77731,1,713.81,14.13
73.22189,44.76539,1,713.77,14.11
73.30467,44.76844,1,713.73,14.09
73.38487,44.77026,1,713.7,14.07
73.48097,44.78211,1,713.66,14.05
73.59749,44.79671,1,713.62,14.03
73.70831,44.81407,1,713.58,14.01
73.82926,44.81669,1,713.54,13.99
73.94273,44.83433,1,713.51,13.97
74.05336,44.84274,1,713.47,13.95
74.15404,44.83878,1,713.43,13.93
74.24455,44.83216,1,713.39,13.91
74.31111,44.86007,1,713.35,13.89
74.3997,44.86016,1,713.32,13.87
74.48741,44.87325,1,713.28,13.85
74.50783,44.83806,1,713.24,13.83
74.53893,44.83084,1,713.2,13.81
74.56003,44.80988,1,713.16,13.79
74.57747,44.77984,1,713.13,13.78
74.5786,44.73739,1,713.09,13.76
74.56526,44.70389,1,713.05,13.74
74.52055,44.67645,1,713.01,13.72
74.48696,44.66863,1,712.97,13.7
74.47343,44.64651,1,712.94,13.68
74.47002,44.63478,1,712.9,13.66
74.47941,44.63712,1,712.86,13.64
74.49126,44.62728,1,712.82,13.62
74.54668,44.59649,1,712.78,13.6
74.58147,44.59036,1,712.75,13.58
74.6084,44.56762,1,712.71,13.56
74.67044,44.56371,1,712.67,13.54
74.76088,44.51346,1,712.63,13.52
74.85102,44.50423,1,712.59,13.5
74.96431,44.49935,1,712.56,13.48
75.06031,44.49153,1,712.52,13.46
75.15833,44.47936,1,712.48,13.44
75.30966,44.45695,1,712.44,13.42
75.44464,44.4355,1,712.4,13.4
75.57918,44.42334,1,712.37,13.38
75.70096,44.41868,1,712.33,13.36
75.82244,44.40016,1,712.29,13.34
75.95165,44.40596,1,712.25,13.32
76.02814,44.35793,1,712.22,13.3
76.09764,44.30278,1,712.18,13.28
76.17987,44.24936,1,712.14,13.26
76.28636,44.17413,1,712.1,13.24
76.32953,44.14515,1,712.06,13.22
76.3678,44.07539,1,712.03,13.2
76.39619,44.01254,1,711.99,13.18
76.45199,43.95179,1,711.95,13.16
76.50143,43.88074,1,711.91,13.14
76.53836,43.81069,1,711.87,13.12
76.57762,43.73792,1,711.84,13.1
76.60446,43.65223,1,711.8,13.08
76.64334,43.55021,1,711.76,13.06
76.6811,43.45742,1,711.72,13.04
76.71431,43.34581,1,711.68,13.02
76.79847,43.28263,1,711.65,13.0
76.89151,43.22386,1,711.61,12.98
76.98738,43.15664,1,711.57,12.96
77.04273,43.09226,1,711.53,12.94
77.15361,43.01344,1,711.49,12.92
77.27405,42.92853,1,711.46,12.9
77.41855,42.83909,1,711.42,12.88
77.56729,42.74943,1,711.38,12.86
77.73159,42.66549,1,711.34,12.84
77.90177,42.58063,1,711.3,12.82
78.07519,42.4929,1,711.27,12.8
78.2589,42.40029,1,711.23,12.78
78.4428,42.31101,1,711.19,12.76
78.63878,42.22535,1,711.15,12.74
78.84246,42.1406,1,711.11,12.72
79.03927,42.04396,1,711.08,12.7
79.23375,41.93918,1,711.04,12.68
79.43179,41.8387,1,711.0,12.66
