x_loc,y_loc,quarter,game_clock,shot_clock
45.42762,24.82779,1,720.0,
44.9767,24.52885,1,719.96,16.88
44.504,24.2982,1,719.92,16.86
44.02241,24.0543,1,719.89,17.31
43.59492,23.82836,1,719.85,17.29
43.06268,23.60353,1,719.81,17.27
42.64171,23.37588,1,719.77,17.25
42.15065,23.184,1,719.73,17.23
41.71221,22.96291,1,719.7,17.21
41.28638,22.5413,1,719.66,17.19
40.81985,22.44902,1,719.62,17.17
40.39933,22.1959,1,719.58,17.15
39.90853,21.87117,1,719.54,17.13
39.98177,21.63771,1,719.51,17.11
39.83177,21.66853,1,719.47,17.09
39.67084,21.77377,1,719.43,17.07
39.63124,21.70354,1,719.39,17.05
39.35837,21.82174,1,719.35,17.03
38.93228,22.08284,1,719.32,17.01
38.72099,22.29667,1,719.28,16.99
38.49794,22.56376,1,719.24,16.97
38.25398,22.71278,1,719.2,16.95
38.01079,22.85246,1,719.16,16.93
37.88632,22.75639,1,719.13,16.91
37.6112,23.48743,1,719.09,16.89
37.55547,23.42766,1,719.05,16.87
37.40263,23.42438,1,719.01,16.85
37.22616,23.31142,1,718.97,16.83
37.04742,23.30753,1,718.94,16.82
36.84275,23.31828,1,718.9,16.79
36.77649,23.48223,1,718.86,16.78
36.36324,23.36442,1,718.82,16.76
35.8573,23.34105,1,718.78,16.74
35.4314,23.30749,1,718.75,16.72
34.91395,23.07829,1,718.71,16.7
34.37003,22.83806,1,718.67,16.68
33.77941,22.76713,1,718.63,16.66
33.34145,22.61624,1,718.59,16.64
32.69362,22.35934,1,718.56,16.62
32.23939,22.30668,1,718.52,16.6
31.70999,22.21353,1,718.48,16.58
31.14662,22.01402,1,718.44,16.56
30.65139,21.88445,1,718.41,16.54
30.13847,21.66233,1,718.37,16.52
29.74248,21.43065,1,718.33,16.5
29.18036,21.35802,1,718.29,16.48
28.58331,21.19893,1,718.25,16.46
28.15534,21.09351,1,718.22,16.44
27.55838,20.96427,1,718.18,16.42
27.47804,20.73511,1,718.14,16.4
27.47143,20.37785,1,718.1,16.38
27.5856,20.16642,1,718.06,16.36
27.55294,19.71996,1,718.03,16.34
27.95762,19.82518,1,717.99,16.32
28.05727,19.55553,1,717.95,16.3
28.30144,19.50774,1,717.91,16.28
28.60175,19.43321,1,717.87,16.26
28.94101,19.33393,1,717.83,16.24
29.30851,19.21075,1,717.8,16.22
29.69353,19.06457,1,717.76,16.2
30.11806,18.84583,1,717.72,16.18
30.56692,18.77713,1,717.68,16.16
31.0345,18.43817,1,717.64,16.14
31.43582,18.26693,1,717.61,16.12
31.783,18.37199,1,717.57,16.1
32.10259,18.14678,1,717.53,16.08
32.34838,18.01518,1,717.49,16.06
32.5056,17.94973,1,717.45,16.04
32.55668,17.94328,1,717.42,16.02
32.8848,17.71254,1,717.38,16.0
33.02062,17.81267,1,717.34,15.98
33.26852,17.73022,1,717.3,15.96
33.65849,17.59162,1,717.27,15.94
34.05472,17.38143,1,717.23,15.92
34.33004,17.02292,1,717.19,15.9
34.74114,16.79523,1,717.15,15.88
35.1653,16.9268,1,717.11,15.86
35.75409,16.18926,1,717.08,15.84
36.15859,15.7889,1,717.04,15.82
36.57261,15.48941,1,717.0,15.8
36.8379,15.15471,1,716.96,15.78
37.65428,14.68208,1,716.92,15.76
37.98755,14.11128,1,716.89,15.74
38.39292,13.77896,1,716.85,15.72
38.74999,13.16494,1,716.81,15.7
39.32322,12.83407,1,716.77,15.68
39.70655,12.18053,1,716.73,15.66
40.05583,11.75199,1,716.7,15.64
40.37863,11.44195,1,716.66,15.62
40.52317,11.02035,1,716.62,15.6
40.61361,10.71737,1,716.58,15.58
40.74727,10.61791,1,716.54,15.56
41.00792,10.1458,1,716.51,15.54
41.13161,9.98096,1,716.47,15.52
41.26154,9.80122,1,716.43,15.5
