URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,720,CLE,Jump ball: A. Bogut vs. T. Mozgov (K. Love gains possession),0,GSW,,0,,,,,,,,,,,,,,,,,,,,,,,,A. Bogut - bogutan01,T. Mozgov - mozgoti01,K. Love - loveke01
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,704,CLE,Turnover by T. Mozgov (step out of bounds),0,GSW,,0,,,,,,,,,,,,,,,,,,,,T. Mozgov - mozgoti01,step out of bounds,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,685,CLE,,0,GSW,Turnover by B. Rush (lost ball; steal by L. James),0,,,,,,,,,,,,,,,,,,,,B. Rush - rushbr01,lost ball,steal,L. James - jamesle01,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,663,CLE,K. Love misses 2-pt jump shot from 4 ft,0,GSW,,0,K. Love - loveke01,2-pt jump shot,miss,4,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,663,CLE,,0,GSW,Defensive rebound by K. Thompson,0,,,,,,,,,,K. Thompson - thompkl01,defensive,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,658,CLE,,0,GSW,K. Thompson misses 3-pt jump shot from 26 ft,0,K. Thompson - thompkl01,3-pt jump shot,miss,26,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,656,CLE,Defensive rebound by J. Smith,0,GSW,,0,,,,,,,,,,J. Smith - smithjr01,defensive,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,643,CLE,K. Love misses 3-pt jump shot from 26 ft,0,GSW,,0,K. Love - loveke01,3-pt jump shot,miss,26,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,642,CLE,,0,GSW,Defensive rebound by D. Green,0,,,,,,,,,,D. Green - greendr01,defensive,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,629,CLE,,0,GSW,A. Bogut makes 2-pt dunk at rim (assist by K. Thompson),2,A. Bogut - bogutan01,2-pt dunk,make,0,K. Thompson - thompkl01,,,,,,,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,604,CLE,L. James misses 2-pt layup at rim,0,GSW,,2,L. James - jamesle01,2-pt layup,miss,0,,,,,,,,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,602,CLE,,0,GSW,Defensive rebound by A. Bogut,2,,,,,,,,,,A. Bogut - bogutan01,defensive,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,589,CLE,,0,GSW,Turnover by D. Green (traveling),2,,,,,,,,,,,,,,,,,,,,D. Green - greendr01,traveling,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,575,CLE,J. Smith makes 3-pt jump shot from 25 ft (assist by K. Love),3,GSW,,2,J. Smith - smithjr01,3-pt jump shot,make,25,K. Love - loveke01,,,,,,,,,,,,,,,,,,,,,
/boxscores/201512250GSW.html,regular,Oracle Arena Oakland California,December 25 2015,5:00 PM,GSW,1,563,CLE,,3,GSW,A. Bogut makes 2-pt layup from 2 ft (assist by D. Green),4,A. Bogut - bogutan01,2-pt layup,make,2,D. Green - greendr01,,,,,,,,,,,,,,,,,,,,,
